,RCMB38,COSMIC ID
cosmic_910691,-0.1633767916840456,910691
cosmic_688022,-0.1687705680691621,688022
cosmic_753589,-0.1779860791265575,753589
cosmic_688031,-0.18560257196705734,688031
cosmic_753588,-0.19801748512507672,753588
cosmic_908483,-0.1980586796967533,908483
cosmic_688001,-0.2070446780283186,688001
cosmic_910937,-0.2106367482284775,910937
cosmic_688027,-0.22160594189645708,688027
cosmic_753564,-0.2239232322045399,753564
cosmic_713899,-0.2242466078743283,713899
cosmic_688006,-0.22467340258413354,688006
cosmic_753582,-0.2248782774125514,753582
cosmic_1322213,-0.225497435060336,1322213
cosmic_688014,-0.22994588553166978,688014
cosmic_906834,-0.23102274212275292,906834
cosmic_924241,-0.24034656422302347,924241
cosmic_688013,-0.24245077007026203,688013
cosmic_909194,-0.2433237480547115,909194
cosmic_949175,-0.24410987726175015,949175
cosmic_688023,-0.24586925418409508,688023
cosmic_687997,-0.24606781652115475,687997
cosmic_907170,-0.2482959472452765,907170
cosmic_688026,-0.25050394915873053,688026
cosmic_713878,-0.25054072188838045,713878
cosmic_910941,-0.2511940431810611,910941
cosmic_949173,-0.25357018559921,949173
cosmic_908467,-0.2566633015314943,908467
cosmic_1297439,-0.2584579226431264,1297439
cosmic_753594,-0.25880019844453833,753594
cosmic_688018,-0.26145090454225217,688018
cosmic_1297438,-0.2617328728354663,1297438
cosmic_687980,-0.2619034593579745,687980
cosmic_687804,-0.26569359493456207,687804
cosmic_688010,-0.26733034436161507,688010
cosmic_713885,-0.2686534277284949,713885
cosmic_1330972,-0.2779127369250921,1330972
cosmic_687985,-0.27909117439009384,687985
cosmic_753607,-0.27911446321977074,753607
cosmic_753605,-0.2809841556339044,753605
cosmic_753599,-0.28105878102300275,753599
cosmic_688021,-0.28167075660600543,688021
cosmic_910568,-0.2823439233749562,910568
cosmic_688007,-0.28452538925139664,688007
cosmic_907295,-0.28537567391774965,907295
cosmic_1322212,-0.28574824812383376,1322212
cosmic_925341,-0.2867247224592949,925341
cosmic_908135,-0.28769906069535295,908135
cosmic_1240181,-0.28927359825746757,1240181
cosmic_753618,-0.2949783873149157,753618
cosmic_949177,-0.2977233636730842,949177
cosmic_1240193,-0.2979018206727724,1240193
cosmic_687600,-0.2982633581744639,687600
cosmic_908468,-0.30026844817707926,908468
cosmic_753547,-0.3003485750556375,753547
cosmic_910567,-0.30063165675953724,910567
cosmic_907314,-0.30148138397781465,907314
cosmic_753616,-0.3019546860652552,753616
cosmic_688011,-0.3029499942681571,688011
cosmic_688025,-0.3033502586113772,688025
cosmic_1330964,-0.30542330053891803,1330964
cosmic_753551,-0.3058083244541689,753551
cosmic_946357,-0.30986271114484115,946357
cosmic_908469,-0.311781694334345,908469
cosmic_910780,-0.3141373806762705,910780
cosmic_910692,-0.3141760262548353,910692
cosmic_908447,-0.3156636093194792,908447
cosmic_910899,-0.3166827366275756,910899
cosmic_908454,-0.31784379973635174,908454
cosmic_713869,-0.320487634245155,713869
cosmic_688086,-0.3205157796064625,688086
cosmic_906808,-0.3205617697906449,906808
cosmic_909731,-0.3257663742876788,909731
cosmic_753620,-0.32973541782354987,753620
cosmic_949179,-0.330027506153753,949179
cosmic_949170,-0.33217961952845165,949170
cosmic_717431,-0.3328324203088215,717431
cosmic_949178,-0.3329509871832803,949178
cosmic_908481,-0.3344308271915887,908481
cosmic_906850,-0.3351723295823438,906850
cosmic_909779,-0.33592049385193806,909779
cosmic_687995,-0.3363801650526591,687995
cosmic_908458,-0.33645739217621257,908458
cosmic_946360,-0.3406409056952358,946360
cosmic_930299,-0.34270083521619077,930299
cosmic_909707,-0.34365260018429417,909707
cosmic_688087,-0.34443709144345835,688087
cosmic_1299075,-0.34449415414824447,1299075
cosmic_753534,-0.3455214036602953,753534
cosmic_724872,-0.3473975240717466,724872
cosmic_949166,-0.3474316475472837,949166
cosmic_1330973,-0.3481564466575812,1330973
cosmic_949155,-0.34847779255474964,949155
cosmic_949168,-0.3488016675815532,949168
cosmic_1298534,-0.3502283343210955,1298534
cosmic_906833,-0.3510888532484913,906833
cosmic_910942,-0.35193715978383056,910942
cosmic_906844,-0.35349474611074116,906844
cosmic_687787,-0.3573869596507359,687787
cosmic_1240210,-0.3588114459882498,1240210
cosmic_753539,-0.35930327767125086,753539
cosmic_908440,-0.35985034835644936,908440
cosmic_906812,-0.3611974519791812,906812
cosmic_925342,-0.3623126384149158,925342
cosmic_908443,-0.3623724234910208,908443
cosmic_908129,-0.36298720494987957,908129
cosmic_949171,-0.36345018193456247,949171
cosmic_906875,-0.36595154735121277,906875
cosmic_949172,-0.3674525284413681,949172
cosmic_924100,-0.36846677764992325,924100
cosmic_907060,-0.36906636163225087,907060
cosmic_1240182,-0.36944388769630765,1240182
cosmic_687798,-0.3714074832379009,687798
cosmic_907319,-0.37158928928542306,907319
cosmic_724855,-0.3716887076665237,724855
cosmic_1299070,-0.37566342936194613,1299070
cosmic_753573,-0.3756759891958104,753573
cosmic_910853,-0.3772922330313772,910853
cosmic_1298350,-0.37991526507848944,1298350
cosmic_1298222,-0.38047241578546653,1298222
cosmic_1240217,-0.38066630145191205,1240217
cosmic_946358,-0.38085256939955825,946358
cosmic_753565,-0.3809532118439763,753565
cosmic_971773,-0.3822586472477374,971773
cosmic_908150,-0.3827054469896993,908150
cosmic_909264,-0.38286898694477484,909264
cosmic_1240191,-0.38359754312425093,1240191
cosmic_1240189,-0.38373620341719256,1240189
cosmic_949176,-0.3860938873657535,949176
