,RCMB38
NCIH524,0.23610802143739418
D283MED,0.21950800320619065
NCIH1184,0.2009327023824112
NCIH1155,0.19044343636110764
HCC33,0.18406744362831756
DMS273,0.1668109281427057
NCIH446,0.1466171070134397
DMS53,0.14259034000888884
CORL95,0.14202518711417664
NCIH2029,0.13549606804963488
NCIH810,0.13244098838643512
NCIH1341,0.13101176685978505
LK2,0.1261612135386784
DU145,0.12347830282306296
COLO668,0.11621727882231435
FTC133,0.11226125922169988
CAOV3,0.11035104168217474
DAOY,0.10690089797810672
TUHR4TKB,0.10181561460479617
TE8,0.10171268955636695
NCIH2196,0.09767081834010963
NCIH522,0.09752920284875269
SNU878,0.09579008778048399
NCIH661,0.09440319044026789
NH6,0.09395847970634583
UBLC1,0.09336882557177602
DMS454,0.09285561005298025
5637,0.0921496551194444
SKNBE2,0.08940178904145295
CADOES1,0.08828747795835962
DMS114,0.08551120856589958
KNS62,0.08529448520556072
TE10,0.08526930671740804
SW1463,0.08367663209528688
IMR32,0.08339436689506541
NCIH196,0.08079435954182505
CHP212,0.08079101863009538
KELLY,0.08067371264498402
KYSE450,0.07830916608809745
NCIH211,0.07757733204654947
ZR751,0.07627793582271349
TE441T,0.07612441392813878
TE4,0.07543222105206066
NCIH1651,0.075284434855834
ES2,0.07512848460645585
SKNSH,0.07311128816222473
TT2609C02,0.07247571129624704
QGP1,0.07210807997030985
KPNSI9S,0.07092575361237217
FUOV1,0.0708409158278464
ESS1,0.07012012659069294
NCIH2170,0.07002386105770934
G361,0.06994010775843268
WM793,0.06967016768517682
COLO792,0.06963867291070208
COV434,0.06919780678042112
TOV112D,0.069008557226905
SNU685,0.06883570448066148
T3M10,0.06817195544039109
IGR37,0.06737377816125831
NCIH2052,0.06668694197135845
JL1,0.06633694660187953
CAL27,0.06529019268709942
RMGI,0.06490892642194768
HARA,0.06395041396279026
TE14,0.06392231899801629
NCIH2444,0.06391213306729956
SKNDZ,0.0634883882404506
NCIH1755,0.06248040097561037
MHHNB11,0.06203392845958261
TUHR10TKB,0.06178946771611038
YH13,0.06164997759825296
SNU475,0.06160220000626022
NCIH727,0.061323010476102675
DBTRG05MG,0.06092423769030828
SNU503,0.06039919284914016
HCC1954,0.05968132845218335
VCAP,0.05966556464880803
SUIT2,0.0590924679269029
NCIH1299,0.058943176712737126
JMSU1,0.05890564308729113
BICR18,0.0585432339446866
22RV1,0.05817555320751188
VMRCRCZ,0.05802049201344157
G292CLONEA141B1,0.057165424447181014
SAOS2,0.05712923402426967
SNU119,0.056735349966716815
SNU398,0.0563616091586301
COV644,0.05629572630569696
SIMA,0.055591784456822224
8305C,0.05537288562911747
SW1088,0.055228675109138564
BT549,0.05459868453912247
ISTMES1,0.053306898645507576
BICR16,0.05300036315397502
NCIH1581,0.052557894348771506
SF539,0.05244554266230171
CAL78,0.05244124333690239
A2780,0.052427386192092716
NCIH23,0.052178428463859276
8MGBA,0.05201635325316309
COV362,0.051450389026618665
SF268,0.051201573686703035
OV7,0.05116412423811526
HCC1833,0.051093510084986374
YD10B,0.050742958834079796
TE6,0.05012142967645192
JHOS2,0.04974573367513068
BEN,0.049707104157711846
OAW28,0.04958855227640624
HCC1438,0.0490571796885408
