,RCMB38
NCIH1184,0.2009327023824112
NCIH1092,0.19644953444047838
NCIH1155,0.19044343636110764
NCIH1694,0.17662775552939244
NCIH810,0.13244098838643512
NCIH1341,0.13101176685978505
DU145,0.12347830282306296
DAOY,0.10690089797810672
NCIH522,0.09752920284875269
NCIH661,0.09440319044026789
5637,0.0921496551194444
NCIH1048,0.09063194917893924
SKNBE2,0.08940178904145295
DMS114,0.08551120856589958
KNS62,0.08529448520556072
IMR32,0.08339436689506541
CHP212,0.08079101863009538
KELLY,0.08067371264498402
KYSE450,0.07830916608809745
NCIH211,0.07757733204654947
ZR751,0.07627793582271349
NCIH1651,0.075284434855834
ES2,0.07512848460645585
SKNSH,0.07311128816222473
TT2609C02,0.07247571129624704
QGP1,0.07210807997030985
KPNSI9S,0.07092575361237217
FUOV1,0.0708409158278464
ESS1,0.07012012659069294
NCIH2170,0.07002386105770934
G361,0.06994010775843268
WM793,0.06967016768517682
TOV112D,0.069008557226905
T3M10,0.06817195544039109
IGR37,0.06737377816125831
MFE280,0.0673410862201514
NCIH2052,0.06668694197135845
NIHOVCAR3,0.0659174619976361
CAL27,0.06529019268709942
HARA,0.06395041396279026
NCIH2444,0.06391213306729956
SKNDZ,0.0634883882404506
SNU475,0.06160220000626022
NCIH727,0.061323010476102675
DBTRG05MG,0.06092423769030828
HCC1954,0.05968132845218335
SUIT2,0.0590924679269029
NCIH1299,0.058943176712737126
JMSU1,0.05890564308729113
22RV1,0.05817555320751188
TC71,0.05806948019497146
VMRCRCZ,0.05802049201344157
SAOS2,0.05712923402426967
SNU398,0.0563616091586301
SIMA,0.055591784456822224
8305C,0.05537288562911747
SW1088,0.055228675109138564
BT549,0.05459868453912247
ISTMES1,0.053306898645507576
NCIH1581,0.052557894348771506
CAL78,0.05244124333690239
A2780,0.052427386192092716
NCIH23,0.052178428463859276
8MGBA,0.05201635325316309
JHOS2,0.04974573367513068
NCIH1650,0.04882096653515647
MKN45,0.04870867703244989
WM2664,0.04829174180740519
HMCB,0.04777881961604541
KYSE410,0.047656212289058725
NCIH1792,0.04761206310371221
A172,0.04748607224390335
NCIH1666,0.04672876583448028
KURAMOCHI,0.046660962842349385
DETROIT562,0.046660682894838414
KMRC2,0.046406504527748686
SW1573,0.04530704224513718
HEYA8,0.04399242172021284
OVCAR8,0.04394427464039833
NCIH520,0.043933147707213856
RERFGC1B,0.04355902975890096
KMS11,0.04309861133850593
WM115,0.04220786278437899
NCIH747,0.04156451528093966
SNU182,0.04128945015577391
SKES1,0.04105440193802758
WM88,0.0404165419033464
WM983B,0.04025815174745879
HS683,0.039323955373483585
OE21,0.03926560064881203
HT144,0.038356083459786486
NCIH1693,0.03823326610848748
CALU1,0.03808159218396001
SHP77,0.03715081789660792
HOS,0.037098031487547915
NCIH2286,0.03662685729377102
KMS34,0.03646503826888354
HEL9217,0.03618535086838656
SW579,0.0361480543996035
786O,0.03582972685691447
HCC1187,0.03554792307927467
FADU,0.035267376910852466
RERFLCMS,0.03507273069836878
IPC298,0.03499608684293279
SKMEL5,0.03440009281168005
A2058,0.03408441513268835
VMRCRCW,0.033914788205265105
KLE,0.03306811685711979
NCIH1869,0.03234244898983156
CAS1,0.031862289282432905
HUCCT1,0.03130050396576028
JHOS4,0.030199021259555647
MKN7,0.030079713645597746
EN,0.030073613399005713
SKNAS,0.02875709572898091
TE617T,0.028608160445823365
COLO741,0.028279427405661504
KMRC1,0.02813154228489118
U2OS,0.02798443366849511
EFE184,0.027975990423938633
HS936T,0.027730710291127437
KYSE180,0.0275307737393408
HS729,0.026733084253145214
NCIH2023,0.026236868610925407
ISHIKAWAHERAKLIO02ER,0.025625502095626793
A204,0.025562917329443012
A253,0.02544841050104108
HS294T,0.025274457272487786
OVCAR4,0.024753753346048946
SCC25,0.024515645557162055
A673,0.024500573050699376
SW403,0.024263719508285087
SW900,0.024102582519244107
COLO679,0.023992860266793373
LN229,0.02347021916676056
MSTO211H,0.023409310592751167
SW780,0.023363586900834017
SJSA1,0.022786466488103067
MFE319,0.021887941545495417
ONS76,0.021660285175877845
SKMEL24,0.021658248394390997
COV318,0.02159260763080059
OC314,0.02149878037634787
SW48,0.021041457209364272
SKNFI,0.021036368485869518
MEWO,0.020992039316039646
SNU423,0.020834307921905364
HCT116,0.020761259360078877
EM2,0.02075525693649054
HCC1569,0.020242115000066212
NCIH647,0.0200649317169668
HS939T,0.020053246175044167
JHH7,0.019225025231962872
HS695T,0.018524278994424156
SKLU1,0.018199181497039446
ISTMES2,0.01800990909991267
UACC812,0.017973102667000473
HS852T,0.017804480002385777
SUDHL6,0.01734798886579834
NCIH1703,0.017211015820797527
MIAPACA2,0.01719554628215579
NCIH322,0.017139730020251796
OVSAHO,0.017043843626150728
JHH2,0.016741502607458297
CALU3,0.016456029843930076
ONCODG1,0.01638332852727044
SKMES1,0.01627988265727138
A549,0.015964000547649744
HCC1395,0.015627179117203297
NCIH460,0.015242184631833248
IGR39,0.015186744160216613
NCIH1568,0.014359326948230576
MPP89,0.014200718659141564
A375,0.013763798035514876
PANC0327,0.01375887924204123
SKMEL31,0.013272048158256484
HS944T,0.012861084393154441
ACHN,0.012251054580783731
MDAMB436,0.012123893819590241
NCIH2122,0.011820264328020968
H4,0.01179267400360171
8505C,0.011446472207266856
OVTOKO,0.01018814089330661
RD,0.010126363508604411
C32,0.009897975640522392
BT474,0.009532717734587498
KALS1,0.009517550161402571
NCIH1573,0.008939699472320109
UACC62,0.0078048060491558175
42MGBA,0.007662656054763728
C2BBE1,0.007083836724341703
MDAMB157,0.006888225479845115
HMC18,0.0068481293100238995
SW1417,0.00665893298041831
GB1,0.0056381417896484804
KP2,0.00512530549463961
KP4,0.004998436685624773
YKG1,0.004586696960474849
HS746T,0.004299212206235922
K029AX,0.004116438062156833
DEL,0.004098716898756902
HCC44,0.0036920135810871555
NCIH2172,0.0032238662100390406
MDAMB453,0.0028733904231524076
SNU387,0.0028361371101508458
639V,0.0028315387470521087
RKN,0.002485322750808924
COV504,0.0022200823915210152
SW480,0.002042495984770498
SBC5,0.002004560743231578
SCABER,0.001930713267221988
GMS10,0.0017671476637794333
PC3,0.0014651165908859953
HGC27,0.0011451494542507748
LU99,0.0008293513707946342
U87MG,0.0008246043823618693
SW1353,0.0006445275038703441
SW1271,0.0002187883727130782
HCT15,-0.00038850854766941923
OV90,-0.0014348346515517805
NCIH1563,-0.0015330467435879574
OVMANA,-0.0016208407236857976
MKN74,-0.0017309583516181462
769P,-0.0019033581071683295
RVH421,-0.002221748700054546
NCIH2228,-0.0026162057512540437
HLF,-0.002738604013790789
LOXIMVI,-0.0031362552471424685
KARPAS620,-0.003333917806646372
GAMG,-0.0036245784379320767
NCIH1648,-0.0037537170979857174
SKOV3,-0.0043947946876509774
CALU6,-0.005501577542278462
TE1,-0.005995668094426386
HUPT4,-0.006170702529190362
CAKI2,-0.006572523563287505
MHHES1,-0.00710112865860826
SKHEP1,-0.007598592654341355
BL41,-0.007659254109694332
BCPAP,-0.007792535195089946
SF295,-0.007879012498978445
KNS60,-0.008101474123633517
KNS81,-0.008193112662078653
NUGC4,-0.008499568408883086
SUDHL10,-0.008792179109443429
SUDHL4,-0.008797028389778066
NCO2,-0.009001426056632053
MEG01,-0.009207495035080749
KMS26,-0.009353223175120298
UACC257,-0.009624950063390836
HS229T,-0.009738515645276034
CAL12T,-0.009803167988734271
DKMG,-0.009808462828790608
NCIH1355,-0.010087547548265907
KYSE70,-0.010547495937127513
NCIH650,-0.010821217688757148
NCIH2085,-0.011193886837209474
JHH6,-0.01137189730553903
WM1799,-0.01196139263192433
HSC2,-0.011975651023278381
MG63,-0.012219429802493286
KNS42,-0.012244495552067188
