,ICB984,COSMIC ID
cosmic_688022,0.008006362509506986,688022
cosmic_753589,-0.025838463420402268,753589
cosmic_688006,-0.04273288551599908,688006
cosmic_688023,-0.05419666408244506,688023
cosmic_753594,-0.057546359252978796,753594
cosmic_713885,-0.06423327033585728,713885
cosmic_753582,-0.06426388417025763,753582
cosmic_753588,-0.06797917790379648,753588
cosmic_907170,-0.0714550940142093,907170
cosmic_688031,-0.08029392016908526,688031
cosmic_908483,-0.08197954479461272,908483
cosmic_687997,-0.08499379703815033,687997
cosmic_1322213,-0.08651400512828689,1322213
cosmic_713878,-0.08725516028554586,713878
cosmic_910937,-0.08897854204827892,910937
cosmic_713899,-0.08912422348531622,713899
cosmic_1330972,-0.09989164851542155,1330972
cosmic_688027,-0.10733595641880714,688027
cosmic_753599,-0.11059268917506787,753599
cosmic_908135,-0.11748437493969707,908135
cosmic_753605,-0.11866929521991966,753605
cosmic_909194,-0.12015699377206003,909194
cosmic_910941,-0.12129672981056096,910941
cosmic_688026,-0.1222561801812061,688026
cosmic_753564,-0.12462444638795879,753564
cosmic_949175,-0.12670606872459694,949175
cosmic_908467,-0.1286051318441774,908467
cosmic_753547,-0.1286787151688487,753547
cosmic_924241,-0.12927771706499763,924241
cosmic_1240181,-0.13005701546207413,1240181
cosmic_688014,-0.13083032844743847,688014
cosmic_687804,-0.1347314424408183,687804
cosmic_688018,-0.1374524879851745,688018
cosmic_1297438,-0.1419669154953047,1297438
cosmic_907295,-0.14197499822374396,907295
cosmic_688013,-0.1456552109951924,688013
cosmic_688021,-0.14738974807103203,688021
cosmic_1240193,-0.1491075991310219,1240193
cosmic_910691,-0.15197407481316305,910691
cosmic_688001,-0.15363267235316758,688001
cosmic_949173,-0.15425259033423602,949173
cosmic_687985,-0.15560339479148366,687985
cosmic_688007,-0.15761176086161563,688007
cosmic_1322212,-0.1603530714507501,1322212
cosmic_688010,-0.1605749810336646,688010
cosmic_687980,-0.16108669959048502,687980
cosmic_688011,-0.16203738151059105,688011
cosmic_909731,-0.1626506799960597,909731
cosmic_910567,-0.16443676479643518,910567
cosmic_688025,-0.1671059481622116,688025
cosmic_753618,-0.16795889526749405,753618
cosmic_753607,-0.17428549659608522,753607
cosmic_908468,-0.17520923736483182,908468
cosmic_906834,-0.17647801249934864,906834
cosmic_908447,-0.17825527630632504,908447
cosmic_910780,-0.18026824705411118,910780
cosmic_753620,-0.1890885383939367,753620
cosmic_925341,-0.19038872310151672,925341
cosmic_687600,-0.1908540930584952,687600
cosmic_910692,-0.19711655795851205,910692
cosmic_753551,-0.19880013763536594,753551
cosmic_713869,-0.19962959890128668,713869
cosmic_949155,-0.19978466485317906,949155
cosmic_908469,-0.20225252937177501,908469
cosmic_688087,-0.2030509414310562,688087
cosmic_949170,-0.20477351713133335,949170
cosmic_910568,-0.2047995155099151,910568
cosmic_907314,-0.20568506185855046,907314
cosmic_910899,-0.20710469742987955,910899
cosmic_906875,-0.2078525233145144,906875
cosmic_908458,-0.20851427012191623,908458
cosmic_753616,-0.2110885982641844,753616
cosmic_688086,-0.21210758414173783,688086
cosmic_724872,-0.21267584109064605,724872
cosmic_949177,-0.21359703336140093,949177
cosmic_684062,-0.21560701515614916,684062
cosmic_949166,-0.21671621432057167,949166
cosmic_753534,-0.21783903230012402,753534
cosmic_909730,-0.21871320118678958,909730
cosmic_906808,-0.21890448749191202,906808
cosmic_1298534,-0.2193262941338516,1298534
cosmic_909779,-0.21942921960101736,909779
cosmic_1330973,-0.22075451863760698,1330973
cosmic_908481,-0.22135435206112897,908481
cosmic_908454,-0.22389547516729252,908454
cosmic_949178,-0.22445100597829062,949178
cosmic_909707,-0.22736009104567856,909707
cosmic_1297439,-0.2276267299525862,1297439
cosmic_1240131,-0.2291668472774009,1240131
cosmic_1330964,-0.22951330189387684,1330964
cosmic_908129,-0.23049512917112855,908129
cosmic_684055,-0.23162265626610923,684055
cosmic_907319,-0.23522906146918485,907319
cosmic_949179,-0.2365452861222965,949179
cosmic_906833,-0.23851982914770956,906833
cosmic_949168,-0.23922669722035386,949168
cosmic_908440,-0.24096183629251158,908440
