,MB009,COSMIC ID
cosmic_688031,-0.15615031036569738,688031
cosmic_910691,-0.1821803426700261,910691
cosmic_688022,-0.1961659395576313,688022
cosmic_906834,-0.19926425684792404,906834
cosmic_753582,-0.20302945743917453,753582
cosmic_688006,-0.21023425683504046,688006
cosmic_688023,-0.2164329103766238,688023
cosmic_753589,-0.2191414590301721,753589
cosmic_1240181,-0.22370455176694695,1240181
cosmic_908483,-0.23404709561911832,908483
cosmic_907170,-0.23518603650251435,907170
cosmic_713899,-0.24024779712922673,713899
cosmic_688027,-0.24215966909260922,688027
cosmic_753588,-0.2426084865598703,753588
cosmic_910941,-0.25683905260098044,910941
cosmic_753599,-0.25712413434425374,753599
cosmic_907314,-0.26026975408791103,907314
cosmic_687804,-0.26258698968997074,687804
cosmic_687997,-0.26423039199667636,687997
cosmic_753594,-0.26444148680260704,753594
cosmic_688018,-0.265335952735117,688018
cosmic_688001,-0.26760252584514804,688001
cosmic_910937,-0.2698915471729497,910937
cosmic_949175,-0.27098868505116736,949175
cosmic_713885,-0.27169548499992713,713885
cosmic_924241,-0.2730674455696702,924241
cosmic_1322213,-0.2733623918887129,1322213
cosmic_908467,-0.2742163260409762,908467
cosmic_753547,-0.2745615709137381,753547
cosmic_688013,-0.27890045989211465,688013
cosmic_910568,-0.2798920199065194,910568
cosmic_909194,-0.2800923813840991,909194
cosmic_688086,-0.2830687877590863,688086
cosmic_713878,-0.28407349138542354,713878
cosmic_1240193,-0.2841081492603538,1240193
cosmic_753564,-0.2873014396409301,753564
cosmic_908135,-0.2885954897828509,908135
cosmic_949173,-0.2886364265108007,949173
cosmic_688014,-0.2924070163953941,688014
cosmic_753618,-0.2953410061487083,753618
cosmic_949179,-0.2953945163539736,949179
cosmic_687985,-0.2964176856237211,687985
cosmic_910567,-0.299375789320979,910567
cosmic_688010,-0.29947334092166333,688010
cosmic_753620,-0.3048218115562206,753620
cosmic_753616,-0.30524859761163636,753616
cosmic_753605,-0.3072083125087509,753605
