,MB009
NCIH1155,0.21197149239647514
NCIH1694,0.21003753478267922
NCIH1092,0.20477724941863595
NCIH1341,0.19075094580991697
NCIH1184,0.18948015981153407
SKNSH,0.14850909021871522
IMR32,0.14772434870734946
DU145,0.13846828816600723
KELLY,0.13422223303912992
SIMA,0.13338544206909414
KPNSI9S,0.12883176119815734
DAOY,0.12881581801998482
DMS114,0.12739933542834656
KNS62,0.12408928053298769
SKNDZ,0.12297893483113881
SKNBE2,0.12175797510450603
SNU398,0.12162419017197619
NCIH2052,0.1194506571109212
NCIH522,0.11835363481779781
5637,0.11688556296868144
IGR37,0.11538851818058914
KYSE450,0.11006825255667803
SUIT2,0.10973444548972217
FUOV1,0.10845048615057143
NCIH1048,0.10816042004839285
22RV1,0.1074071641767262
QGP1,0.10466419892813555
CHP212,0.10402416852635167
NCIH810,0.10298489518019446
TT2609C02,0.1029577475944113
G361,0.10257718325479967
KMS11,0.09907633781511624
NCIH661,0.09731884483134476
A2780,0.09707122213606886
WM793,0.09691812541961878
CAL27,0.094729714072583
MFE280,0.09352537087034339
MSTO211H,0.09302592202239596
T3M10,0.09168117837073385
MKN45,0.09152543484258921
ESS1,0.09089804895564985
SW1573,0.09028585097271047
HARA,0.09018192254274852
UACC257,0.08994589727430068
NCIH747,0.08867019947558126
ISTMES1,0.08851819122739762
TC71,0.08743798950892473
SKNFI,0.08731512051348762
A204,0.0861301147882183
HS936T,0.0855158932150029
WM88,0.08478326975235416
EM2,0.08374971977669145
TE617T,0.08355888251799108
SW1088,0.0831809735978434
EN,0.08305452871374165
NCIH1581,0.083011346492408
BL41,0.08299772082729968
WM2664,0.08248655457505667
SKMEL5,0.0816672889360581
HCC1954,0.08075299773845851
TOV112D,0.08073437788295644
A375,0.08066850776990578
SKES1,0.08033138818166337
ES2,0.0801016946401614
NCIH1299,0.08006230050779653
MELHO,0.07871716944211003
NCIH2286,0.07852755521862897
UACC812,0.07668624447686441
A549,0.07662418237477375
KLE,0.07594144160600454
NCIH211,0.07526262657435918
K029AX,0.07425660180996496
HCT15,0.07315061975989323
SAOS2,0.07262954377934071
SNU475,0.0722830415926757
BL70,0.07205707580958359
CALU1,0.07180252460050748
IPC298,0.0713656626657868
U2OS,0.07096216861170802
ZR751,0.07092809488984099
UACC62,0.07082541592027783
MEWO,0.07080375292159567
COLO741,0.07018371243794223
OVSAHO,0.0701814193859141
KMRC2,0.06876499364310033
COLO679,0.06845508960348688
KYSE180,0.06754292874880466
H4,0.06695853471723281
SW579,0.06656380255570048
NIHOVCAR3,0.06620222555399015
NCIH1651,0.06460537960819483
SHP77,0.06419573456063887
SUDHL6,0.06385352994237145
SKMEL24,0.06372462490027309
MDAMB436,0.06361087846043088
RD,0.06335257908596476
CAL78,0.06281430094486598
VMRCRCW,0.06262360404718346
MG63,0.06256723594042173
HOS,0.06244747393304706
SKNAS,0.0623513478089702
MIAPACA2,0.06222533899699256
KYSE410,0.06187550341084158
UMUC3,0.06154719216243148
NCIH1703,0.061529163586283055
NCIH727,0.06148685637709661
ISHIKAWAHERAKLIO02ER,0.06133902704485107
IGR39,0.061088559897590426
KURAMOCHI,0.060884122837387034
JHOS2,0.06044864471300473
SW1353,0.05944050634861654
DBTRG05MG,0.059084650179557816
NCIH2170,0.0588175050714946
BT549,0.0587385586602705
FU97,0.05848838569058768
CALU6,0.05839523954664674
SBC5,0.057712875790711146
HCT116,0.057345959756945
8305C,0.057061522168068715
MFE319,0.056994225469502224
HT144,0.056944262774375656
JMSU1,0.05690682420355695
OVCAR4,0.05671638624051515
G401,0.05659752617637007
NCIH1666,0.05646751693428826
786O,0.056307429088246944
COV318,0.05555965649013356
BT474,0.055004614449978104
KMS34,0.05483312936991544
JHOS4,0.05453917487085723
NCIH2444,0.05437600653776211
HS739T,0.05437478479904066
EFE184,0.05428615512514684
MKN74,0.0538851599254426
HGC27,0.053514531978538366
HEL9217,0.05339779001014531
HMCB,0.05324968512181647
MESSA,0.053204627162034626
HCC1395,0.05156991182363617
NCIH23,0.05152565230342541
HS729,0.051386349456050986
SW403,0.05074557193533882
DETROIT562,0.05068997895502397
CAS1,0.050094084157123395
ACHN,0.05009120235831751
SKMEL30,0.04980020183228664
DKMG,0.04956861158436246
KALS1,0.04919272277134323
MJ,0.049113305003719784
KMRC1,0.04890411698236707
MDAMB157,0.04884524144199338
PC3,0.0486763291462762
OE21,0.04865256195093908
NCIH650,0.04863554093120334
HCC15,0.04862525735924837
A172,0.04824797335167025
OVCAR8,0.048180155053204256
HUCCT1,0.04799007333471844
HEYA8,0.0473444315477742
NCIH460,0.04733101680404872
ISTMES2,0.047229429657852894
HCC1569,0.04702962129177775
RKN,0.04699711845919485
LU99,0.04696691965537204
