,MB009
D283MED,0.3124082352473236
NCIH524,0.27538226297391916
DMS273,0.25392966733004246
NCIH1155,0.21197149239647514
HCC33,0.20698280560433668
NCIH446,0.1989535319470633
NCIH1341,0.19075094580991697
NCIH1184,0.18948015981153407
CORL95,0.15573194043439906
SKNSH,0.14850909021871522
IMR32,0.14772434870734946
NCIH2029,0.14617283932234437
COLO668,0.1390616665772729
DU145,0.13846828816600723
KELLY,0.13422223303912992
SIMA,0.13338544206909414
MHHNB11,0.12957479608007613
KPNSI9S,0.12883176119815734
DAOY,0.12881581801998482
CADOES1,0.1282527912671996
FTC133,0.12817104412219893
DMS114,0.12739933542834656
KNS62,0.12408928053298769
SKNDZ,0.12297893483113881
SKNBE2,0.12175797510450603
SNU398,0.12162419017197619
NCIH2052,0.1194506571109212
NCIH522,0.11835363481779781
5637,0.11688556296868144
IGR37,0.11538851818058914
ECC12,0.11426844207721598
TE441T,0.11034419256543022
KYSE450,0.11006825255667803
SKMEL3,0.10982665221559414
SUIT2,0.10973444548972217
FUOV1,0.10845048615057143
HCC1833,0.10801079514859586
22RV1,0.1074071641767262
COLO792,0.10566978883213729
NH6,0.10555428589927308
QGP1,0.10466419892813555
SW1463,0.1044426831212599
CHP212,0.10402416852635167
SNU878,0.10324034886383689
NCIH810,0.10298489518019446
TT2609C02,0.1029577475944113
NCIH2196,0.10277328081509424
G361,0.10257718325479967
YD38,0.10147439916133696
NCIH196,0.10136726435180346
DMS53,0.10130349513336209
JL1,0.10027507481772985
KMS11,0.09907633781511624
TE8,0.09902076371244797
VCAP,0.09894361829579823
TE14,0.0982499415047744
NCIH661,0.09731884483134476
A2780,0.09707122213606886
WM793,0.09691812541961878
DMS454,0.09650403071039594
SKMEL28,0.09556013779561157
BEN,0.09551536094987359
CAL27,0.094729714072583
CAOV3,0.0940705950983899
MSTO211H,0.09302592202239596
T3M10,0.09168117837073385
MDST8,0.09154353478610176
MKN45,0.09152543484258921
ESS1,0.09089804895564985
SW1573,0.09028585097271047
HARA,0.09018192254274852
SF268,0.09017424619529259
UACC257,0.08994589727430068
UBLC1,0.0892345513967615
G292CLONEA141B1,0.08899139320585954
NCIH747,0.08867019947558126
ISTMES1,0.08851819122739762
UMUC1,0.0884851458945335
SKNFI,0.08731512051348762
TUHR4TKB,0.08723575532983348
YD10B,0.08663495642125936
LK2,0.08646762027465284
RH18,0.08620924847908808
A204,0.0861301147882183
CHAGOK1,0.08594954993568832
MELJUSO,0.08577357645591112
HS936T,0.0855158932150029
WM88,0.08478326975235416
TE617T,0.08355888251799108
SW1088,0.0831809735978434
EN,0.08305452871374165
NCIH1581,0.083011346492408
WM2664,0.08248655457505667
RH41,0.08217725041349895
SKNMC,0.08195043297341337
HCC1438,0.08188050149812617
COV434,0.0818386572007322
TE6,0.08173925866860161
SKMEL5,0.0816672889360581
HCC1954,0.08075299773845851
TOV112D,0.08073437788295644
A375,0.08066850776990578
MDAMB361,0.08056880177142965
SKES1,0.08033138818166337
ES2,0.0801016946401614
NCIH1299,0.08006230050779653
COV362,0.07978675438297596
HS940T,0.0797828599973186
MELHO,0.07871716944211003
NCIH2286,0.07852755521862897
HS934T,0.07811299105391431
SNU119,0.07770367435564558
JIMT1,0.0776423872107003
COLO829,0.07713085995307872
KPNYN,0.07693762389992786
A549,0.07662418237477375
HS688AT,0.07659491325196069
KLE,0.07594144160600454
HCC1171,0.07539488606620777
NCIH211,0.07526262657435918
K029AX,0.07425660180996496
BICR16,0.07355552516135977
OAW42,0.07319661077284245
HCT15,0.07315061975989323
SAOS2,0.07262954377934071
YH13,0.07259685579869755
SNU475,0.0722830415926757
OV7,0.0721296675436906
HUH28,0.07198467922753586
CALU1,0.07180252460050748
IPC298,0.0713656626657868
U2OS,0.07096216861170802
ZR751,0.07092809488984099
UACC62,0.07082541592027783
MEWO,0.07080375292159567
EFM192A,0.07068507551802922
EPLC272H,0.0702951480198688
COLO741,0.07018371243794223
OVSAHO,0.0701814193859141
KMRC2,0.06876499364310033
YD15,0.06858271268702033
ECC10,0.06852382204103581
TE10,0.06801136801972468
KYSE180,0.06754292874880466
SW579,0.06656380255570048
BICR18,0.06616776022513389
TE4,0.06606945408453398
TCCPAN2,0.06560882026641172
NCIH1651,0.06460537960819483
SKMEL24,0.06372462490027309
OAW28,0.06361847993313373
GSS,0.06353378591145142
RD,0.06335257908596476
CAL78,0.06281430094486598
VMRCRCW,0.06262360404718346
MG63,0.06256723594042173
HOS,0.06244747393304706
SKNAS,0.0623513478089702
MIAPACA2,0.06222533899699256
SNU685,0.061972574809520745
KYSE410,0.06187550341084158
