,RCMB28,COSMIC ID
cosmic_688031,-0.10156936238907632,688031
cosmic_910691,-0.12051642342119992,910691
cosmic_906834,-0.1477185148809346,906834
cosmic_688022,-0.173607447371206,688022
cosmic_908483,-0.19710310851870977,908483
cosmic_753582,-0.19789070616552895,753582
cosmic_713899,-0.20384536529574307,713899
cosmic_688006,-0.20564954078592057,688006
cosmic_753588,-0.2064041008136347,753588
cosmic_907170,-0.20983515653716178,907170
cosmic_753618,-0.22983677406069009,753618
cosmic_688023,-0.23365494287597963,688023
cosmic_753599,-0.2461824241841846,753599
cosmic_713878,-0.24732378685640857,713878
cosmic_687804,-0.24771095766545786,687804
cosmic_949173,-0.24772445026085352,949173
cosmic_949175,-0.2527641225078126,949175
cosmic_924241,-0.2527681213201178,924241
cosmic_753589,-0.2532823480582718,753589
cosmic_753594,-0.25352854913197975,753594
cosmic_688027,-0.25549869082818055,688027
cosmic_910568,-0.26057868898955344,910568
cosmic_687997,-0.26167721069650524,687997
cosmic_688026,-0.2617928664026475,688026
cosmic_1240193,-0.2656218325589456,1240193
cosmic_688025,-0.2660063066116459,688025
cosmic_909731,-0.27123709015520475,909731
cosmic_688013,-0.2718631936362711,688013
cosmic_688010,-0.2721851707644613,688010
cosmic_908135,-0.2721997754317971,908135
cosmic_687985,-0.273350200344694,687985
cosmic_753547,-0.2737896396856132,753547
cosmic_688001,-0.27531072147659624,688001
cosmic_910941,-0.27708467154643346,910941
cosmic_688086,-0.2775805692727275,688086
cosmic_910567,-0.2777100853897367,910567
cosmic_1240181,-0.277935972862715,1240181
cosmic_713885,-0.27797060974887444,713885
cosmic_949177,-0.2830521234188927,949177
cosmic_909194,-0.2831484845171398,909194
cosmic_910937,-0.2847049226727925,910937
cosmic_753616,-0.2908204738273288,753616
cosmic_687600,-0.29442283884084286,687600
cosmic_687980,-0.29475906534068735,687980
cosmic_688014,-0.2976058560055611,688014
cosmic_908467,-0.300762276264346,908467
cosmic_753564,-0.3029180173302941,753564
cosmic_753605,-0.30405040686926277,753605
cosmic_1322213,-0.30811246979264756,1322213
cosmic_910780,-0.30859926682125016,910780
cosmic_688018,-0.31047746089758727,688018
cosmic_949170,-0.31223681034037076,949170
cosmic_907314,-0.31268297642248877,907314
cosmic_908447,-0.3149563124582777,908447
cosmic_753620,-0.3188583175451366,753620
cosmic_688021,-0.3209436635980257,688021
cosmic_949172,-0.3210015487727064,949172
cosmic_688007,-0.32235012477266606,688007
cosmic_684055,-0.3249087115240057,684055
cosmic_688087,-0.32543339644262975,688087
cosmic_910692,-0.3287795754300109,910692
cosmic_946357,-0.32907490328481515,946357
cosmic_908468,-0.3299268839957778,908468
cosmic_1330972,-0.33061458336834093,1330972
cosmic_949166,-0.3313501916110166,949166
cosmic_949168,-0.3313755264488446,949168
cosmic_949178,-0.3319266134114717,949178
cosmic_753607,-0.3322190785266574,753607
cosmic_949155,-0.33444878412389323,949155
cosmic_1297438,-0.33565343670258413,1297438
cosmic_910899,-0.3381196830148874,910899
cosmic_717431,-0.3381210045638985,717431
cosmic_909779,-0.33903267766383516,909779
cosmic_906875,-0.3396339292445057,906875
cosmic_908454,-0.3401567927244532,908454
cosmic_908469,-0.340577721746504,908469
cosmic_1297439,-0.34087996622812233,1297439
cosmic_908440,-0.34160214064474975,908440
cosmic_907295,-0.341757741544125,907295
cosmic_1330964,-0.34181993435450453,1330964
cosmic_908458,-0.3423432359586714,908458
cosmic_1322212,-0.3423733103374234,1322212
cosmic_1240210,-0.34371390182201167,1240210
cosmic_688011,-0.34424180775417,688011
cosmic_753551,-0.34539290849549376,753551
cosmic_908481,-0.3456546726884602,908481
cosmic_925341,-0.34577656433765064,925341
cosmic_949176,-0.3480176770820996,949176
cosmic_906847,-0.3481709845333317,906847
cosmic_909976,-0.3526137180962625,909976
cosmic_906808,-0.3534693342200242,906808
cosmic_906812,-0.35564819905852435,906812
cosmic_949179,-0.3561040634585764,949179
cosmic_949171,-0.35688413001821534,949171
cosmic_1299075,-0.3571027368641469,1299075
cosmic_724872,-0.3574958111274293,724872
cosmic_1298538,-0.35802051936916623,1298538
cosmic_1298534,-0.35822517763189443,1298534
cosmic_713869,-0.3596106347178679,713869
cosmic_949158,-0.36019353097468265,949158
cosmic_753539,-0.3609604509707244,753539
cosmic_909707,-0.36118189611689566,909707
cosmic_684062,-0.3631045290989402,684062
cosmic_687995,-0.36431534014404365,687995
cosmic_753573,-0.3643221905798947,753573
cosmic_910569,-0.36490182224483336,910569
cosmic_684072,-0.3651823696722892,684072
cosmic_949161,-0.3656267459563005,949161
cosmic_753534,-0.36574601131559253,753534
cosmic_930299,-0.3658522109301929,930299
cosmic_908129,-0.3676661170876359,908129
cosmic_925342,-0.36915326422056255,925342
cosmic_949167,-0.3694677292845466,949167
cosmic_1298222,-0.37081821206558263,1298222
cosmic_909730,-0.3711971104787688,909730
cosmic_1299070,-0.3719010171705343,1299070
cosmic_1331040,-0.37467077482763433,1331040
cosmic_1240182,-0.3747252757660183,1240182
cosmic_1240189,-0.3768912851499141,1240189
cosmic_1298349,-0.37769841798213843,1298349
cosmic_971773,-0.3779762198095833,971773
cosmic_724855,-0.3782233999637391,724855
cosmic_906833,-0.3791957343689935,906833
cosmic_905965,-0.37921123614034963,905965
cosmic_949160,-0.379352897976484,949160
cosmic_684057,-0.3802681728034887,684057
cosmic_907319,-0.380611074597366,907319
cosmic_949163,-0.38149447407113696,949163
cosmic_907320,-0.38247852562058965,907320
cosmic_907790,-0.3835042073032601,907790
cosmic_1240192,-0.3841547313360212,1240192
cosmic_724828,-0.3842384355927884,724828
cosmic_1240217,-0.38468707295986126,1240217
cosmic_905952,-0.386751765660015,905952
cosmic_909716,-0.38693133549163017,909716
cosmic_909264,-0.38728496347735397,909264
cosmic_908472,-0.38817647012056783,908472
cosmic_949164,-0.38849360780680897,949164
cosmic_906850,-0.3886698504656958,906850
cosmic_1503371,-0.3897428047168454,1503371
cosmic_753565,-0.39063029010420347,753565
cosmic_909776,-0.3907244681535078,909776
cosmic_907785,-0.3908716043413921,907785
cosmic_1240191,-0.39094889921661313,1240191
cosmic_687787,-0.39114310548729875,687787
cosmic_949088,-0.3912197795501108,949088
cosmic_906849,-0.3930471609013705,906849
cosmic_1299052,-0.393326299690699,1299052
cosmic_946355,-0.39359479657023966,946355
cosmic_1659817,-0.3943572034347285,1659817
cosmic_906842,-0.39569849704206345,906842
cosmic_906844,-0.3958831725448355,906844
cosmic_1327765,-0.39660398714183437,1327765
cosmic_906804,-0.39684764100343245,906804
cosmic_949162,-0.3974695034583851,949162
cosmic_946360,-0.3977920368871035,946360
cosmic_908443,-0.3979680329751522,908443
cosmic_684681,-0.39796898898531263,684681
cosmic_906765,-0.3985960936316304,906765
cosmic_1480359,-0.398966559555368,1480359
cosmic_924100,-0.3995554106333116,924100
cosmic_1240206,-0.399787879831798,1240206
cosmic_1330973,-0.40007013816995335,1330973
cosmic_1240190,-0.4004165292531581,1240190
cosmic_907055,-0.40057141347588376,907055
cosmic_910942,-0.4008033345030417,910942
cosmic_910545,-0.4008916852658202,910545
cosmic_909256,-0.4015724609007846,909256
cosmic_906831,-0.4020880484094979,906831
cosmic_1240142,-0.4020988234044286,1240142
cosmic_949174,-0.40215172962723833,949174
cosmic_1331039,-0.40221564008190097,1331039
cosmic_1240129,-0.40226156019143333,1240129
cosmic_1240205,-0.4022714916712105,1240205
cosmic_749711,-0.4025253266719337,749711
cosmic_749713,-0.4028049593370247,749713
cosmic_1298350,-0.4029335542212604,1298350
cosmic_1298223,-0.4029676076960572,1298223
cosmic_906827,-0.40335093465103256,906827
cosmic_1240149,-0.4037008089408511,1240149
cosmic_1330935,-0.4041706341037449,1330935
cosmic_687798,-0.4042709255727503,687798
cosmic_722058,-0.4043389299392324,722058
cosmic_908159,-0.4045149882802146,908159
cosmic_905962,-0.4047830861754497,905962
cosmic_908125,-0.40507028246430626,908125
cosmic_925345,-0.4052102784943881,925345
cosmic_687802,-0.4057337733903345,687802
cosmic_684059,-0.40610592651270727,684059
cosmic_753563,-0.40692905115415723,753563
cosmic_753559,-0.40707952549518717,753559
cosmic_925338,-0.40762843335448806,925338
cosmic_949090,-0.40789044755207776,949090
cosmic_908148,-0.4080001082976752,908148
cosmic_1240172,-0.40842310630841316,1240172
cosmic_753555,-0.40887520427946833,753555
cosmic_924248,-0.4091146733479293,924248
cosmic_687815,-0.4091735453609772,687815
cosmic_684052,-0.40943995655182697,684052
cosmic_949165,-0.40977000357183735,949165
cosmic_908150,-0.4102560774163237,908150
cosmic_907043,-0.41050369043027535,907043
cosmic_924106,-0.4110190168335922,924106
cosmic_908121,-0.412139472724511,908121
cosmic_910920,-0.41223112805516227,910920
cosmic_908471,-0.4124010175958253,908471
cosmic_753576,-0.4127719250602506,753576
cosmic_713880,-0.41296869533191266,713880
cosmic_907073,-0.4129875620748549,907073
cosmic_724831,-0.4137489736874553,724831
cosmic_907791,-0.41389622873853427,907791
cosmic_1303900,-0.4145524432386464,1303900
cosmic_946358,-0.4145841149900545,946358
cosmic_753556,-0.414607641364332,753556
cosmic_909739,-0.41480389767328424,909739
cosmic_907060,-0.41503024854437576,907060
cosmic_908131,-0.41514917251358435,908131
cosmic_906848,-0.415297763364887,906848
cosmic_910853,-0.41532763780762694,910853
cosmic_924110,-0.41563085658009197,924110
cosmic_1330931,-0.4157159024086751,1330931
cosmic_998184,-0.41583340374815214,998184
cosmic_907275,-0.4161163750457563,907275
cosmic_1240160,-0.41626639140540583,1240160
cosmic_1290807,-0.4165173888128869,1290807
cosmic_907322,-0.4166360726404697,907322
cosmic_1330950,-0.4173045899484564,1330950
cosmic_909718,-0.41741537199922274,909718
cosmic_905991,-0.41743015765322233,905991
cosmic_1240131,-0.41747639813675125,1240131
cosmic_905946,-0.41767814303650586,905946
cosmic_905956,-0.4176880142327464,905956
cosmic_753612,-0.4178694220188161,753612
cosmic_1287381,-0.41787875791027373,1287381
cosmic_905942,-0.4178864308759293,905942
cosmic_909257,-0.4179661283549044,909257
cosmic_910919,-0.4179781727954437,910919
cosmic_907072,-0.41876920927064615,907072
cosmic_910934,-0.41882649151647466,910934
cosmic_910695,-0.41886941085276835,910695
cosmic_908463,-0.4189623452768499,908463
cosmic_1240158,-0.41913047978009493,1240158
cosmic_909253,-0.41955849303664516,909253
cosmic_905933,-0.4198828144411798,905933
cosmic_907042,-0.420074812811394,907042
cosmic_687505,-0.4201499955301534,687505
cosmic_910900,-0.42015140364336184,910900
cosmic_909697,-0.4202005658211072,909697
cosmic_910687,-0.4202612523900554,910687
cosmic_910906,-0.4203187065672933,910906
cosmic_1327771,-0.4206941285953746,1327771
cosmic_907280,-0.42072818988149663,907280
cosmic_1240141,-0.4207972225256752,1240141
cosmic_906820,-0.4209215459990925,906820
cosmic_749716,-0.42094401880507654,749716
cosmic_1240134,-0.4210592052016721,1240134
cosmic_906856,-0.42109506752799003,906856
cosmic_905948,-0.42109692539707416,905948
cosmic_905944,-0.4216602718044229,905944
cosmic_909769,-0.4226529389412674,909769
cosmic_1327775,-0.4227880627811319,1327775
cosmic_1240199,-0.42282261665951054,1240199
cosmic_1240216,-0.4228289887600186,1240216
cosmic_1330941,-0.42309620829633665,1330941
cosmic_1290907,-0.4231489421232645,1290907
cosmic_683665,-0.4235897456562141,683665
cosmic_909249,-0.42368531442030977,909249
cosmic_1330985,-0.4238421009351391,1330985
cosmic_687812,-0.42388200539236903,687812
cosmic_906846,-0.4241281125059944,906846
cosmic_924239,-0.42457895766624404,924239
cosmic_907282,-0.42463133230906086,907282
cosmic_1240200,-0.42485302913118855,1240200
cosmic_909742,-0.4249347704464801,909742
cosmic_946372,-0.42496152862545217,946372
cosmic_724874,-0.4251796228808504,724874
cosmic_908145,-0.42520370154198184,908145
cosmic_910706,-0.42521277909816063,910706
cosmic_905986,-0.4253656750694602,905986
cosmic_1240221,-0.4254250796572499,1240221
cosmic_687814,-0.4258205113062684,687814
cosmic_907391,-0.42583007015426433,907391
cosmic_1297447,-0.4258522711203383,1297447
cosmic_1480374,-0.42604145222793177,1480374
cosmic_749715,-0.42605606380056815,749715
cosmic_753600,-0.42607496202847167,753600
cosmic_683667,-0.4261152575925686,683667
cosmic_909248,-0.4261817225733576,909248
cosmic_909737,-0.42620314920975766,909737
cosmic_908476,-0.42675931846286697,908476
cosmic_909251,-0.42678154571340454,909251
cosmic_908151,-0.4274629854710294,908151
cosmic_1240168,-0.428575767347425,1240168
cosmic_910209,-0.4286543341902412,910209
cosmic_910688,-0.4286662811689141,910688
cosmic_949093,-0.4286887953944492,949093
cosmic_906854,-0.4287967814071327,906854
cosmic_925340,-0.42901724460736235,925340
cosmic_907273,-0.42906405869069986,907273
cosmic_1322218,-0.42911697018431155,1322218
cosmic_1331050,-0.4291877416712586,1331050
cosmic_724878,-0.4292912780506778,724878
cosmic_910951,-0.429342883060249,910951
cosmic_1299059,-0.4293757412557435,1299059
