G3_gamma,0.2194
SHH_alpha,0.1354
G4_alpha,0.1023
G3_alpha,0.0889
G3_beta,0.0837
WNT_beta,0.0758
WNT_alpha,0.0756
G4_gamma,0.0526
SHH_delta,0.0506
G4_beta,0.0455
SHH_gamma,0.0448
SHH_beta,0.0254
