G3_gamma,0.2687
G3_beta,0.116
G3_alpha,0.1084
SHH_alpha,0.0978
G4_alpha,0.0802
WNT_alpha,0.0761
WNT_beta,0.0703
SHH_delta,0.0473
G4_gamma,0.0426
SHH_gamma,0.0395
G4_beta,0.0344
SHH_beta,0.0187
