,BT084
TEN,0.06077139360593463
JHH4,0.06017613638451807
JM1,0.05991884220202174
DV90,0.05982310768593875
L363,0.05928577025274386
KE97,0.059049011657632634
HEC151,0.05858100172548415
ZR7530,0.05815402300354052
IM95,0.05787070218160695
KARPAS422,0.057439549813196114
OCIAML2,0.057022964967361395
HEC6,0.05678519071766144
KMS12BM,0.0558730538669642
TOLEDO,0.055463784752001824
DOHH2,0.05541395326649445
HUT78,0.05534019691959089
TE15,0.05484641946471916
HCC78,0.05466528146514339
RAJI,0.052718385465870744
KYSE30,0.05253482665529221
HT1376,0.05203315788101325
KO52,0.05025926439758684
NCIH1975,0.050149563333771206
P12ICHIKAWA,0.049088070863796435
KG1,0.04715291926807125
KHM1B,0.046521814696846825
JHH2,0.046228171956424875
EFM19,0.04622809145777486
CORL23,0.045135469383596465
KYM1,0.04497237513710996
MOLT16,0.04391200780195154
KU812,0.04127418801310846
JVM3,0.039448574433850504
NCIH441,0.03944712071144938
CI1,0.039206503556973187
ALLSIL,0.03909103870199708
HH,0.03181091222787764
MONOMAC1,0.0315086521470306
KARPAS299,0.029942433519494265
MDAMB435S,0.026926833191743407
NCIH1915,0.023138971842409855
P31FUJ,0.022990083349402154
MINO,0.02290686907921227
F36P,0.007566582667067218
EB1,0.002003476653137732
