,MED1712
NCIH1092,0.23612979878129367
NCIH1184,0.23402109668272073
NCIH1694,0.2190631519322588
NCIH1341,0.21153323543866284
NCIH1155,0.20184505834012872
5637,0.20165952911522947
IMR32,0.18545773939954674
DAOY,0.18494156954485627
DU145,0.18222699182553656
KNS62,0.17977708474529128
TC71,0.17359598890668929
DMS114,0.16772185747659704
KYSE450,0.15892555086465018
HEYA8,0.1576818052790758
DBTRG05MG,0.15646218999230757
NCIH810,0.15472163412463835
NCIH1048,0.15183668049693716
KMS11,0.15092914787532202
SKNSH,0.15016080373166213
NCIH2052,0.1487874055802598
T3M10,0.1484988163111401
ISTMES1,0.1471158851768388
CHP212,0.14571668883108213
JHOS2,0.1455908762064355
SIMA,0.1444505111692279
DKMG,0.14441774832615858
KPNSI9S,0.14338002072702058
CAL27,0.14316347386223774
H4,0.14201474940710607
NCIH1651,0.14154457345622956
22RV1,0.14007944735020914
TT2609C02,0.13883376804895797
NCIH1299,0.13830578648584832
KLE,0.1379259452181412
U2OS,0.13750435277846332
WM793,0.13720023992764072
ACHN,0.13719726741529967
HARA,0.1369999439793285
SW579,0.136858830894947
SUIT2,0.13673784141986645
SKES1,0.13546412432775418
CAL78,0.13540236874692643
IGR37,0.13533054419456375
NCIH2286,0.13524103982274618
HCC1954,0.13507669283414614
SNU398,0.13380157646964275
VMRCRCW,0.13347038743450199
NCIH1792,0.13198807395277942
SW1088,0.1315382088629401
SJSA1,0.13124596963965904
QGP1,0.13017913720182506
ZR751,0.1281262350555302
JHOS4,0.12807931186678667
ESS1,0.12778176854174356
MFE280,0.1255320023180557
KELLY,0.12538783786102572
ES2,0.12360154713063773
HGC27,0.12292651313725866
OVCAR8,0.12241204079235297
UACC812,0.12230870530584988
SKNBE2,0.12212369858752946
OE21,0.1208927161606374
NCIH2444,0.12040024316799375
TOV112D,0.12017866362048184
SW1353,0.12002555363322351
KMRC1,0.11979372837331277
MSTO211H,0.11888617118582402
NCIH2170,0.11799736668458428
SNU182,0.11798131104195646
SW1573,0.11771962519150463
WM2664,0.11716718845733183
A172,0.11613197899875681
KMRC2,0.11577508417265638
MPP89,0.11564147012115125
SW900,0.11501555488322275
SF126,0.11495154766811029
SNU423,0.1143904329935137
JMSU1,0.11375726401453164
HS683,0.11339900657065043
NIHOVCAR3,0.11288354720912658
SNU475,0.11178828559166845
NCIH661,0.11151048122803445
BT549,0.11115989800139854
8305C,0.11070398566245461
G361,0.10987318057183375
FUOV1,0.10925060031289505
A549,0.10830524999903302
SAOS2,0.10791138280585894
SBC5,0.10759100718946585
NCIH522,0.10743798827568406
MDAMB436,0.1072414534076272
U87MG,0.10688109545755638
SKHEP1,0.10639248717859506
HS739T,0.10621136249030498
HCT116,0.10582473586874167
WM88,0.10560795891177113
786O,0.10517890483858362
SCC25,0.1045051842091634
RERFGC1B,0.10416729548519535
NCIH727,0.10306431485354217
NCIH747,0.10281717127245285
ISTMES2,0.10266351701933679
EFE184,0.10237219813867973
SW48,0.10178504762537137
T98G,0.1017101636832378
MFE319,0.10163860767602544
A253,0.10113851378225008
SW403,0.10083443372757359
SKNAS,0.10068912805769585
DETROIT562,0.10044363627032858
SKMEL24,0.10017037157560407
KNS60,0.09991637454207418
HCC1395,0.09971828209786264
KYSE180,0.09938625360383596
RD,0.09936616523888425
LU99,0.09924388549443694
NCIH1650,0.09895715530061226
KYSE70,0.09879390434882415
NCIH23,0.0986637038781507
WM115,0.09864324263866188
CALU1,0.09846269842776358
A673,0.09833058256665163
VMRCRCZ,0.09811930472357501
MKN45,0.09802196646876572
MG63,0.097659310183465
SW780,0.09761100546473836
8505C,0.09727893437955479
NCIH520,0.09698082670600901
MHHES1,0.09691379515650586
HCC1187,0.09684999354842834
SKOV3,0.09627890668938835
HUCCT1,0.09582906932178815
PANC0327,0.09551915643432052
MIAPACA2,0.0954482910995394
SHP77,0.09467235179552867
HS840T,0.09460029425183966
KURAMOCHI,0.09456570252015006
HS729,0.09443093177368257
SKNFI,0.09410904134982848
HOS,0.09350476892854062
LP1,0.09348067521719218
IPC298,0.09261396393154268
LN18,0.09224367926192602
NCIH460,0.09213489783347222
HCC1569,0.09182635899693138
HS852T,0.09114471909054492
WM983B,0.0909211966624288
A204,0.09079934068962726
KNS81,0.09075077935196252
KP4,0.09073075594730581
PC3,0.0904511233177174
NCIH1666,0.0901760514201805
SW480,0.09013128578698373
KYSE410,0.0893314446972036
SKMES1,0.08854345689924543
RKN,0.08851809148973254
SW1990,0.0882373205632519
BT474,0.08812104978222028
NCIH1693,0.08804841406624979
IGR39,0.08746556747929175
HEL9217,0.08737354111029769
SNU387,0.08709697418236462
COLO741,0.08701496207695406
CAS1,0.08695526734622976
FADU,0.0864077692834254
UACC257,0.08635266412603138
ONCODG1,0.08591413543152737
HCC15,0.08537224806674107
TE11,0.08505474469775173
NCIH322,0.08502722324965398
HS939T,0.0849955702910149
MKN7,0.08449829962296546
769P,0.08420375043987334
NCIH647,0.08411379974126323
HCC44,0.08408710034685897
COV504,0.08320196648740279
SKMEL5,0.0828948929023762
COLO679,0.0825336732663596
HS746T,0.0824157760274571
NCIH211,0.08236069425646536
ISHIKAWAHERAKLIO02ER,0.08222945598610411
42MGBA,0.08214760916329915
RVH421,0.08211909008824655
OVTOKO,0.08134583854534418
KALS1,0.08131612632615833
HS695T,0.08111210640138339
A2780,0.08076234160914114
UMUC3,0.08075712006454906
NCIH2122,0.08041473949851663
NCIH1568,0.08041196743810587
OVCAR4,0.08015067458579923
HMCB,0.08005897347217979
C32,0.07983353093675201
GB1,0.07965828734342781
NCIH1581,0.07949348296073308
NCIH1703,0.07946410077814739
OVSAHO,0.0794070562211583
J82,0.07899663450878057
CAKI2,0.07898324178680671
NCIH2023,0.07871323828687872
KMS26,0.07813453068144849
RERFLCMS,0.07809568842883412
LN229,0.07757582477181599
8MGBA,0.0772088883712255
HS229T,0.07689554844998617
HS936T,0.07681763090520252
HMC18,0.07676730382633706
JHH7,0.0765720495104384
NCIH2452,0.07633519679247083
HCT15,0.07616153088038358
LUDLU1,0.07587673883972307
SUDHL10,0.07566761578077906
COV318,0.0754407830955225
NCIH1869,0.07470253286784281
EN,0.07423326329375177
HDMYZ,0.07342451463816338
MESSA,0.07302721876128154
OC314,0.07279304273781857
MELHO,0.07267569625750529
SKNDZ,0.07241605785445805
HS944T,0.07229582710608955
HS895T,0.07213733803265454
KARPAS620,0.07210147034914287
T24,0.0717067864288987
HT144,0.0715140599679044
NCIH2172,0.07088778336431875
RL952,0.07065611415787587
MEWO,0.06962322033727031
RERFLCAI,0.06955086125669108
GCT,0.06926599534884671
SKLU1,0.0689689575859147
HCC1806,0.06770745586639912
MDAMB157,0.0674727192306445
LOXIMVI,0.06736927994665627
NCIH226,0.0673212916980663
SUDHL6,0.06700929003275662
CAMA1,0.06699320388571674
KNS42,0.06666310014008528
HUPT4,0.06649094697822712
NCIH1563,0.06586485975062062
KMS34,0.06580814757833126
TE9,0.06532860414737322
CAL851,0.06522357722306925
HCC4006,0.06486954782755971
YKG1,0.06485660371936539
MDAMB468,0.06480477242805403
UACC62,0.06404573553000449
MCAS,0.06283178316707518
K029AX,0.06255208559020922
MC116,0.062248616141061634
SW1417,0.06217129344940236
RT112,0.062063657859637904
BXPC3,0.06171458119162592
TE1,0.06166788865104362
A2058,0.06163616981730142
BCPAP,0.06135206896991704
NCO2,0.061166869269384326
SUDHL4,0.061097197044591336
HT1080,0.06078028345969431
SNU16,0.0607472229704312
SCABER,0.0607407030006821
TE617T,0.06070325466537423
CAL12T,0.060226161255309746
NCIH2030,0.05988121327171512
CORL105,0.05982484611324015
NCIH2085,0.05949420367216618
MOLP8,0.059481580942762555
JURKAT,0.05855389142621994
ONS76,0.0585010931357958
SNU449,0.058444452387900254
KYSE520,0.058428896143213595
HLF,0.05823125803479796
IGROV1,0.05816199330918049
GMS10,0.05778787569211548
SF295,0.05778565381663005
TCCSUP,0.05734142442211181
EM2,0.05686644752763962
HS294T,0.0568621078426857
GAMG,0.05675206400167762
ASPC1,0.05673362520854923
CALU3,0.056416390337697006
GI1,0.05622604353222913
SW1271,0.05621729664574993
JHUEM2,0.0558084484114811
SKMEL30,0.05566971156937936
COLO320,0.05541275279297009
C2BBE1,0.055271345344888485
LCLC103H,0.055254691923598324
CALU6,0.05499432655788032
MDAMB453,0.054788130147360836
NCIH1648,0.05441274718850986
BL70,0.0542220994077262
RPMI7951,0.053816291444362244
NCIH1573,0.05380196546436803
NCIH1793,0.053250093759404336
OVMANA,0.05323043899265374
MKN74,0.05246674860421713
FU97,0.052088833586437504
HCC70,0.051927769399265196
NCIH2228,0.05181142110553696
NCIH28,0.05152691047152774
PANC1005,0.05125600345651663
A375,0.0511652873359924
ZR7530,0.048359580664298595
BFTC909,0.04814687838540944
TYKNU,0.04783057981482794
SU8686,0.04721655779977535
NCIH1373,0.04684480281488365
MDAMB175VII,0.046054776778803624
HS766T,0.04580141562078303
OV90,0.04571206918510921
SKMEL31,0.045335005389127415
L33,0.044430282343435115
CAPAN2,0.04439903293105992
HCC827,0.04406153283047252
NCIH1355,0.04402014485754327
MEC1,0.04382143556445909
KYSE510,0.043549636397176336
NUGC4,0.04266859436381919
LS411N,0.04259036670453486
EFO27,0.042108580473108975
PATU8902,0.04189387206708288
PSN1,0.041512548083371396
G401,0.041338030377191116
HS578T,0.04132189564939428
HEC251,0.04126151028209444
TOV21G,0.04122621430141812
HDQP1,0.04101776273527152
KP2,0.040970533366453614
SNUC2A,0.04075915145348966
HSC2,0.040757133428691486
NUGC3,0.04065078109387305
PK45H,0.04045566341130626
SNGM,0.04045230514634409
SKLMS1,0.040347242548338186
BL41,0.04029972808095197
639V,0.03962671192837337
LOUNH91,0.03858870848825044
BT20,0.03849726602716202
IALM,0.03829520859800698
