,MED1712,COSMIC ID
cosmic_688022,-0.1256363528488861,688022
cosmic_688023,-0.1420625648288461,688023
cosmic_753589,-0.15389979569979242,753589
cosmic_688031,-0.1872887673530923,688031
cosmic_910937,-0.20192549717390545,910937
cosmic_753582,-0.2053150752707715,753582
cosmic_907170,-0.21720590336897966,907170
cosmic_1322213,-0.22187033256662944,1322213
cosmic_687997,-0.2239165929123318,687997
cosmic_753588,-0.22826828045394407,753588
cosmic_753599,-0.23064885006422747,753599
cosmic_908483,-0.2338888940436912,908483
cosmic_688006,-0.234956373426986,688006
cosmic_688027,-0.23831784463850172,688027
cosmic_949166,-0.247193292192614,949166
cosmic_924241,-0.247482287684669,924241
cosmic_713899,-0.2514673979448027,713899
cosmic_753564,-0.2525622248802981,753564
cosmic_910691,-0.253033294051957,910691
cosmic_687985,-0.2539609214218351,687985
cosmic_688013,-0.25752896251935353,688013
cosmic_909731,-0.25828522216167965,909731
cosmic_753594,-0.2589602730879709,753594
cosmic_949173,-0.25926517109748687,949173
cosmic_910941,-0.25964057201509677,910941
cosmic_688018,-0.26155888984651815,688018
cosmic_949175,-0.26469330341029323,949175
cosmic_1330972,-0.26484309647114296,1330972
cosmic_909194,-0.26593452948533625,909194
cosmic_949177,-0.2666774981173541,949177
cosmic_688021,-0.26674796971557485,688021
cosmic_688001,-0.26679251716255425,688001
cosmic_907295,-0.2673043621376469,907295
cosmic_910567,-0.26748464518930753,910567
cosmic_688014,-0.2676171269410775,688014
cosmic_687600,-0.27043384834835615,687600
cosmic_910568,-0.27069993951609256,910568
cosmic_753607,-0.2713766407694825,753607
cosmic_1330964,-0.2731106659867781,1330964
cosmic_1240181,-0.27692103670541857,1240181
cosmic_753551,-0.2787295707340021,753551
cosmic_753605,-0.2795806432253404,753605
cosmic_908135,-0.2798273208335807,908135
cosmic_949155,-0.28228192062558016,949155
cosmic_688010,-0.2825403664544458,688010
cosmic_713885,-0.2837649708327633,713885
cosmic_906833,-0.28530940685014583,906833
cosmic_908454,-0.28564115098437265,908454
cosmic_1297439,-0.28960486472675495,1297439
cosmic_753620,-0.2899806276146989,753620
cosmic_713878,-0.29252907524695754,713878
cosmic_688007,-0.292694497357355,688007
cosmic_688011,-0.29369999619069326,688011
cosmic_1297438,-0.29412761014652866,1297438
cosmic_908129,-0.29591855580485654,908129
cosmic_753547,-0.29600778954277157,753547
cosmic_910780,-0.297110960592273,910780
cosmic_688025,-0.29862041500733494,688025
cosmic_1240193,-0.29930888842332004,1240193
cosmic_908447,-0.3004647086925669,908447
cosmic_684055,-0.3010001272789128,684055
cosmic_949160,-0.3010373080925715,949160
cosmic_906808,-0.30113908544196505,906808
cosmic_908467,-0.3013107170391439,908467
cosmic_1322212,-0.30237063525484076,1322212
cosmic_687980,-0.30316937947514705,687980
cosmic_910692,-0.3041814785778668,910692
cosmic_688087,-0.3045509769163648,688087
cosmic_909730,-0.3076981238174432,909730
cosmic_908150,-0.3079416317542619,908150
cosmic_906834,-0.3080069402493851,906834
cosmic_946360,-0.3086667169043476,946360
cosmic_713869,-0.3095598057966846,713869
cosmic_688086,-0.3096637993508611,688086
cosmic_753616,-0.31016724189442196,753616
cosmic_684052,-0.31238147606400446,684052
cosmic_949168,-0.31294573759698113,949168
cosmic_949172,-0.3131432619089603,949172
cosmic_684072,-0.3148276679529983,684072
cosmic_949167,-0.3148548853473201,949167
cosmic_688026,-0.31554790003037625,688026
cosmic_908481,-0.31602242428169497,908481
cosmic_684062,-0.31700297708037245,684062
cosmic_925341,-0.31840755562537515,925341
cosmic_684059,-0.318497146709359,684059
cosmic_1240191,-0.31962798422794764,1240191
cosmic_724872,-0.31963702739574,724872
cosmic_907319,-0.32008438612870665,907319
cosmic_687804,-0.32058889590507256,687804
cosmic_949170,-0.3207854517867406,949170
cosmic_1240210,-0.3214584288947655,1240210
cosmic_908440,-0.32351298538116263,908440
cosmic_949176,-0.32379185102404523,949176
cosmic_684057,-0.32421098137678106,684057
cosmic_909707,-0.32437397354038355,909707
cosmic_909779,-0.32488403947353856,909779
cosmic_1240182,-0.3258973356669984,1240182
cosmic_907314,-0.3301415070681082,907314
cosmic_1524417,-0.33114724927314343,1524417
cosmic_907060,-0.33126521484037014,907060
cosmic_908468,-0.3320027314694836,908468
cosmic_949164,-0.33221277912019836,949164
cosmic_724855,-0.33279078831505543,724855
cosmic_908458,-0.33288832059500595,908458
cosmic_1240131,-0.3334336337432885,1240131
cosmic_687995,-0.33506020051521646,687995
cosmic_971773,-0.3354740210233533,971773
cosmic_1299061,-0.33705699659328314,1299061
cosmic_1240216,-0.33726555002865966,1240216
cosmic_949162,-0.33764913684725417,949162
cosmic_724879,-0.3381487228913662,724879
cosmic_1240178,-0.33911050333727066,1240178
cosmic_924186,-0.33950267636627113,924186
cosmic_949178,-0.3395759647139692,949178
cosmic_1240149,-0.3404288755814438,1240149
cosmic_1240217,-0.34048598760876997,1240217
cosmic_1240150,-0.34081007439877475,1240150
cosmic_1480361,-0.3409528700961277,1480361
cosmic_1480359,-0.3415764271407154,1480359
cosmic_949161,-0.3425370050379404,949161
cosmic_949158,-0.3427715763988053,949158
cosmic_905986,-0.3439789236104745,905986
cosmic_949165,-0.3440949666971507,949165
cosmic_1240137,-0.344146517045467,1240137
cosmic_909776,-0.34449199957260984,909776
cosmic_925342,-0.34463137585067743,925342
cosmic_753618,-0.3446913680958404,753618
cosmic_724828,-0.34475248251850266,724828
cosmic_1240135,-0.3454329187283469,1240135
cosmic_906875,-0.3455714213035536,906875
cosmic_717431,-0.34687256275280115,717431
cosmic_906794,-0.34706225584085626,906794
cosmic_1299075,-0.3479491447437685,1299075
cosmic_1298538,-0.34858084321937877,1298538
cosmic_910931,-0.34886694090355963,910931
cosmic_1330973,-0.3489869553766992,1330973
cosmic_949156,-0.34900720752496894,949156
cosmic_910920,-0.34934906907775215,910920
cosmic_909717,-0.34957831075960955,909717
cosmic_1298222,-0.3503957151814033,1298222
cosmic_1480362,-0.35086906356235953,1480362
cosmic_907050,-0.3509806744809514,907050
cosmic_687787,-0.35099142580691484,687787
cosmic_924187,-0.3511587079207293,924187
cosmic_1298350,-0.35117904549322576,1298350
cosmic_907042,-0.3515142230167046,907042
cosmic_724868,-0.35177393068168633,724868
cosmic_949163,-0.35230672903884436,949163
cosmic_687452,-0.35235508808077537,687452
cosmic_908144,-0.3525065711333333,908144
cosmic_909737,-0.3526187431170957,909737
cosmic_905972,-0.3529178037830222,905972
cosmic_753559,-0.3531229433648274,753559
cosmic_909756,-0.3535500088675218,909756
cosmic_906835,-0.3540536852354018,906835
cosmic_753555,-0.3543360346967741,753555
cosmic_1298534,-0.3545034604026984,1298534
cosmic_910904,-0.35499553392326927,910904
cosmic_907172,-0.35509131354220613,907172
cosmic_1240129,-0.3553291806394687,1240129
cosmic_909716,-0.3555667862627745,909716
cosmic_908125,-0.3557430585462485,908125
cosmic_946357,-0.3558757517776713,946357
cosmic_1524414,-0.35598990615188253,1524414
cosmic_907173,-0.35605867643049205,907173
cosmic_749712,-0.35669752406165206,749712
cosmic_909739,-0.3567227676237161,909739
cosmic_906812,-0.357207644861843,906812
cosmic_1298349,-0.3574186904669185,1298349
cosmic_909712,-0.35784289309813294,909712
cosmic_906746,-0.3581094096174867,906746
cosmic_1290730,-0.3581310079902792,1290730
cosmic_906820,-0.35830695468731893,906820
cosmic_1240141,-0.3584789374889203,1240141
cosmic_910900,-0.3588814968972712,910900
cosmic_909720,-0.358922405821165,909720
cosmic_753573,-0.35900370614229565,753573
cosmic_946370,-0.359058434347897,946370
cosmic_924100,-0.3595587516525376,924100
cosmic_1240134,-0.3595983999883112,1240134
cosmic_753556,-0.35974610198154405,753556
cosmic_907320,-0.3597916764482857,907320
cosmic_909256,-0.35988032486293475,909256
cosmic_684681,-0.3599134944036938,684681
cosmic_908131,-0.3602082491776865,908131
cosmic_910911,-0.36025666707524573,910911
cosmic_1298356,-0.36048458339382267,1298356
cosmic_908469,-0.3609252505284971,908469
cosmic_907282,-0.36094491572717086,907282
cosmic_749717,-0.36132828215659396,749717
cosmic_1240125,-0.36139837291800164,1240125
cosmic_1290807,-0.3615895701870649,1290807
cosmic_905983,-0.36182083239215135,905983
cosmic_906795,-0.3619630025638223,906795
cosmic_905933,-0.36207504257714596,905933
cosmic_910853,-0.36232626880058616,910853
cosmic_753577,-0.3624446202751405,753577
cosmic_907055,-0.36289911925990503,907055
cosmic_909264,-0.36320170246915867,909264
cosmic_909718,-0.36379482617250614,909718
cosmic_1503371,-0.36391492523447866,1503371
cosmic_753539,-0.36416468600277246,753539
cosmic_1298355,-0.36423481790375306,1298355
cosmic_1330993,-0.3642872403807847,1330993
cosmic_753534,-0.3644252011544274,753534
cosmic_906827,-0.36481468805238315,906827
cosmic_753585,-0.3648315601974156,753585
cosmic_1330985,-0.36586894463664,1330985
cosmic_909759,-0.3662598330289767,909759
cosmic_909905,-0.3667988890284711,909905
cosmic_908138,-0.36684892001842717,908138
cosmic_1480358,-0.3671059637061608,1480358
cosmic_910899,-0.3673536197557136,910899
cosmic_1290810,-0.3673899239620332,1290810
cosmic_753536,-0.3683934503495619,753536
cosmic_946355,-0.36867123505898836,946355
cosmic_1240205,-0.3688580159244246,1240205
cosmic_722058,-0.369174329341779,722058
cosmic_924105,-0.3694342407984523,924105
cosmic_910569,-0.36967095186810767,910569
cosmic_1480374,-0.36981795081086166,1480374
cosmic_909728,-0.37018921799517696,909728
cosmic_908152,-0.37021097743404774,908152
cosmic_1298134,-0.3702235278955071,1298134
cosmic_949171,-0.3707590195174361,949171
cosmic_924188,-0.37081206939827865,924188
cosmic_753565,-0.3708648855808639,753565
cosmic_909248,-0.3711246078979251,909248
cosmic_753576,-0.3714853701948778,753576
cosmic_1298359,-0.3718554447561535,1298359
cosmic_908462,-0.3719908921701221,908462
cosmic_910698,-0.37216243869019516,910698
cosmic_1240199,-0.3721795568252042,1240199
cosmic_949179,-0.3724073390641122,949179
cosmic_1290813,-0.37246956810229925,1290813
cosmic_906849,-0.3728171625953426,906849
cosmic_1479991,-0.37282406696389986,1479991
cosmic_908126,-0.3728450813102144,908126
cosmic_946354,-0.37284828864839403,946354
cosmic_925338,-0.3730646271681634,925338
cosmic_1240209,-0.3732151481632691,1240209
