,MED1911
NCIH524,0.2818159390713837
NCIH1184,0.22810060995255826
NCIH1155,0.21400047622451346
DMS273,0.20096136199923978
D283MED,0.19995803784890903
HCC33,0.17065603700668258
NCIH446,0.1494170175144832
MHHNB11,0.12801003015102458
NCIH810,0.12111348479524704
KPNSI9S,0.11556150400193707
CORL95,0.11456751880213424
KELLY,0.11253273893091743
FUOV1,0.11136755851729035
DU145,0.10886692858212033
NCIH661,0.1058689384111511
CHP212,0.10582813688374249
NH6,0.10306736297368271
FTC133,0.10249413280456653
DMS53,0.10116169051604676
NCIH2029,0.09921118895532004
COLO668,0.09786767654253524
5637,0.09583131046695838
SNU878,0.09285561747477612
SW1463,0.09182658461374239
SKNSH,0.0913864776246358
BEN,0.08982509585345283
KNS62,0.08788123364815492
IMR32,0.08724691076982075
KYSE450,0.0869142944189561
TT2609C02,0.08586259732119579
CAOV3,0.08284461603421554
SIMA,0.08113159435015171
TUHR4TKB,0.08023534984621289
QGP1,0.07829930330736791
TE441T,0.0778943910566229
DMS454,0.07778006579840288
NCIH1341,0.07716483943216798
22RV1,0.07642889770608721
NCIH522,0.0746743946885011
YH13,0.07375501047648239
NCIH1755,0.07315758240034212
NCIH2052,0.07264152209562391
VMRCRCW,0.07246092178408514
HCC1833,0.07216590249313116
DMS114,0.07066770245854026
NCIH747,0.0695778720040987
DAOY,0.06949820972792507
WM793,0.06938421513803579
T3M10,0.06892087288310877
SUIT2,0.06824040651421837
KMS11,0.06743194418684721
NCIH2196,0.065269202977632
UBLC1,0.06454573033539403
NCIH1299,0.06451131051850402
SKES1,0.063486449194171
OV7,0.06346255563277944
ECC12,0.06250947455096499
IGR37,0.062106243925567996
JL1,0.060643287594659784
NCIH2286,0.06018645053718408
SKNBE2,0.06000443671811786
HARA,0.05960673981403806
SKNDZ,0.05958228493335692
TE14,0.05922737661392506
TOV112D,0.058941407113730734
ES2,0.058609901317802963
ZR751,0.05805094985115693
SKMEL3,0.057692604360824976
ESS1,0.05658427491400165
ISTMES1,0.05647805156339273
SNU398,0.05587232449839183
NCIH196,0.05529084150411804
COLO792,0.05449368907074454
MDST8,0.05439542393541637
SNU685,0.05437555361402096
SKNFI,0.05385613281883871
TE8,0.05292244862755757
LK2,0.05255852546436886
CAL27,0.05228220782008603
TCCPAN2,0.052002585287218114
SF268,0.05079077387315066
G361,0.04990761745972384
YD15,0.04989178056328799
G292CLONEA141B1,0.04924658558077267
WM88,0.04793658220355815
OAW42,0.0473018541764264
HCC1438,0.04708398029036071
NCIH727,0.0464042605622681
YD10B,0.04630472727863297
MSTO211H,0.046278426333841875
HCC1954,0.04618754725492947
TUHR10TKB,0.04592879717218964
CADOES1,0.045577923186215834
A2780,0.045391028784232554
NCIH2170,0.04467725924566407
UMUC1,0.04242560095054051
NCIH841,0.04198694059364011
EN,0.04178381188739554
SW1088,0.04161985884713848
JHOS2,0.04160620250380669
HOS,0.041332256917794935
NCIH1581,0.04130190441738576
TE10,0.04011104776873835
DBTRG05MG,0.04002047513953407
COV434,0.03968819569366697
