,MED1911,COSMIC ID
cosmic_688031,-0.15026007739492517,688031
cosmic_753589,-0.1638001841884491,753589
cosmic_688022,-0.17312718257785834,688022
cosmic_906834,-0.17942479109728737,906834
cosmic_753588,-0.18992594668644291,753588
cosmic_910691,-0.20070173260987081,910691
cosmic_753582,-0.20228875880064728,753582
cosmic_908483,-0.2177573391053888,908483
cosmic_688006,-0.21812609283593123,688006
cosmic_687804,-0.22095487798085656,687804
cosmic_713899,-0.22829898284598396,713899
cosmic_713885,-0.23133155152499355,713885
cosmic_907170,-0.23476716799652997,907170
cosmic_1322213,-0.23593183813797294,1322213
cosmic_909194,-0.23882956975283215,909194
cosmic_908467,-0.24197518679062935,908467
cosmic_688023,-0.24224769741267654,688023
cosmic_688021,-0.24731611497467684,688021
cosmic_924241,-0.2522481481799561,924241
cosmic_688027,-0.2541616429439583,688027
cosmic_687997,-0.2568394228585861,687997
cosmic_688001,-0.2578318956393529,688001
cosmic_910937,-0.2580710807760993,910937
cosmic_949175,-0.2583094827124256,949175
cosmic_1240193,-0.2628230754810642,1240193
cosmic_753594,-0.2658299451497725,753594
cosmic_753547,-0.2666122885075838,753547
cosmic_753564,-0.2673250299930654,753564
cosmic_753605,-0.26885504922498615,753605
cosmic_1240181,-0.2696683711202881,1240181
cosmic_688013,-0.27082480945862114,688013
cosmic_753599,-0.28171096051055833,753599
cosmic_687985,-0.28303506275836254,687985
cosmic_713878,-0.28371878841389114,713878
cosmic_688014,-0.2840726048836397,688014
cosmic_688018,-0.2842020744198798,688018
cosmic_908468,-0.2880386206782616,908468
cosmic_688007,-0.2881536845806022,688007
cosmic_688026,-0.2890342432165543,688026
cosmic_687980,-0.2948329894133502,687980
cosmic_949173,-0.2949608621703974,949173
cosmic_688025,-0.29848333269068816,688025
cosmic_908135,-0.29863732005492866,908135
cosmic_688010,-0.30045571697644013,688010
cosmic_753551,-0.3040146093334865,753551
cosmic_688086,-0.3044743237673474,688086
cosmic_1322212,-0.3048811843797476,1322212
cosmic_910568,-0.3073660339026213,910568
cosmic_1330972,-0.3086175409653059,1330972
cosmic_910567,-0.3091030217815952,910567
cosmic_910941,-0.30920724350617707,910941
cosmic_753618,-0.3126472369768931,753618
cosmic_907314,-0.3135638966147537,907314
cosmic_909731,-0.3157734935017543,909731
cosmic_753607,-0.31628194208826826,753607
cosmic_930299,-0.3220987899656541,930299
cosmic_949170,-0.3248408930906663,949170
cosmic_908447,-0.32611870426502254,908447
cosmic_909779,-0.33148744160379756,909779
cosmic_724872,-0.33258965930673445,724872
cosmic_925341,-0.33359951013348677,925341
cosmic_908481,-0.3336187395897609,908481
cosmic_753616,-0.33421672979304085,753616
cosmic_949178,-0.33431690366403527,949178
cosmic_1297438,-0.33470471602759755,1297438
cosmic_753620,-0.3350268715216606,753620
cosmic_907295,-0.33614460002268126,907295
cosmic_713869,-0.34048100651926927,713869
cosmic_910899,-0.34177459709819996,910899
cosmic_949177,-0.3431779062575681,949177
cosmic_908469,-0.34546726832310065,908469
cosmic_1298534,-0.3461935558282086,1298534
cosmic_687600,-0.34728984345430386,687600
cosmic_1297439,-0.3475570132395799,1297439
cosmic_946357,-0.3479850246536174,946357
cosmic_910692,-0.34865761289632524,910692
cosmic_688011,-0.34912285119316655,688011
cosmic_688087,-0.3503314136678949,688087
cosmic_949166,-0.35182766943597665,949166
cosmic_753534,-0.3591698203984146,753534
cosmic_906808,-0.36103389142586195,906808
cosmic_1330973,-0.36136641579347006,1330973
cosmic_925342,-0.36168388820608605,925342
cosmic_717431,-0.3626191768694876,717431
cosmic_949168,-0.3630974936632726,949168
cosmic_949179,-0.3632001819026846,949179
cosmic_910780,-0.3653242575078352,910780
cosmic_908454,-0.36553432483370546,908454
cosmic_1240182,-0.3677071252942502,1240182
cosmic_1330964,-0.37906285449959953,1330964
cosmic_924100,-0.3809109305356804,924100
cosmic_906833,-0.38113203333317686,906833
cosmic_949162,-0.3815637551576582,949162
cosmic_684055,-0.38251038601438414,684055
cosmic_1299075,-0.3830619923451508,1299075
cosmic_949155,-0.38514963113420747,949155
cosmic_753539,-0.38605180741877315,753539
cosmic_906848,-0.38670384602665925,906848
cosmic_907790,-0.3870812783823804,907790
cosmic_908440,-0.3873423052143975,908440
cosmic_906875,-0.3873752584688927,906875
cosmic_1298349,-0.39127870561052935,1298349
cosmic_724828,-0.3925923211160779,724828
cosmic_908458,-0.3926757207049564,908458
cosmic_949160,-0.3940914523618102,949160
cosmic_949172,-0.39464131941537184,949172
cosmic_949161,-0.3969265159740579,949161
cosmic_724859,-0.39905265368007636,724859
cosmic_949171,-0.3998979936786861,949171
cosmic_949158,-0.4003461174372933,949158
cosmic_1480359,-0.4012170930308687,1480359
cosmic_949165,-0.40210926582604384,949165
cosmic_906844,-0.402353296391385,906844
cosmic_910942,-0.4024399849826144,910942
cosmic_949167,-0.40348312115210827,949167
cosmic_949164,-0.40413117576627006,949164
cosmic_1240206,-0.40437589592537854,1240206
cosmic_687802,-0.404578977487832,687802
cosmic_906849,-0.40520911126599285,906849
cosmic_906850,-0.4057315106874319,906850
cosmic_949163,-0.4063610524907452,949163
cosmic_724855,-0.40685804011300963,724855
cosmic_909730,-0.40763545473627183,909730
cosmic_906820,-0.40777108503698395,906820
cosmic_946360,-0.4088314025848385,946360
cosmic_1240216,-0.4089788253303213,1240216
cosmic_907319,-0.40908004643587637,907319
cosmic_908129,-0.40923609095313,908129
cosmic_687995,-0.409476571736184,687995
cosmic_684062,-0.40964163728407643,684062
cosmic_910569,-0.40973849857382383,910569
cosmic_753565,-0.4098525631603887,753565
cosmic_684072,-0.41032187357905003,684072
cosmic_1298350,-0.4112328641981774,1298350
cosmic_1240210,-0.41173422497718337,1240210
cosmic_1331039,-0.41190679490177445,1331039
cosmic_684057,-0.4119900530790033,684057
cosmic_925340,-0.4120720416903038,925340
cosmic_909718,-0.412919921463204,909718
cosmic_949176,-0.4143672555431553,949176
cosmic_687452,-0.41643138370083527,687452
cosmic_753562,-0.4170111524484018,753562
cosmic_1240129,-0.41728183592259027,1240129
cosmic_910920,-0.4177406227008134,910920
cosmic_1299070,-0.4187740243153007,1299070
cosmic_949157,-0.41880534260996233,949157
cosmic_1299052,-0.41885755686994514,1299052
cosmic_924106,-0.41936586821577787,924106
cosmic_909264,-0.4202667893869604,909264
cosmic_687787,-0.4204613884059886,687787
cosmic_687798,-0.42070360360261994,687798
cosmic_906812,-0.42096326759834546,906812
cosmic_906847,-0.42143335266512977,906847
cosmic_909707,-0.4225060100049306,909707
