,MED1911
NCIH1184,0.22810060995255826
NCIH1155,0.21400047622451346
NCIH1694,0.21103735574776408
NCIH1092,0.1726021953106531
NCIH810,0.12111348479524704
KPNSI9S,0.11556150400193707
KELLY,0.11253273893091743
FUOV1,0.11136755851729035
DU145,0.10886692858212033
NCIH661,0.1058689384111511
CHP212,0.10582813688374249
5637,0.09583131046695838
SKNSH,0.0913864776246358
KNS62,0.08788123364815492
IMR32,0.08724691076982075
KYSE450,0.0869142944189561
TT2609C02,0.08586259732119579
SIMA,0.08113159435015171
QGP1,0.07829930330736791
NCIH1341,0.07716483943216798
22RV1,0.07642889770608721
NCIH522,0.0746743946885011
TC71,0.07284097874489238
NCIH2052,0.07264152209562391
VMRCRCW,0.07246092178408514
DMS114,0.07066770245854026
NCIH747,0.0695778720040987
DAOY,0.06949820972792507
WM793,0.06938421513803579
T3M10,0.06892087288310877
SUIT2,0.06824040651421837
KMS11,0.06743194418684721
NCIH1299,0.06451131051850402
SKES1,0.063486449194171
IGR37,0.062106243925567996
NCIH2286,0.06018645053718408
MFE280,0.06014197173094231
SKNBE2,0.06000443671811786
HARA,0.05960673981403806
SKNDZ,0.05958228493335692
TOV112D,0.058941407113730734
ES2,0.058609901317802963
ZR751,0.05805094985115693
ESS1,0.05658427491400165
ISTMES1,0.05647805156339273
SNU398,0.05587232449839183
SKNFI,0.05385613281883871
CAL27,0.05228220782008603
G361,0.04990761745972384
NCIH1048,0.04801803470466162
WM88,0.04793658220355815
NCIH727,0.0464042605622681
MSTO211H,0.046278426333841875
SHP77,0.046223053273665785
HCC1954,0.04618754725492947
A2780,0.045391028784232554
NCIH2170,0.04467725924566407
EM2,0.04208637142708469
EN,0.04178381188739554
SW1088,0.04161985884713848
JHOS2,0.04160620250380669
HOS,0.041332256917794935
NCIH1581,0.04130190441738576
NIHOVCAR3,0.04080050372958174
DBTRG05MG,0.04002047513953407
NCO2,0.039328216292602844
HEL9217,0.03892115980395581
A204,0.03878515986305899
BT549,0.03863639920791629
NCIH1651,0.03855882694988424
A549,0.03838199197009241
NCIH1792,0.037749841194191676
SW1573,0.03638020239418095
RD,0.035983107255132984
MKN45,0.035811643755470336
786O,0.03536880898753781
SNU475,0.03517144131681795
UACC812,0.03514620656722252
NCIH23,0.03506311540870911
KYSE180,0.03356285705559219
A673,0.033484958429977556
IGR39,0.03342959682467669
VMRCRCZ,0.033333301665025405
MIAPACA2,0.033230948873121696
ACHN,0.0330727952948847
HEYA8,0.03272628140684466
HUCCT1,0.031100688795814076
A172,0.030747194632928406
WM115,0.030469050063777287
NCIH1703,0.030458926767882994
KMRC2,0.029900218369607996
WM2664,0.02989602584964586
NCIH1666,0.029643149111792666
8305C,0.029549138046937137
SAOS2,0.02903645477192578
NCIH211,0.028952024203089698
TE617T,0.028888679647742978
HT144,0.027787939587607013
CAL78,0.027480461899782142
IPC298,0.02726519384280138
OVCAR8,0.026566106389995167
K029AX,0.02585829012160017
CAS1,0.025515901235024212
PC3,0.02459909298994489
SUDHL6,0.024515345509999013
U2OS,0.024256953197343476
SW579,0.024151662984827352
HGC27,0.023997677467911697
CALU1,0.023692762907631202
SCC25,0.02363065981091842
KYSE410,0.023423788821534057
H4,0.023077920792466216
SKHEP1,0.02303782979122742
NCIH2444,0.022980046679654087
SKMEL24,0.022883263318907304
SW48,0.02282799960646402
KLE,0.022087690714140466
CALU3,0.021991552660311487
HCT116,0.021757610184727272
HS739T,0.02164172547800103
KMRC1,0.02135092239085456
HMCB,0.021330193574938237
HS936T,0.02114005780823682
EFE184,0.020634326199416762
NCIH1869,0.01930418211159853
RVH421,0.019205815376691526
UACC257,0.01887615444139327
8505C,0.018790672699758707
NCIH2122,0.01787434407268572
YKG1,0.017631351920247968
ISTMES2,0.017580915371670468
HS729,0.017369858976296955
HCT15,0.017359187960538494
NCIH2085,0.017100572941253393
CALU6,0.017016171388476702
COLO679,0.01694131282037888
MDAMB436,0.01602478158252774
KALS1,0.015987847322105054
MKN7,0.01539343964733485
WM983B,0.01489995240791015
MELHO,0.014354819171172104
LOXIMVI,0.014340254152430981
SKMEL5,0.014322827060333117
MDAMB468,0.014255707890672226
DEL,0.014092954644341595
JMSU1,0.013807529296988419
NCIH460,0.012876853429930129
UMUC3,0.01213555061139858
MKN74,0.011953204994143051
NCIH226,0.011756137687760303
HCC1806,0.011722777977049589
BT474,0.011650532055731343
HS695T,0.01133726628591797
NCIH650,0.01130046753400227
BL41,0.010696131080024731
SIGM5,0.010619915575110363
SW1417,0.010398107348283754
SBC5,0.010324452523126538
RKN,0.010126569040074805
769P,0.009838457980608738
SW1353,0.009603319861914388
RPMI8402,0.009311598288379219
SKLMS1,0.009046372296932722
MESSA,0.009030082067484867
ISHIKAWAHERAKLIO02ER,0.008761567866899569
SNU423,0.00868165468450702
RERFGC1B,0.008472266624926639
COLO741,0.008147314784106062
HS840T,0.008087575800087763
DETROIT562,0.007936130419876827
SW403,0.007903317461489173
SUDHL10,0.007879136411960766
HS683,0.007301002495440718
CAL851,0.007019933972002089
HEPG2,0.006595156164056298
KURAMOCHI,0.00622443570597146
HCC1569,0.00570801810382216
FU97,0.00556135942478618
DKMG,0.00525067633903046
JHH7,0.004882197527073635
KNS42,0.004519148005762627
NCIH1693,0.004463937364125262
639V,0.004190167340302808
8MGBA,0.004113101720434544
G402,0.004020545877717627
KMS34,0.003743606711594617
KP2,0.0034623589321233685
BL70,0.003214306975466809
MHHES1,0.003137184229438866
RERFLCMS,0.0029870947507625563
A253,0.0029737605906324685
NCIH1650,0.0023815077254112794
OVMANA,0.0017960871992960667
NCIH2023,0.001628232628742076
HS294T,0.0015504870578032781
NCIH2172,0.0015169582840633036
OE21,0.001375685704068544
JHOS4,0.0013181531933885164
HS939T,0.001134410298530766
SKMEL30,0.0010443928633251433
42MGBA,0.0008816267764571484
SKOV3,0.00032655834351262385
HCC44,-0.0001373765561953279
GI1,-0.0003814066008273381
A375,-0.0005457070133329672
OVSAHO,-0.0005460740724810628
MJ,-0.0008445942185151248
HCC4006,-0.0011710051531444163
A2058,-0.0016884424009077316
HCC1395,-0.0020598614605101193
G401,-0.0025776722504764144
ONCODG1,-0.0027969329176575526
T24,-0.002834393807828353
MPP89,-0.0029975994956671064
MEG01,-0.0032507237880728037
GB1,-0.004000082134031354
MEWO,-0.004008496565794036
SF126,-0.004390691934267576
PLCPRF5,-0.004595999430182748
OVCAR4,-0.0049924860584596555
HS852T,-0.005316319778512953
NCIH1573,-0.005330112975492119
KARPAS620,-0.005473220567693744
COV318,-0.005655326564739828
NCIH520,-0.005695347818600164
ONS76,-0.005753759276460907
HUPT4,-0.0058258752786038
UACC62,-0.006161371683447087
CAKI2,-0.006347689233881533
TE11,-0.006652586427365405
HCC15,-0.006842247361360268
TCCSUP,-0.006866939033012023
LU99,-0.007197417653956483
HEP3B217,-0.00726928756207617
KMS26,-0.007306907371984499
SNU182,-0.007468570342859457
SJSA1,-0.008095499336682474
HCC1187,-0.00814792903502467
COV504,-0.008385001716597926
SKMES1,-0.008555735655766563
OC314,-0.008797379202329043
KP4,-0.008821911527108709
MDAMB157,-0.00927634432191309
HS944T,-0.009398849684517553
C2BBE1,-0.009736864380188934
HLF,-0.009753456102132138
NCIH322,-0.009893870673560685
JHUEM2,-0.010079222122871715
HDMYZ,-0.010240204099180476
NCIH1568,-0.010554872282357748
T98G,-0.01065338136599643
NCIH2228,-0.011006967260476381
OVTOKO,-0.01111058842865928
SW900,-0.011116008634509502
HUPT3,-0.011465602545109432
SNU16,-0.011641282230207056
HMC18,-0.011778989040357991
MG63,-0.011819234469073714
BCPAP,-0.01189886964174661
KYSE70,-0.01213467449445405
NCIH1355,-0.012231086234873104
SKNAS,-0.012508796203800028
HS578T,-0.012556257019747294
NCIH28,-0.013250357092643283
SUDHL4,-0.013328165297249327
HS229T,-0.013441916360593815
RPMI7951,-0.013535716220407277
WM1799,-0.014085553181062398
PANC0327,-0.014579050752967285
JHH2,-0.014803895050471392
SUPM2,-0.01482528470545551
MFE319,-0.015170684163947944
HS895T,-0.015186498048378594
C32,-0.015197465014285722
NUGC4,-0.015211132585847187
MFE296,-0.015853087254671158
MCAS,-0.016113982113841893
CAMA1,-0.016780165392251647
SW480,-0.01679254152306618
SUPT1,-0.016804598434700183
U87MG,-0.016926900075510065
SW1990,-0.017272832099522708
KG1,-0.017657658085809533
TE1,-0.017783673007410766
MEC1,-0.017961963661982654
KHM1B,-0.01815984723581757
FADU,-0.018441280121500928
NCIH1563,-0.01862005081937085
SNU387,-0.019251781342164903
J82,-0.01994071211107157
SF295,-0.020331278864801707
REH,-0.020845240996762465
KYM1,-0.02085310238709325
MDAMB453,-0.02123619527233628
LOUNH91,-0.021318872178840906
CI1,-0.021480726203111297
BXPC3,-0.021657143122302155
CAL12T,-0.02178078944674804
SW780,-0.02213431259954711
LP1,-0.022185000983250013
P3HR1,-0.022231867211011613
MOLT16,-0.02249965379425496
P12ICHIKAWA,-0.02254894438301653
NUGC3,-0.02275712846314039
NCIH1648,-0.02309287038571062
LUDLU1,-0.023358751371301303
MOLP8,-0.023638069994210417
HCC70,-0.02402187039657225
KMM1,-0.024217855436819622
PC14,-0.02445495835828295
KNS60,-0.024513664073511982
PATU8902,-0.024542782930003906
