,MED411,COSMIC ID
cosmic_688031,-0.03943653183458067,688031
cosmic_910691,-0.05020667623661958,910691
cosmic_907170,-0.14317225653869808,907170
cosmic_906834,-0.15099490350497966,906834
cosmic_908483,-0.16750619456761195,908483
cosmic_688022,-0.17856383649250493,688022
cosmic_910941,-0.18819894946502808,910941
cosmic_688006,-0.1905349313160975,688006
cosmic_753589,-0.19479783696614522,753589
cosmic_753594,-0.1974549258686135,753594
cosmic_753582,-0.20089650341656845,753582
cosmic_687804,-0.20352418554069676,687804
cosmic_753547,-0.20413532026441078,753547
cosmic_713899,-0.20649755276161127,713899
cosmic_753618,-0.20733167007138908,753618
cosmic_910568,-0.20799382993101662,910568
cosmic_949175,-0.2235317712663212,949175
cosmic_688086,-0.22435309263503403,688086
cosmic_1240181,-0.22650021582250696,1240181
cosmic_688014,-0.22897246942867247,688014
cosmic_908467,-0.23064206631912307,908467
cosmic_688027,-0.23392847982734827,688027
cosmic_753588,-0.23437859040796583,753588
cosmic_909731,-0.23609566520421055,909731
cosmic_1240193,-0.23864740627585151,1240193
cosmic_713878,-0.23971413373590184,713878
cosmic_949173,-0.24442244918746805,949173
cosmic_688023,-0.2458249069953829,688023
cosmic_687997,-0.24623895379389857,687997
cosmic_910937,-0.24799370739896692,910937
cosmic_908135,-0.24969183852042243,908135
cosmic_753620,-0.25080727365242594,753620
cosmic_687985,-0.2517648142862706,687985
cosmic_753616,-0.25253296658057034,753616
cosmic_910567,-0.2551548285360739,910567
cosmic_924241,-0.25655548134556483,924241
cosmic_753605,-0.2572769682577045,753605
cosmic_713885,-0.2573836776304644,713885
cosmic_949177,-0.25972412580311216,949177
cosmic_688018,-0.2597924336562045,688018
cosmic_688001,-0.2629019232490053,688001
cosmic_688026,-0.2648316655429081,688026
cosmic_908458,-0.26521071308527505,908458
cosmic_688010,-0.26687267593844094,688010
cosmic_753599,-0.2680584729919594,753599
cosmic_1330972,-0.26962397855270315,1330972
cosmic_909194,-0.2698616397194406,909194
cosmic_1322213,-0.2708434660885425,1322213
cosmic_687980,-0.272157367781572,687980
cosmic_688025,-0.2729298643449057,688025
cosmic_713869,-0.2760941496643277,713869
cosmic_946357,-0.2793240015756871,946357
cosmic_907314,-0.28015829802208886,907314
cosmic_908468,-0.2810986493380682,908468
cosmic_949179,-0.28122293612286886,949179
cosmic_1330964,-0.281381884193741,1330964
cosmic_949170,-0.28574161707390006,949170
cosmic_949166,-0.2857542766278802,949166
cosmic_688013,-0.2866807930121186,688013
cosmic_753551,-0.2871442875698482,753551
cosmic_688021,-0.2887810112636799,688021
cosmic_910780,-0.29061404942594377,910780
cosmic_753564,-0.2915620268544517,753564
cosmic_687600,-0.29360049979912367,687600
cosmic_949160,-0.29382595187741933,949160
cosmic_910942,-0.2959624936751194,910942
cosmic_949178,-0.2962212066787122,949178
cosmic_908447,-0.2964579297469344,908447
cosmic_688087,-0.29696940750609807,688087
cosmic_930299,-0.29734425199096765,930299
cosmic_1299075,-0.29963277986895387,1299075
cosmic_910692,-0.300083081732877,910692
cosmic_688011,-0.30167132058304513,688011
cosmic_908469,-0.3019008367704421,908469
cosmic_688007,-0.3032925691012791,688007
cosmic_717431,-0.3045951642114313,717431
cosmic_753534,-0.3049008862415172,753534
cosmic_1322212,-0.3056491404686681,1322212
cosmic_906833,-0.305809432205297,906833
cosmic_907295,-0.3101007929467166,907295
cosmic_1297438,-0.31078771045355363,1297438
cosmic_908454,-0.31251671320947644,908454
cosmic_949168,-0.3128654176750158,949168
cosmic_724872,-0.31372975743408615,724872
cosmic_1330973,-0.3167334431709509,1330973
cosmic_906875,-0.3169563079575436,906875
cosmic_925342,-0.31707076061561945,925342
cosmic_946360,-0.3175407003383254,946360
cosmic_1327765,-0.31913344828537593,1327765
cosmic_949155,-0.3203358509566848,949155
cosmic_684055,-0.32041983725458206,684055
cosmic_1298349,-0.32201140947502044,1298349
cosmic_909730,-0.32239849600475234,909730
cosmic_949163,-0.32275378306825225,949163
cosmic_925341,-0.3259922814439655,925341
cosmic_906808,-0.32703965429166754,906808
cosmic_753607,-0.3275621789223678,753607
cosmic_908440,-0.3275733358076308,908440
cosmic_949161,-0.3303232000908791,949161
cosmic_908471,-0.33135837264302237,908471
cosmic_949158,-0.3317162567169206,949158
cosmic_1298538,-0.3317552156744814,1298538
cosmic_910899,-0.33310958576098054,910899
cosmic_949171,-0.33316720699940083,949171
cosmic_949164,-0.33400969171087885,949164
cosmic_909779,-0.33424232209851273,909779
cosmic_908481,-0.33438177071360803,908481
cosmic_687995,-0.3344209950141679,687995
cosmic_949176,-0.3349170009985359,949176
cosmic_906794,-0.3360097068716844,906794
cosmic_906847,-0.3360566874415571,906847
cosmic_684062,-0.33791884262792404,684062
cosmic_724855,-0.3391986462715901,724855
cosmic_1298223,-0.3395599587089913,1298223
cosmic_949165,-0.34239739111938877,949165
cosmic_910569,-0.34281097845395986,910569
cosmic_753539,-0.34290895248451814,753539
cosmic_971773,-0.34431411935385825,971773
cosmic_1480359,-0.3449730509058626,1480359
cosmic_908150,-0.34532082594848834,908150
cosmic_1298534,-0.3462282539674872,1298534
cosmic_684072,-0.3466144455182222,684072
cosmic_1297439,-0.34728160993170076,1297439
