,MED411
NCIH1155,0.2244695947938311
NCIH1184,0.22360149997444975
NCIH1694,0.22058235050144057
NCIH1092,0.21889606074829981
KELLY,0.2064084846336369
IMR32,0.20614786768130666
NCIH1341,0.1961336479399
DU145,0.186949853968403
KNS62,0.17714583210628446
SKNDZ,0.17495617085048387
SIMA,0.17049655372342074
KPNSI9S,0.16244680260188046
DAOY,0.16031874975007587
DMS114,0.15860901923099827
HARA,0.15719186483110703
MFE280,0.1570844104731129
NCIH810,0.1561732009515067
CAL27,0.15252758027363925
EM2,0.15124663652570763
SKNSH,0.15019198860900565
5637,0.1491844869539068
NCIH1299,0.1477812482778158
SKNFI,0.1470265596562514
SKNBE2,0.1459248154262163
NCIH661,0.13620332642489688
FUOV1,0.13376658936875313
KYSE450,0.13339504568687297
NCIH2286,0.13304997350196032
NCIH1048,0.1287978824340233
HCC1954,0.12779875493172915
ESS1,0.1251489522608277
22RV1,0.12442566132211459
CHP212,0.1240380812390668
QGP1,0.12376270834812945
SUIT2,0.12328718717607912
NCIH522,0.12259444292297522
KYSE180,0.12061548586057833
NCIH211,0.11961102933640205
NCIH747,0.11776846873909368
NCIH2052,0.11672511256206759
A2780,0.11611917428398644
HCC15,0.11565987220855585
SW1573,0.1150602496315999
A204,0.11385807953234246
HCC1806,0.11180531981983387
KLE,0.11171571224439751
A549,0.11158099161546023
KMS11,0.11096560650081992
NCIH1651,0.11084302375221873
LU99,0.11052969067849111
TT2609C02,0.11029437914417929
ISTMES1,0.10971500700132336
TC71,0.10939059852467657
T3M10,0.10922407466717206
NCIH1581,0.10760616315457255
SNU398,0.10671247898049707
EFE184,0.10610295590716164
SNU475,0.10486058070468354
NCIH2170,0.10459181735428288
H4,0.10454941858698988
MSTO211H,0.10454358939253297
KYSE410,0.10425032495787011
OVCAR8,0.10376944289928657
MKN45,0.10274200734807062
CALU6,0.10268437662580009
NIHOVCAR3,0.1015621793319123
EN,0.10103398026418035
DETROIT562,0.10047092763566748
HCT116,0.10006755660437998
NCIH1666,0.09994368490284244
KP4,0.09943051105615457
CALU1,0.09921378866863341
NCIH2444,0.09910083612780893
NCIH460,0.09897661214958516
OE21,0.09883073211381023
SNU423,0.0973583848387854
NCIH1693,0.0965608497610114
ISTMES2,0.09561162459654911
JHOS4,0.09442273662574796
RERFGC1B,0.09439318675076844
SW579,0.09436736959383618
MIAPACA2,0.0938524895203665
MFE296,0.09308581149787255
SHP77,0.09279404991369801
NCIH1650,0.09245402599037274
NCIH727,0.09234387040327026
BT549,0.09225419173963798
NCIH2023,0.09214168507711262
DBTRG05MG,0.09151888433039725
SNU182,0.09042153952318405
HCT15,0.08971191506860302
WM2664,0.0896270002365743
MKN7,0.08918921547596038
JHOS2,0.08918188396214562
TE617T,0.08914615113271877
ES2,0.08907662641609507
SW1353,0.08894469964824255
OVCAR4,0.08881242531949961
HCC1395,0.08873570449733331
SW1088,0.08849211712327129
NCIH2172,0.08823852748690743
BL41,0.08784991222696005
786O,0.08764247165567379
U2OS,0.08740384907807985
NCIH23,0.08718910404581418
HGC27,0.08627243125352613
ONCODG1,0.08602159913802038
NCIH650,0.08524452724428373
KURAMOCHI,0.08514455375748184
KMRC2,0.08480532760379768
SKES1,0.08325835705887091
EBC1,0.08321291336161903
UACC812,0.08295350728193038
HCC44,0.08245991087573702
SKNAS,0.0823663661431724
WM88,0.0821365136516487
SW900,0.0819698319556409
YKG1,0.08173918667311632
G361,0.08167397343276805
MPP89,0.0815665173213108
A253,0.08068049999832765
SCC25,0.08028113380850009
WM793,0.07945618610238024
HCC1569,0.0788191869681865
SNU16,0.07876256489353206
HDMYZ,0.07860809711154229
BL70,0.0785762979850806
HS936T,0.07852342900214374
NCIH1792,0.07836513236318321
SAOS2,0.07810584103575065
RD,0.07777527044338939
IGR37,0.0773833332432211
CAL12T,0.07699278260905468
KHM1B,0.07650106608482642
MOLP8,0.07575553616479902
JMSU1,0.07507222291867634
ACHN,0.07462127284404206
NCIH1355,0.0745237993447766
FU97,0.07438308964325399
TOV112D,0.0736422089403038
KYSE70,0.07355559136886275
SBC5,0.07354472814978424
SUDHL6,0.07319992802026275
MELHO,0.07267637949382252
SKOV3,0.07236899466336374
G402,0.07233467779065336
GCT,0.07189847447850785
HMCB,0.07189678438635194
COLO320,0.07167856356228566
NCIH2030,0.07151272840620113
SKMEL5,0.0715123945506288
NCIH322,0.07141864599606883
MG63,0.07118838678464601
GCIY,0.07092756458924847
CI1,0.07023099601594814
FADU,0.070064525684052
8MGBA,0.06985488070990054
8305C,0.06966764341488758
KARPAS620,0.06954241558730506
OVSAHO,0.06945918847742642
MDAMB436,0.06900041086081025
OVMANA,0.06882445583427851
HCC4006,0.06875795332822708
HCC1187,0.06870798013818864
ZR751,0.06831406277912529
A375,0.06791178250874723
C2BBE1,0.06783923835563097
