,RCMB20,COSMIC ID
cosmic_688031,-0.02944797505322934,688031
cosmic_910691,-0.08400813915169329,910691
cosmic_906834,-0.09847429869029134,906834
cosmic_908483,-0.12634307126374222,908483
cosmic_753594,-0.1363449625788188,753594
cosmic_753582,-0.1423149285233351,753582
cosmic_910941,-0.14490426869964057,910941
cosmic_688006,-0.1537823006309516,688006
cosmic_687985,-0.16005952333834647,687985
cosmic_688022,-0.1607095202064478,688022
cosmic_713899,-0.16154286697261835,713899
cosmic_753547,-0.17045844273280336,753547
cosmic_753589,-0.17071511863221758,753589
cosmic_907170,-0.1778069724546195,907170
cosmic_908467,-0.18176232300005982,908467
cosmic_687997,-0.18567231562392278,687997
cosmic_1240193,-0.18585555711758855,1240193
cosmic_687804,-0.1915129612406614,687804
cosmic_753588,-0.20186310529905285,753588
cosmic_713878,-0.20334924607460395,713878
cosmic_949173,-0.20336263360045717,949173
cosmic_908135,-0.20523363430642338,908135
cosmic_688027,-0.20721373676074842,688027
cosmic_753616,-0.2074177703719389,753616
cosmic_688018,-0.21047616513325984,688018
cosmic_910937,-0.21100625155498795,910937
cosmic_1240181,-0.2112118090252785,1240181
cosmic_910568,-0.2125360525071491,910568
cosmic_713885,-0.21256879078629418,713885
cosmic_688086,-0.21401848502938314,688086
cosmic_949175,-0.21644508795592113,949175
cosmic_687980,-0.21811726243723334,687980
cosmic_753620,-0.2181765237948103,753620
cosmic_907314,-0.22089727430471587,907314
cosmic_753618,-0.22885316865399055,753618
cosmic_688014,-0.2337589038293786,688014
cosmic_688025,-0.23546721291812717,688025
cosmic_753599,-0.23901642298948408,753599
cosmic_949179,-0.24221815839109986,949179
cosmic_688001,-0.24312225655059477,688001
cosmic_688023,-0.24591114056983568,688023
cosmic_924241,-0.24751744731803915,924241
cosmic_908447,-0.2491126829982567,908447
cosmic_946357,-0.2532838531383432,946357
cosmic_910567,-0.25412142370815277,910567
cosmic_1322213,-0.2544008981870125,1322213
cosmic_688010,-0.25539488845825786,688010
cosmic_949178,-0.25762080856559627,949178
cosmic_753551,-0.2598437741541696,753551
cosmic_1330964,-0.2599987134661953,1330964
cosmic_753605,-0.26122557767419885,753605
cosmic_909731,-0.2615015788798466,909731
cosmic_688021,-0.2623294303275441,688021
cosmic_688026,-0.2639838767822708,688026
cosmic_1322212,-0.26593247371535367,1322212
cosmic_717431,-0.26844415071261823,717431
cosmic_688013,-0.2705251390434985,688013
cosmic_1297438,-0.27648637451127506,1297438
cosmic_1299075,-0.27655265284136343,1299075
cosmic_949177,-0.27776168010648805,949177
cosmic_949170,-0.27998215650373354,949170
cosmic_908458,-0.2799923768682537,908458
cosmic_908454,-0.2819875260013431,908454
cosmic_753607,-0.29079519582202273,753607
cosmic_687600,-0.2923249774983262,687600
cosmic_908468,-0.29398643180570455,908468
cosmic_906848,-0.29649935335603883,906848
cosmic_949171,-0.29662587248646916,949171
