,RCMB20
D283MED,0.32489371783813453
NCIH524,0.3185694741867659
DMS273,0.31645622719848465
NCIH1155,0.2529765488658871
HCC33,0.2038408917120413
NCIH1341,0.1949464352154742
NCIH1184,0.19446953247345344
SKNBE2,0.18819471850329536
DMS114,0.1816155484749024
NCIH446,0.17591302944969206
DU145,0.17271509805799226
MHHNB11,0.16821318476822278
SIMA,0.16195976620923283
NCIH2286,0.15808874580394605
NH6,0.155193508360367
IMR32,0.15516599974287448
CORL95,0.1548256168996769
FTC133,0.1538585067621282
VCAP,0.15181793326453574
NCIH1299,0.15090429550291495
NCIH661,0.15030070753240277
KELLY,0.149159223789865
CAOV3,0.14712290536000305
KNS62,0.146866538731974
FUOV1,0.1444904147979853
SKNSH,0.14357996170746998
DAOY,0.14113236504658302
TE441T,0.14078448152457793
NCIH522,0.14038760420771437
KPNSI9S,0.1399463152394993
SKNDZ,0.13832854982133982
TE8,0.13670200920484576
SNU398,0.13422174279598376
5637,0.1337671137577308
NCIH810,0.13350397728407168
TT2609C02,0.1308413258915019
SW1463,0.13044135285533495
ECC10,0.12996590929605917
NCIH841,0.1290453484084436
LK2,0.12871099924408916
MDAMB361,0.12811053435626812
KLE,0.12738522620794349
KYSE450,0.1267516179052331
HARA,0.12622089096638725
COLO668,0.1257241641179439
NCIH1581,0.12432047182025498
QGP1,0.12415493993107089
NCIH23,0.12223717112683019
NCIH2052,0.12196485134364472
22RV1,0.12032494013361152
EN,0.12003305531717777
SUIT2,0.11984876260756945
OAW42,0.11971068517169375
T3M10,0.11954335177985338
CHP212,0.1192145545002175
CHAGOK1,0.11914259990178794
A549,0.11693679093910264
HCC95,0.11600681085917625
JIMT1,0.11564730878462232
CAL27,0.11546224358113956
NCIH2029,0.11538857959258038
JL1,0.11528863836895749
EFE184,0.11490778552139068
SKMEL3,0.11471081469455319
ESS1,0.11450423377494162
KURAMOCHI,0.114440536803034
RH18,0.11438086007531759
OVK18,0.11377476323183512
NCIH2196,0.11372924036732929
OVCAR8,0.11343994335028676
KPNYN,0.11335758065175162
TOV112D,0.11301636775806972
NCIH747,0.11230879208918157
CADOES1,0.11202209214923506
HCT116,0.11155113004823301
HCC1171,0.11142398224193369
IGR37,0.1107877261313768
BICR16,0.11030190650682047
HCC1833,0.10969444095902464
COV362,0.10901480883186195
MKN1,0.10888902178160177
KMS11,0.10799735478889749
TE14,0.10758057662727982
MKN45,0.10730603939242937
A204,0.10723432625380731
HCC1954,0.1070530414787276
JHOS2,0.10621996827162139
OVCAR4,0.10619801575349742
A2780,0.10599481359165722
TE4,0.10573834296583219
KYSE180,0.10567504991279696
NCIH211,0.10555277840766608
HOS,0.10465003750925704
SKNFI,0.10440789865227385
NCIH1792,0.10440646713191701
NCIH460,0.10435791839761292
KP4,0.10429178084039291
NCIH196,0.10416730627290006
SBC5,0.10343296420600774
PECAPJ34CLONEC12,0.1027708278435505
SF268,0.10227656378799654
G292CLONEA141B1,0.1022600106784874
MSTO211H,0.1020724584268126
SNU878,0.100819847578354
COV434,0.10024182622530559
SNU1077,0.0995067181514388
SW1573,0.09945831549938926
UMUC1,0.0994365679730857
TE10,0.09935481714083524
SNU119,0.09917903095463663
BICR18,0.09904211583964737
NCIH2444,0.09808380838515543
MKN7,0.09793942749440375
DBTRG05MG,0.09772830623261328
MFE296,0.09705153772394645
TUHR4TKB,0.09697860176728916
HCC15,0.09693874099031852
HCC1806,0.0969253822758893
TCCPAN2,0.09686036469660307
EPLC272H,0.09676980444832167
UBLC1,0.09674248139032607
COLO792,0.0967181432735126
RD,0.09665645177208709
FU97,0.09660386046204943
G361,0.09645996478983737
ISTMES1,0.09625192487506497
WM88,0.09610285342483169
BT549,0.09591639064436505
RH41,0.09556298019039798
NCIH1703,0.0954850792938601
TE6,0.09526120959736727
BEN,0.09509941007685062
SAOS2,0.095004594970777
HCT15,0.09481015859971147
LCLC103H,0.0942519839426719
OVSAHO,0.09409178584004273
ISHIKAWAHERAKLIO02ER,0.09408228766668686
YH13,0.09375486440493339
NCIH1693,0.09342089178211438
HS940T,0.09264660521378083
CALU6,0.09253971354857564
MELJUSO,0.09253398126706987
JMSU1,0.09215816861173129
HCC1438,0.09112523352245104
42MGBA,0.0910942235061476
MDAMB157,0.09099324175229809
SW1088,0.09092526746775444
JHUEM3,0.09082851825185564
RH30,0.09065117347555988
NCIH1666,0.09061472801631881
HUH28,0.09027102236020891
SNU503,0.08958069899963665
LU99,0.08951262971196038
OC314,0.08944824274589823
SNU182,0.08883072379412445
GSS,0.0888075861232864
OV7,0.08870136699670114
BC3C,0.08841079321264858
HCC1395,0.08792779815262902
EKVX,0.08776783487168803
A253,0.08755267153224704
HELA,0.08716952551384426
YD10B,0.08697457585156944
A172,0.08689860908642782
MFE319,0.0862307919669869
COV318,0.0860128207252697
DMS53,0.08585986810614685
OAW28,0.08580941948431087
KMRC2,0.08492983550735732
ECC12,0.08483524987540789
NCIH2030,0.08461703128950536
NCIH2023,0.08455889090884544
MIAPACA2,0.08440119721423853
HEYA8,0.08416176882798031
G401,0.08395328878931309
ML1,0.0832506619297314
SKMEL5,0.08296763537284779
SNU738,0.08285945741066728
TE617T,0.08229973008967979
ES2,0.08229836280932386
MG63,0.08229736324730257
NCIH650,0.08227336703035786
NCIH2172,0.08217036250964965
SW1271,0.0821693031611393
BT474,0.0819895605272497
NCIH520,0.08165579865490832
NCIH1650,0.08120172083645859
CAL148,0.08111440891456578
WM793,0.08100286016899652
HCC4006,0.08062652366037451
SNU475,0.08061166311533341
MDST8,0.08026540462996387
HGC27,0.08017073839871285
KYSE410,0.0800702864221486
SNU216,0.0800525117309943
C2BBE1,0.08000013440298924
VMRCRCW,0.07994628671716333
ACHN,0.07986781296380563
WM2664,0.07982708939957198
YD15,0.07967907867859698
SNU46,0.07962816181941512
NCIH727,0.07962108440167251
CAL51,0.07915728855473753
NCIH1651,0.07898163450102166
DMS454,0.07888023229914796
SCC25,0.07882690138455904
RCC10RGB,0.07865990330667322
MELHO,0.07845896995255404
SW579,0.07832747962905631
HS688AT,0.07831115760682894
ZR751,0.07817493025772776
NCIH2170,0.07814052590526933
OV56,0.0780679873933294
OE21,0.07789011062222301
YKG1,0.07682828722951672
U2OS,0.07681757493119451
RKN,0.07663397207532985
HS936T,0.07661129042406631
CAL120,0.07648317528788713
ONCODG1,0.07640648633501895
SKOV3,0.07635411986004366
NCIH2085,0.07569358239298835
UACC62,0.07550725983150575
YD38,0.07529782878770734
EFM192A,0.07527035876820844
PC3,0.07526390727809597
NCIH2405,0.07521453822676409
SNU423,0.0751376657732438
SNUC4,0.07506247364394134
HCC1195,0.07505522830559534
NCIH1755,0.07495765423632528
IGR39,0.0747404832292672
SKHEP1,0.0744612288908074
SH10TC,0.0743492248038685
NCIH1568,0.07427789221386272
UACC257,0.07425055635558026
RERFLCMS,0.0741046736114744
CW2,0.07392940571755588
NCIH1355,0.0738735959132409
CALU1,0.07342223936592775
HUCCT1,0.07329630958353583
SNUC2A,0.07295800691999654
SNU668,0.072921713702364
SKMEL28,0.07275522508797315
SW1353,0.07238042288236309
JHUEM7,0.07152305648210107
TUHR10TKB,0.07139325438348508
KYSE70,0.0713897829338036
HCC38,0.07114596490037173
SU8686,0.07069822551964815
SNU840,0.07062857283306008
SW1116,0.07031518892651295
JURKAT,0.07015240096130143
YD8,0.06981814729157425
BICR6,0.06981030942156005
COV644,0.06980651047067706
IPC298,0.06976516322195027
HT144,0.06930844871869446
HCC44,0.06920584375063256
SNU685,0.06905314588925943
CAL12T,0.06879618274940102
CCFSTTG1,0.06865791745708001
PECAPJ49,0.06835030347790763
OV90,0.06828378979103591
RERFLCAD2,0.06814917468933042
PECAPJ41CLONED2,0.06813728297339505
BICR31,0.06789656084488313
HCC2279,0.06784068633916526
HOP62,0.06760738974484591
HSC3,0.0676040670077373
DETROIT562,0.06749288860289937
UMUC3,0.06737679232868703
RL952,0.06729258654285594
PANC0327,0.06684282073844575
OVTOKO,0.06638564071652833
TE1,0.06636014645814549
LI7,0.0660069935195469
BICR22,0.06585607354021
SF539,0.06572646923145734
NCIH2228,0.0651194365341336
HCC1588,0.06505938290812197
CAS1,0.0649965933456419
HCC2108,0.06488482099342362
HUPT3,0.06482384238743513
CAL54,0.06438007436553111
KNS60,0.06416038237852571
GMS10,0.06383043911178979
NMCG1,0.06362570018649186
KG1C,0.06326488916978563
MDAMB453,0.06324715106240943
KP2,0.06307960687632809
EFO27,0.0630111613106909
SNU410,0.06281991308373781
KYSE520,0.062801996663921
PLCPRF5,0.06220419454002305
8305C,0.062098652966727744
ECGI10,0.06207582196368416
8505C,0.061901031747385385
HUPT4,0.061694825160260675
HCC1143,0.061682107802118205
NCIH1395,0.0615032373011124
MESSA,0.06139783506567584
KALS1,0.060871863977910015
JHUEM2,0.060735950017686946
T24,0.06073301807078092
MPP89,0.06071708162003245
MKN74,0.060536093325973026
SF126,0.060456704181250875
CALU3,0.06043671879281214
PSN1,0.06035069360732632
NCIH1563,0.060296289818729976
NCIH2122,0.06026043810757506
HMC18,0.059499538987529084
CMLT1,0.05942174996968725
CAL62,0.059371481376951765
YAPC,0.059312844532292984
PATU8988S,0.05912323853592027
A498,0.059056578076127214
COLO741,0.058834753837115845
KMRC1,0.058494520202065754
SNU201,0.058157989738635035
A375,0.057862961813508425
KU1919,0.05780254042738253
BCPAP,0.057639979853982025
JHOM1,0.05755942536946391
MDAMB231,0.057307466693688046
EFO21,0.057296807135949986
SW1783,0.05673925812176796
TCCSUP,0.05662737746578802
KMRC3,0.0565715386033871
SNU626,0.05654979015681523
FADU,0.05641480235539763
CAL78,0.05617441510035487
HEPG2,0.0561420158729327
SNU8,0.05608239158883024
LN18,0.05600186185503318
NB1,0.05598558403992842
COLO829,0.055937359613183135
GAMG,0.055856919491414865
GB1,0.0557527440730215
SNU466,0.05572884738139899
CAKI1,0.05567356495579583
TUHR14TKB,0.055599008262144
DKMG,0.05556542483110276
LUDLU1,0.05525419462553851
VMRCRCZ,0.05524743718688643
MDAMB468,0.055209346725658984
PATU8988T,0.05518975548917848
SKMES1,0.05492795340763467
HCC1569,0.054720888428170425
KPL1,0.05440742023330263
BFTC905,0.05437651926698344
SKLU1,0.05429149923358101
OVISE,0.05409808917722549
NCIH322,0.054032397283071784
HS729,0.05395296369344992
VMCUB1,0.05368654044697913
SNU1214,0.05361956565544956
T98G,0.053323348103855896
HDMYZ,0.053320862155959846
SNB75,0.05264328929145592
GCT,0.0521894714184252
NCIH1339,0.052126414195683424
HEC50B,0.05163524314621901
SW48,0.05131558707658141
8MGBA,0.0512885440305717
639V,0.05094320246081353
SNU489,0.05072356856572365
HS934T,0.05042370543772411
RMGI,0.05024579999829358
MORCPR,0.049626202380043845
FTC238,0.04942696186943288
ONS76,0.04900498393019979
HCC827,0.048877989358882865
SNU81,0.048803715559342195
SW1417,0.04868515584887194
SNU761,0.04860351775736931
786O,0.04844677089060893
NCIH1573,0.048219613173957815
SNU899,0.048204384897871495
647V,0.04807049188899222
DANG,0.04799848860449226
NCIH226,0.04794609773332504
HS683,0.04791483486128776
SW1990,0.04789553137662677
SW620,0.04787767743179088
WM115,0.047556611528642365
SNU1033,0.0473099484955174
CAPAN1,0.04726843654790453
SKES1,0.046855657900993386
NCIH1623,0.04684545751158778
WM983B,0.04667420702070589
SKUT1,0.04666862643044653
NCIH1734,0.04657391363287361
BFTC909,0.04643896621735338
HCC366,0.04643340784232374
