,RCMB18
HCC33,0.3406678896314339
NCIH524,0.34053316075770157
NCIH1184,0.31456508325088506
NCIH1155,0.29262907630772955
NCIH446,0.28957732898749755
DMS273,0.28602450764923243
COLO668,0.26132108649222546
DMS53,0.26085598722957204
NCIH810,0.2595598323318133
DAOY,0.23458561463162692
IMR32,0.23293703773170263
LK2,0.23243404244150292
5637,0.22949495498960082
CORL95,0.22212608849160964
NCIH2029,0.21943890724401527
NCIH1341,0.21754127949341215
G292CLONEA141B1,0.21562253668847495
D283MED,0.215041811539818
KYSE450,0.2140212612975105
DMS454,0.20966442185440692
UBLC1,0.2086947482102324
BEN,0.20757944848411003
HGC27,0.20472378715650083
SW1463,0.2039952334618088
KNS62,0.20381091845255256
TOV112D,0.20259539765546405
CADOES1,0.20229225947105411
TUHR4TKB,0.20147439583174973
MHHNB11,0.20120258477226902
TE10,0.20073058795551885
CAOV3,0.2002290089462698
DU145,0.19993746672154408
NCIH2196,0.1991595867256593
NCIH1651,0.19914395243261668
QGP1,0.1982038094061949
KMS11,0.19637163910065233
WM793,0.19515769294360802
NCIH211,0.19490144907686036
RH41,0.19461699310815897
NH6,0.19301872167343745
SF268,0.19293606746245104
ES2,0.1916501580831686
22RV1,0.19162495504366267
DMS114,0.19098642913116018
SNU685,0.18977800371021677
TE4,0.1883282416307858
ECC12,0.1880387367853914
HS729,0.18735861767208026
NCIH196,0.18734984277588543
BICR18,0.18698333130442618
VMCUB1,0.18681095516933102
NCIH2170,0.1866798286242317
NCIH661,0.1865619990046421
NCIH2052,0.18542050730627588
NCIH522,0.18540568289531664
KPNSI9S,0.18519790993291094
KELLY,0.1844910833262481
SW579,0.1841614041971072
FTC133,0.1840101874660814
CHP212,0.1838751366174683
CAL78,0.18313036715579772
OVCAR8,0.18307226083062308
YD15,0.18273353245656127
SNU878,0.18270659200010714
YH13,0.18261513879029195
COV434,0.18143735366210972
JHOS2,0.17907594400937799
YD38,0.17876517773220482
NCIH727,0.17872750126467785
DKMG,0.17855328335681644
COV362,0.1781078105682486
TE14,0.1778786265451205
JL1,0.17740044429729057
TE617T,0.17687426990473482
SKNSH,0.17646057950300928
ESS1,0.17539829097108725
RH30,0.17461422735734547
SUIT2,0.1745993958853236
VMRCRCW,0.17401568740783635
NCIH1581,0.17386509953832557
CAL27,0.1736805265630422
HCC1833,0.17358535035366493
TE441T,0.1728917468722626
SW48,0.17216783268385208
NCIH1792,0.17194759299609907
JHUEM3,0.17132195410625178
TT2609C02,0.17029296847692957
TE8,0.1700540095486674
JMSU1,0.16983695423679782
WM115,0.1697127099877353
KLE,0.16965067944217696
HARA,0.16937847125583555
SIMA,0.16815801623293722
OVSAHO,0.16815324889202868
NCIH1755,0.1677311412573066
OV7,0.16763725327186574
FUOV1,0.16749876960631915
ISHIKAWAHERAKLIO02ER,0.16719289380555966
HCC95,0.16691859370295337
SKES1,0.1662093366088735
T3M10,0.1658792129801539
NCIH1299,0.16427363145730883
TE6,0.16397747897693823
HCC1954,0.16339520169101449
SNU503,0.1628421536380994
U2OS,0.16179472819846433
UMUC1,0.16147590370584775
OAW42,0.16104327462396448
BT549,0.1610345238810785
EFE184,0.16060798649177044
IGR37,0.16026482632439595
OAW28,0.1593220913950789
SNU119,0.1590145096940783
DBTRG05MG,0.15840382079619753
A172,0.15780453436032565
SAOS2,0.1577716276597668
BICR16,0.15772595467828004
SKNDZ,0.15760536367771738
WM983B,0.1569812241034062
PECAPJ49,0.15662089502111012
NCIH2286,0.15642967298901586
CAL120,0.15638332935879398
VCAP,0.15632283253183069
ISTMES1,0.15601092430235214
NCIH460,0.15543688585790208
OE21,0.15529598947373488
KYSE410,0.15514105616046317
SBC5,0.15498655298016784
SNU182,0.1548756773751635
KMRC2,0.15444791968842556
LOXIMVI,0.15409235604996854
MSTO211H,0.15380710359455052
SNU81,0.15379739210186202
SNU398,0.1537897084608797
NCIH1869,0.1537383437705281
253J,0.1537238792971499
NCIH841,0.15368832149570744
HEYA8,0.153456333172793
HOS,0.1534272223217349
VMRCRCZ,0.15341875464025356
HMCB,0.15335855598697892
SKMEL3,0.15258632385262885
MDAMB361,0.1525538512919559
YD10B,0.15202338279391267
HS839T,0.1520101272921266
G361,0.15104388816139722
CAKI2,0.15091743798422289
MDST8,0.1505339228803268
HS688AT,0.1499747616668235
8305C,0.14972257829187544
SNU216,0.14961702388039688
ONCODG1,0.14923982707696248
NCIH23,0.14734726529969516
NCIH520,0.1469314459197467
HCC1438,0.14691132091052175
T98G,0.14681756279666888
HCT15,0.14653447121211644
HCC2279,0.14632733523858363
RMGI,0.14603708794044543
CAS1,0.1459437049372947
NCIH2444,0.14542922588744395
ACHN,0.1451280505942002
SKNFI,0.1445496421964696
MKN1,0.14452621624079462
DETROIT562,0.14435578430258933
SKOV3,0.1439878574864938
OC314,0.14383601538306884
TUHR14TKB,0.14358222644519203
CALU3,0.14311457824640408
SW1573,0.1427607434288889
HS940T,0.142191221236546
KP4,0.14196440460520324
SW1353,0.14162978740907356
FTC238,0.14149037154565683
TUHR10TKB,0.14124332472616793
WM2664,0.14100262373805725
SKMEL24,0.14091597521135904
CHAGOK1,0.140832351539988
IPC298,0.14072617383522082
JHOC5,0.14044848260187298
NCIH1693,0.1403669772708072
NCIH28,0.14019671733347003
RD,0.13996802752970947
RKN,0.1398119670766382
SKMEL28,0.13940642799903308
CAL851,0.13928845462445438
CCFSTTG1,0.13915605188803784
HT144,0.13908519534279223
ZR751,0.13905002098039068
FADU,0.1389156159317094
C32,0.138592246684697
KYSE70,0.13850688857776158
HCC1143,0.13842437956564999
MKN45,0.1382814414706721
SF126,0.13817289689816784
EPLC272H,0.13775224140490577
TCCPAN2,0.13773002236812515
MPP89,0.13752757339618515
SNU489,0.13717782811525359
MHHES1,0.13695736646874276
OVK18,0.13692004552377646
HCT116,0.13654835230983534
SKNBE2,0.13598230316771576
A204,0.13571818465220253
LU99,0.13559784727094876
RH18,0.13536551354226634
MG63,0.13523929604734192
KG1C,0.1348484138676606
SNU46,0.1347746166182051
KU1919,0.1344476232002658
MELJUSO,0.13441358450347532
SW1088,0.13413114176649002
NCIH2023,0.13409137677988245
KYSE180,0.13383104533942472
NCIH1703,0.13368708890878186
OVCAR4,0.13364304880321204
8505C,0.13352936201430898
253JBV,0.13350378745608898
GSS,0.13342387936473915
HSC3,0.1332551604554948
SW1116,0.13300086593593
CAKI1,0.13268610851807244
PC3,0.13245915094064836
HCC1171,0.13215299782450193
COLO792,0.1321335287473603
HCC1588,0.13186299548479105
HELA,0.1317028654916501
SJSA1,0.13101249806886836
ML1,0.1307800217296572
SKLU1,0.13061306467608114
HS822T,0.13057292003206056
TE11,0.13039157489722256
BICR31,0.12994369269602357
GB1,0.12938144066998933
MOLP8,0.12923772936316827
MEWO,0.1287565214507054
K029AX,0.12838938066998096
YKG1,0.12835246434709657
HCC1806,0.12813731960707844
BC3C,0.1280897691089142
NCIH1650,0.12802521440493528
JIMT1,0.12801210305058575
HDMYZ,0.12789285098086753
UMUC3,0.12762587966998548
HS683,0.12758634903476915
ECGI10,0.12740486262267312
HCC1195,0.12731510786518485
HUH28,0.12725052929310593
8MGBA,0.12682888610198118
MKN7,0.12669606060116795
HSC2,0.12648683298267444
KMH2,0.1264481487179765
SNU899,0.12620754711988266
CAL12T,0.12603430527573098
SF539,0.12598625911461403
NCIH1666,0.12596539944692897
NCIH647,0.12577189761954288
RCC10RGB,0.12537429220208524
MIAPACA2,0.12510234965592334
HS944T,0.12505786562179094
PANC0327,0.12491229318126229
769P,0.12479975892846033
MFE319,0.12422012903943641
SCABER,0.12408752464667354
NCIH2122,0.12390537614033882
PECAPJ34CLONEC12,0.12387379556832111
CALU1,0.12359330600244452
UACC257,0.12348979317751581
A498,0.12330860223755434
WM88,0.12313838586356231
A375,0.12298792477757263
42MGBA,0.12297233783863386
KNS42,0.12296556060443045
KMRC3,0.12293024881721604
SNU423,0.12278181151670167
COV318,0.12246726964921763
SKLMS1,0.12237487469115134
HCC38,0.12219583077093508
SNUC5,0.12132569682283104
HSC4,0.12094226398039289
BICR56,0.12090062701247525
HS852T,0.12072747359231914
OV56,0.12072489846841336
A549,0.12058638796712633
