,RCMB18
NCIH1092,0.3404022755201091
NCIH1184,0.31456508325088506
NCIH1155,0.29262907630772955
NCIH1694,0.26877325005461705
NCIH810,0.2595598323318133
DAOY,0.23458561463162692
IMR32,0.23293703773170263
5637,0.22949495498960082
NCIH1341,0.21754127949341215
KYSE450,0.2140212612975105
MFE280,0.20485400465178372
HGC27,0.20472378715650083
KNS62,0.20381091845255256
TOV112D,0.20259539765546405
DU145,0.19993746672154408
NCIH1651,0.19914395243261668
QGP1,0.1982038094061949
KMS11,0.19637163910065233
SHP77,0.19592477409009074
WM793,0.19515769294360802
NCIH211,0.19490144907686036
NCIH1048,0.19212806803691176
ES2,0.1916501580831686
22RV1,0.19162495504366267
DMS114,0.19098642913116018
HS729,0.18735861767208026
NCIH2170,0.1866798286242317
NCIH661,0.1865619990046421
NIHOVCAR3,0.18577943354211168
NCIH2052,0.18542050730627588
NCIH522,0.18540568289531664
KPNSI9S,0.18519790993291094
KELLY,0.1844910833262481
SW579,0.1841614041971072
CHP212,0.1838751366174683
CAL78,0.18313036715579772
OVCAR8,0.18307226083062308
H4,0.1826646515798457
TC71,0.18236487161497902
JHOS2,0.17907594400937799
NCIH727,0.17872750126467785
DKMG,0.17855328335681644
TE617T,0.17687426990473482
SKNSH,0.17646057950300928
ESS1,0.17539829097108725
SUIT2,0.1745993958853236
VMRCRCW,0.17401568740783635
NCIH1581,0.17386509953832557
CAL27,0.1736805265630422
SW48,0.17216783268385208
NCIH1792,0.17194759299609907
TT2609C02,0.17029296847692957
JMSU1,0.16983695423679782
WM115,0.1697127099877353
KLE,0.16965067944217696
HARA,0.16937847125583555
SIMA,0.16815801623293722
OVSAHO,0.16815324889202868
FUOV1,0.16749876960631915
ISHIKAWAHERAKLIO02ER,0.16719289380555966
SKES1,0.1662093366088735
T3M10,0.1658792129801539
NCIH1299,0.16427363145730883
HCC1954,0.16339520169101449
U2OS,0.16179472819846433
BT549,0.1610345238810785
EFE184,0.16060798649177044
IGR37,0.16026482632439595
DBTRG05MG,0.15840382079619753
A172,0.15780453436032565
SAOS2,0.1577716276597668
SKNDZ,0.15760536367771738
NCO2,0.15737645359155208
WM983B,0.1569812241034062
NCIH2286,0.15642967298901586
ISTMES1,0.15601092430235214
NCIH460,0.15543688585790208
OE21,0.15529598947373488
KYSE410,0.15514105616046317
SBC5,0.15498655298016784
SNU182,0.1548756773751635
KMRC2,0.15444791968842556
LOXIMVI,0.15409235604996854
MSTO211H,0.15380710359455052
SNU398,0.1537897084608797
NCIH1869,0.1537383437705281
HEYA8,0.153456333172793
HOS,0.1534272223217349
VMRCRCZ,0.15341875464025356
HMCB,0.15335855598697892
HS739T,0.1524651833606048
G361,0.15104388816139722
CAKI2,0.15091743798422289
8305C,0.14972257829187544
ONCODG1,0.14923982707696248
MDAMB436,0.1487409523297061
NCIH23,0.14734726529969516
NCIH520,0.1469314459197467
T98G,0.14681756279666888
SW403,0.14673177293591944
HCT15,0.14653447121211644
CAS1,0.1459437049372947
NCIH2444,0.14542922588744395
ACHN,0.1451280505942002
SKNFI,0.1445496421964696
DETROIT562,0.14435578430258933
SKOV3,0.1439878574864938
OC314,0.14383601538306884
CALU3,0.14311457824640408
SW1573,0.1427607434288889
KP4,0.14196440460520324
SW1353,0.14162978740907356
KMM1,0.14108378984675354
WM2664,0.14100262373805725
SKMEL24,0.14091597521135904
HS695T,0.1407403944346806
