,MED2312,COSMIC ID
cosmic_688022,-0.14194369990262726,688022
cosmic_688031,-0.14852022917010452,688031
cosmic_949173,-0.17294425687796644,949173
cosmic_753589,-0.17326879054747507,753589
cosmic_753588,-0.17595107204940336,753588
cosmic_688023,-0.18770214303315827,688023
cosmic_910691,-0.19226382014707574,910691
cosmic_906834,-0.2003438602070015,906834
cosmic_907170,-0.2077691366622922,907170
cosmic_753599,-0.208834726301636,753599
cosmic_753582,-0.20903867330389267,753582
cosmic_909194,-0.2123429415901514,909194
cosmic_1240181,-0.21614959091023303,1240181
cosmic_910937,-0.221066734369835,910937
cosmic_713885,-0.22114509619665942,713885
cosmic_713899,-0.22121397476326207,713899
cosmic_753564,-0.22391420176241336,753564
cosmic_949175,-0.22942173958029455,949175
cosmic_908135,-0.2294262779803364,908135
cosmic_908483,-0.23249043880152062,908483
cosmic_688006,-0.233243524489517,688006
cosmic_924241,-0.2334558118627522,924241
cosmic_688027,-0.23562748936854952,688027
cosmic_688010,-0.23719520763618507,688010
cosmic_1322213,-0.23866031292596332,1322213
cosmic_688001,-0.23929708136210492,688001
cosmic_949177,-0.24048920227691983,949177
cosmic_908467,-0.24137275365225241,908467
cosmic_688026,-0.24343822122127604,688026
cosmic_753618,-0.24509408811771746,753618
cosmic_909731,-0.2452180634023785,909731
cosmic_687997,-0.24827441545298054,687997
cosmic_910567,-0.24853894772855242,910567
cosmic_713878,-0.2493159254947501,713878
cosmic_1330972,-0.25451959536418534,1330972
cosmic_910941,-0.25463959228477057,910941
cosmic_687985,-0.2561134933180649,687985
cosmic_688013,-0.2612315843217496,688013
cosmic_753594,-0.2619892235167474,753594
cosmic_687804,-0.2632602250874855,687804
cosmic_910568,-0.2644162870294028,910568
cosmic_753605,-0.26627792447667403,753605
cosmic_688086,-0.26791893588836424,688086
cosmic_753607,-0.27279964672484097,753607
cosmic_753616,-0.27344224760766267,753616
cosmic_688018,-0.27523212445084894,688018
cosmic_949178,-0.27597905887395363,949178
cosmic_910780,-0.27759480682082766,910780
cosmic_1240193,-0.27906107076447584,1240193
cosmic_1297438,-0.27924979200682426,1297438
cosmic_713869,-0.27995417336234046,713869
cosmic_910899,-0.28005172001434014,910899
cosmic_908468,-0.2828818546159972,908468
cosmic_907314,-0.28392405425289297,907314
cosmic_688007,-0.2849550557247435,688007
cosmic_753547,-0.28556068978167337,753547
cosmic_908469,-0.2863278776706265,908469
cosmic_687980,-0.2868274964538095,687980
cosmic_949166,-0.28745232807186144,949166
cosmic_907295,-0.2876056974909453,907295
cosmic_1322212,-0.2919925145538642,1322212
cosmic_688021,-0.2928346834743205,688021
cosmic_688087,-0.2939589509356986,688087
cosmic_949168,-0.29473979328133154,949168
cosmic_1330964,-0.2955847476948108,1330964
cosmic_908447,-0.2974189859891034,908447
cosmic_949155,-0.29759277403941636,949155
cosmic_688014,-0.3003918188837634,688014
cosmic_971773,-0.3031694660877513,971773
cosmic_688011,-0.3049294112167852,688011
cosmic_908440,-0.3057234307634707,908440
cosmic_688025,-0.30575168614888154,688025
cosmic_908454,-0.3058286577276439,908454
cosmic_925341,-0.30779161182665404,925341
cosmic_724872,-0.30913264757980174,724872
cosmic_687600,-0.30994195228542804,687600
cosmic_717431,-0.31067657885129674,717431
cosmic_906833,-0.3119317106374323,906833
cosmic_949179,-0.3166857446694558,949179
cosmic_949167,-0.31926318019299244,949167
cosmic_906850,-0.3212612773747542,906850
cosmic_753534,-0.32182521010004106,753534
cosmic_949160,-0.3218464942007312,949160
cosmic_910692,-0.32454124754934155,910692
cosmic_908129,-0.3260521600147374,908129
cosmic_949170,-0.32706381167560417,949170
cosmic_949164,-0.3271375062553114,949164
cosmic_906808,-0.328295571649352,906808
cosmic_753539,-0.32836792929727415,753539
cosmic_687995,-0.3296812903195262,687995
cosmic_1297439,-0.3316530426783465,1297439
cosmic_946357,-0.33396448737640966,946357
cosmic_949158,-0.33503091924094325,949158
cosmic_684055,-0.3361455574351302,684055
cosmic_909730,-0.33657452500652657,909730
cosmic_684052,-0.3373286182009613,684052
cosmic_684062,-0.33812787744900047,684062
cosmic_949176,-0.338232930362838,949176
cosmic_1240210,-0.3397519303334332,1240210
cosmic_925342,-0.340567817463059,925342
cosmic_949171,-0.34100260111461983,949171
cosmic_909779,-0.3434318003166789,909779
cosmic_1330973,-0.34414145088228204,1330973
cosmic_949172,-0.3446025015157355,949172
cosmic_946358,-0.34555698337527146,946358
cosmic_909707,-0.34592212243341186,909707
cosmic_753551,-0.3470345005637078,753551
cosmic_924100,-0.34713017810304364,924100
