,ICB1299
NCIH1694,0.24072313068133588
NCIH1184,0.23472298528115573
NCIH1155,0.2292956609498855
NCIH1092,0.21915393765788352
IMR32,0.2121246618751262
SKNBE2,0.19246586602106178
KELLY,0.18989900014905495
NCIH1341,0.18588920748815654
SKNDZ,0.1781045952526352
NCIH661,0.17370299654070437
DMS114,0.16770009654009008
SIMA,0.16305337420354743
SKNSH,0.15570146225432438
NCIH810,0.15440657879729566
FUOV1,0.1540528439610555
DAOY,0.1538093034125951
DU145,0.14985557999347265
NCIH1048,0.1456290072689363
KPNSI9S,0.14212682087112166
KNS62,0.14021182014573222
QGP1,0.137380229972767
MFE280,0.1368557657053488
TC71,0.13616927682362445
NCIH2052,0.12950977484493545
22RV1,0.12762126322664613
KYSE450,0.12585389117475482
SKNFI,0.1254537305599809
TOV112D,0.12475833895997697
CHP212,0.12458461423709802
NCIH211,0.12292624877959092
HARA,0.12286484908268726
NCIH522,0.12250642859017837
DBTRG05MG,0.12150560265164312
NCIH1581,0.11823030174488769
ISTMES1,0.11493551010347029
SNU398,0.1138443064267856
CAL27,0.11348271399889541
SAOS2,0.11198962455092773
JHOS2,0.11149976065683288
WM793,0.11011013823061219
TT2609C02,0.10876130644973758
5637,0.10814061416830688
KMS11,0.10744360504309128
SUIT2,0.10707666464874638
NCIH2286,0.1058620464230665
ESS1,0.10563430156995333
KLE,0.10476606652180494
SKES1,0.10435416359402282
SNU182,0.10345688033167745
NCIH727,0.10335386689598253
T3M10,0.103194362077807
ES2,0.10138848046703465
IGR37,0.09991087767974423
SW579,0.09983097187954974
NCIH1792,0.09870428282050661
NCIH1299,0.09832757268668595
KURAMOCHI,0.09801666869336398
NIHOVCAR3,0.09782764125915715
NCIH23,0.09778627544387224
G361,0.09716083426111864
H4,0.09712591390562073
8305C,0.09682397171034089
RD,0.09632727988884592
HMCB,0.0949868583317568
NCIH1651,0.09386827968116646
A673,0.0926011442671065
A2780,0.09181790045628346
MOLP8,0.0900895787626721
MSTO211H,0.0899898017024831
JMSU1,0.0898134289563473
SW1573,0.08925942204308301
SBC5,0.08892025127791696
MDAMB436,0.08874002722296857
A549,0.08740445361952894
JHOS4,0.08709544161545503
ISHIKAWAHERAKLIO02ER,0.08630239264229493
EFE184,0.08613892352173903
CAS1,0.08540031090140196
MHHES1,0.08525527003483363
NCIH520,0.08414938847550121
VMRCRCW,0.08403039922111456
NCIH2444,0.08383389387624213
NCIH2170,0.08349373727417263
HCC1806,0.08347641759533161
SW900,0.08327418879797974
NCIH650,0.08325685134252353
HEYA8,0.08324593483033094
SHP77,0.08309846473872935
SNU475,0.08295694230783213
SW1088,0.08208276533629921
CAL78,0.08142804468669851
BT549,0.0811014767070296
TE617T,0.08058938711379647
MKN45,0.08049005625649022
HCC1954,0.08011519879516787
U2OS,0.08004775280531931
KYSE180,0.07987746720035294
A172,0.07934202379258735
HGC27,0.07923895889576708
RERFGC1B,0.07878015026676483
SCC25,0.07841569113719447
WM115,0.0783285484981483
MG63,0.07714360750536126
DKMG,0.07661240651954494
42MGBA,0.07630476271742018
NCIH460,0.07600257451125685
ZR751,0.07564260395318115
OVCAR8,0.07545067814704143
KP4,0.07521759002293363
SKMEL5,0.07485107896648535
LU99,0.07453279594017881
RKN,0.07432511800580073
HOS,0.07420946163903121
SNU423,0.07337700604126113
OVSAHO,0.07282820478294355
COLO679,0.07256098457812606
MPP89,0.07170647242013792
HS683,0.07150780784282887
SW1353,0.07125592048573606
ISTMES2,0.0707793293526754
WM2664,0.0707572864092428
SKNAS,0.06999921983161299
ACHN,0.06951256698991932
HS695T,0.06913300169513202
IGR39,0.06849967204241107
OC314,0.06849843542073457
NCIH747,0.06839452538878239
HS729,0.0683108017369391
SW480,0.0680524377343928
KMS34,0.06760065782572654
MFE296,0.06748169993738638
EN,0.06720668886793084
SKMEL24,0.06638840539797715
NCIH1703,0.0663756121093216
OE21,0.06595751823565846
8MGBA,0.06545140141735128
A204,0.0649702417287636
NCIH1693,0.06445865546842815
RPMI7951,0.06378058934216103
A253,0.06338716426468813
YKG1,0.06336401508637668
NCIH647,0.06223024821537372
HT144,0.061720095829053905
BT474,0.06163793161723297
G401,0.0614291781597275
8505C,0.061386734910762596
KYSE70,0.06095469024328942
NCIH2023,0.06094278793800415
ONCODG1,0.05946203484613765
KARPAS620,0.059329281866517446
HCT15,0.059004019532823235
SF126,0.05892441660190987
HCC15,0.05852874548903987
SJSA1,0.05799520000125431
SKMEL31,0.0579016032974266
SKHEP1,0.05676340748103185
C2BBE1,0.05650964788124109
KMRC2,0.056435360201618934
VMRCRCZ,0.05576678209545746
CALU1,0.055720240352996005
SKLU1,0.054747686734813804
GMS10,0.05453504259327039
COLO320,0.0544479757147892
SKOV3,0.054388776738046846
MDAMB157,0.05425894212246451
ONS76,0.05384805620911069
MFE319,0.05361660646934684
LP1,0.05333171857477421
JHH2,0.05326844846423061
OVCAR4,0.05324026087585106
KMRC1,0.05322228099152073
KYSE410,0.05286394358384836
GCT,0.05255680597470573
IPC298,0.05239820587028978
SNU387,0.051880701882167805
HEL9217,0.05145771391249615
NCIH2228,0.0513772366378029
KNS60,0.05116200801511887
SU8686,0.050286558085390495
COV504,0.04945154788237682
EM2,0.04929893524046233
MKN7,0.04899132428133591
LN18,0.04871148254465346
FU97,0.0485509899297275
HCC4006,0.048385282452284926
WM88,0.04826795750071884
NCIH2122,0.04815600723292966
WM983B,0.048039922648625305
HMC18,0.04757407913814268
KMS26,0.04737950681790411
RERFLCMS,0.04727504024774154
NCIH1563,0.04721727087988885
SW48,0.046556478938977394
A375,0.04631028389612244
CAKI2,0.046053447737250855
HCT116,0.04585221882726872
PANC0327,0.045756298477028515
MIAPACA2,0.04538389072068556
SW403,0.04531609165518906
GB1,0.04523493811615582
MKN74,0.0446526890382835
JHH7,0.04440557791733287
FADU,0.04434244862401201
CALU6,0.04428563451720023
HLF,0.0437555145659929
UMUC3,0.04342980210547016
DETROIT562,0.042885145138994815
SW1271,0.04259037712341521
COV318,0.04258776690162143
LN229,0.04246351286576341
NCIH1650,0.04144040851168345
NCIH1666,0.04125302376898637
HCC1395,0.04090279244254024
HS939T,0.04083415825688024
P12ICHIKAWA,0.04065549315158805
CALU3,0.04059068441622247
RPMI8402,0.040434022303619976
HS936T,0.040319015260150956
REH,0.040002610782866994
SKMES1,0.03987097195095412
SH10TC,0.03970254820839011
KMM1,0.03932408751603755
HDMYZ,0.038974770109698666
BL70,0.03885308509746348
MEC1,0.03860996852691542
U87MG,0.03832751578261115
KYSE520,0.037704421113417146
MEG01,0.037612550731162465
639V,0.03686902958242629
