,ICB1299
NCIH524,0.3058308698902386
D283MED,0.25359763722133605
NCIH446,0.2427060500301753
DMS273,0.23796404227381346
NCIH1184,0.23472298528115573
NCIH1155,0.2292956609498855
NH6,0.2196608431101226
HCC33,0.2186176946002333
IMR32,0.2121246618751262
SKNBE2,0.19246586602106178
KELLY,0.18989900014905495
NCIH1341,0.18588920748815654
SKNDZ,0.1781045952526352
NCIH661,0.17370299654070437
MHHNB11,0.17097285290400088
DMS114,0.16770009654009008
SIMA,0.16305337420354743
NCIH2029,0.1612708376919519
COLO668,0.1572768934583345
SKNSH,0.15570146225432438
CORL95,0.15548355061270397
NCIH810,0.15440657879729566
FUOV1,0.1540528439610555
DAOY,0.1538093034125951
DMS454,0.15275472667026635
DU145,0.14985557999347265
VCAP,0.14488089546649505
DMS53,0.1433099466287943
KPNSI9S,0.14212682087112166
KNS62,0.14021182014573222
BEN,0.14017071357926258
TE441T,0.13755682391904855
QGP1,0.137380229972767
FTC133,0.13697403681337822
LK2,0.13654440170048174
TE8,0.13359787180311714
NCIH2052,0.12950977484493545
22RV1,0.12762126322664613
KYSE450,0.12585389117475482
SKNFI,0.1254537305599809
SW1463,0.1250760831288892
RH41,0.12488656646072793
TOV112D,0.12475833895997697
CHP212,0.12458461423709802
KPNYN,0.12453907302136592
NCIH2196,0.12398430777680597
NCIH211,0.12292624877959092
HARA,0.12286484908268726
NCIH522,0.12250642859017837
DBTRG05MG,0.12150560265164312
NCIH1581,0.11823030174488769
JL1,0.11591945938833649
CADOES1,0.11556377026712054
NCIH196,0.11545075374119175
TUHR4TKB,0.11532699259533355
ISTMES1,0.11493551010347029
SKNMC,0.1148335744669585
SNU398,0.1138443064267856
CAL27,0.11348271399889541
TE14,0.11317028425071561
SAOS2,0.11198962455092773
JHOS2,0.11149976065683288
HCC1833,0.11136645788418986
ECC12,0.11134073765721086
WM793,0.11011013823061219
TT2609C02,0.10876130644973758
5637,0.10814061416830688
KMS11,0.10744360504309128
BICR18,0.1071024110140133
SUIT2,0.10707666464874638
G292CLONEA141B1,0.10648228458604546
NCIH2286,0.1058620464230665
ESS1,0.10563430156995333
KLE,0.10476606652180494
COV434,0.10466859919879615
SKES1,0.10435416359402282
CAOV3,0.10405856892558592
NCIH841,0.10394428153787903
SNU182,0.10345688033167745
NCIH727,0.10335386689598253
T3M10,0.103194362077807
UBLC1,0.10139984982061938
ES2,0.10138848046703465
GSS,0.10129489346684085
SNU503,0.10104062482548214
IGR37,0.09991087767974423
SW579,0.09983097187954974
NCIH1792,0.09870428282050661
NCIH1299,0.09832757268668595
KURAMOCHI,0.09801666869336398
SKMEL3,0.09797681244727474
NCIH23,0.09778627544387224
MDAMB361,0.09737209377513059
G361,0.09716083426111864
8305C,0.09682397171034089
RD,0.09632727988884592
YH13,0.0957132538349213
SF268,0.09560370262944469
HMCB,0.0949868583317568
SNU878,0.0945185328515863
OAW42,0.09389053040800778
NCIH1651,0.09386827968116646
ECC10,0.09264791588509422
A673,0.0926011442671065
A2780,0.09181790045628346
HCC95,0.09136752553338923
MDST8,0.09115811987651568
RH18,0.09079950930463075
TE10,0.09055103100661323
MOLP8,0.0900895787626721
MSTO211H,0.0899898017024831
JMSU1,0.0898134289563473
TE6,0.08964223619297966
HCC1171,0.08929741774185165
SW1573,0.08925942204308301
SBC5,0.08892025127791696
OVK18,0.08787677203395265
A549,0.08740445361952894
OV7,0.08732316145676439
ISHIKAWAHERAKLIO02ER,0.08630239264229493
TCCPAN2,0.08617350952793781
EFE184,0.08613892352173903
YD38,0.08547909785729814
CAS1,0.08540031090140196
MHHES1,0.08525527003483363
NCIH1755,0.08421834360228167
NCIH520,0.08414938847550121
VMRCRCW,0.08403039922111456
VMCUB1,0.08397501204956817
NCIH2444,0.08383389387624213
BICR16,0.08349616778213569
NCIH2170,0.08349373727417263
HCC1806,0.08347641759533161
NCIH650,0.08325685134252353
HEYA8,0.08324593483033094
SNU475,0.08295694230783213
OAW28,0.0829291548776793
SW1088,0.08208276533629921
CAL78,0.08142804468669851
TE4,0.08135393128064704
BT549,0.0811014767070296
TE617T,0.08058938711379647
PECAPJ34CLONEC12,0.08051674619180772
MKN45,0.08049005625649022
HCC1954,0.08011519879516787
U2OS,0.08004775280531931
KYSE180,0.07987746720035294
A172,0.07934202379258735
HGC27,0.07923895889576708
COV362,0.07912051384879651
CAL148,0.07893748082058193
UMUC1,0.07881521640668993
SCC25,0.07841569113719447
WM115,0.0783285484981483
HS688AT,0.07750858950842576
HS940T,0.0771959311184868
MG63,0.07714360750536126
HUH28,0.07677482557986806
JIMT1,0.07669595806103477
DKMG,0.07661240651954494
42MGBA,0.07630476271742018
NCIH460,0.07600257451125685
ZR751,0.07564260395318115
OVCAR8,0.07545067814704143
CCFSTTG1,0.07526767974459599
KP4,0.07521759002293363
MKN1,0.07504220219618916
SKMEL5,0.07485107896648535
YD15,0.0747982552416363
