,ICB1487,COSMIC ID
cosmic_910691,-0.1085947320907259,910691
cosmic_688031,-0.12777522027273808,688031
cosmic_753589,-0.14160369922257263,753589
cosmic_688022,-0.14566400892334463,688022
cosmic_908483,-0.16883414095835925,908483
cosmic_907170,-0.16999344355465165,907170
cosmic_688026,-0.17755704195091432,688026
cosmic_688023,-0.18304128786916757,688023
cosmic_688006,-0.18663864604826577,688006
cosmic_713899,-0.18751459006249296,713899
cosmic_949175,-0.19217609162649762,949175
cosmic_687997,-0.1941147010481563,687997
cosmic_753582,-0.19436483011005629,753582
cosmic_906834,-0.1959262029573908,906834
cosmic_949173,-0.2018258613436979,949173
cosmic_753594,-0.2047690907669299,753594
cosmic_753588,-0.2062199478290078,753588
cosmic_713878,-0.20632381422697604,713878
cosmic_687804,-0.21252536603043612,687804
cosmic_688014,-0.21512926247169792,688014
cosmic_910941,-0.21587569852558802,910941
cosmic_688027,-0.216099042999407,688027
cosmic_687985,-0.2177438406916908,687985
cosmic_687980,-0.21846557215523701,687980
cosmic_753564,-0.22314246977366978,753564
cosmic_924241,-0.2265318489310542,924241
cosmic_688013,-0.22826888079137286,688013
cosmic_1330972,-0.22844793762798582,1330972
cosmic_688001,-0.22909905380219625,688001
cosmic_909194,-0.22949983457372408,909194
cosmic_688010,-0.23116404484540085,688010
cosmic_908467,-0.23734285881677952,908467
cosmic_713885,-0.23768069585849633,713885
cosmic_1322213,-0.2377444690649752,1322213
cosmic_753618,-0.23963239126663352,753618
cosmic_688018,-0.24061989397159103,688018
cosmic_910937,-0.24378713447272535,910937
cosmic_753599,-0.24443225586796785,753599
cosmic_908135,-0.24662177566280738,908135
cosmic_688025,-0.24724011220214726,688025
cosmic_1240193,-0.2472794121194761,1240193
cosmic_1297438,-0.24884036261606662,1297438
cosmic_688007,-0.25115063549828975,688007
cosmic_1297439,-0.2589446565338988,1297439
cosmic_1240181,-0.2607222792486156,1240181
cosmic_908468,-0.2611710111047459,908468
cosmic_925341,-0.26282529194991977,925341
cosmic_910567,-0.2637849818787384,910567
cosmic_753605,-0.2640545171491468,753605
cosmic_753547,-0.2650233259756491,753547
cosmic_949177,-0.2656647290962373,949177
cosmic_688086,-0.2685705354143407,688086
cosmic_909731,-0.270409863039718,909731
cosmic_907314,-0.27067199899851674,907314
cosmic_753607,-0.27436348202342525,753607
cosmic_910568,-0.27500825331760453,910568
cosmic_688011,-0.2752281522584602,688011
cosmic_688021,-0.2793625836809963,688021
cosmic_907295,-0.2811574465389959,907295
cosmic_910780,-0.28992972045744886,910780
cosmic_908447,-0.2899718088016856,908447
cosmic_908481,-0.2909782453197111,908481
cosmic_925342,-0.29300737738374466,925342
