,DMB006,COSMIC ID
cosmic_906794,-0.3330548383335614,906794
cosmic_724859,-0.3331351933922698,724859
cosmic_684072,-0.3337363484744978,684072
cosmic_905946,-0.3338557654186459,905946
cosmic_749713,-0.3341960076716325,749713
cosmic_687815,-0.335131923557256,687815
cosmic_907047,-0.3356310495708736,907047
cosmic_1298350,-0.33613106880821253,1298350
cosmic_907060,-0.33638201267445705,907060
cosmic_1298223,-0.33652141903253247,1298223
cosmic_753615,-0.3366408616556998,753615
cosmic_925340,-0.33667618482514744,925340
cosmic_924106,-0.3368601544649896,924106
cosmic_909257,-0.3371217453632625,909257
cosmic_1240178,-0.3377107528201446,1240178
cosmic_1290907,-0.3379352796567528,1290907
cosmic_909977,-0.33823819713630465,909977
cosmic_909976,-0.33922931032732245,909976
cosmic_1303900,-0.3393461222902738,1303900
cosmic_687800,-0.3399267347802799,687800
cosmic_684062,-0.3399466243327174,684062
cosmic_684681,-0.34022116655463625,684681
cosmic_724879,-0.3402526004280794,724879
cosmic_1298222,-0.34030272454973043,1298222
cosmic_949174,-0.3404237394879082,949174
cosmic_1240197,-0.3405963818070903,1240197
cosmic_909718,-0.3409657376222071,909718
cosmic_907320,-0.3418720871144279,907320
cosmic_1479995,-0.34203682423511317,1479995
cosmic_1240209,-0.3421504329712427,1240209
cosmic_924186,-0.34268644591424496,924186
cosmic_908459,-0.34269211443720976,908459
cosmic_949163,-0.34292718029407016,949163
cosmic_1240174,-0.34349437789937665,1240174
cosmic_1240199,-0.3440803526481494,1240199
cosmic_1240141,-0.3449521480424786,1240141
cosmic_908151,-0.34501006172100324,908151
cosmic_905950,-0.3451354322319486,905950
cosmic_907796,-0.3451601776303937,907796
cosmic_684052,-0.34531918474589574,684052
cosmic_910920,-0.3455453824682557,910920
cosmic_1240142,-0.3458857850754772,1240142
cosmic_908476,-0.3459366315720831,908476
cosmic_1327765,-0.34647031545950635,1327765
cosmic_1240131,-0.3465490192923383,1240131
cosmic_907055,-0.3465864390675936,907055
cosmic_749711,-0.346667189400321,749711
cosmic_1327775,-0.34675066909840774,1327775
cosmic_949156,-0.34688410120687996,949156
cosmic_1240192,-0.34689660419145507,1240192
cosmic_908138,-0.3469845804785903,908138
cosmic_1240185,-0.34715659527838355,1240185
cosmic_753559,-0.34720783453004006,753559
cosmic_907287,-0.3473220734992162,907287
cosmic_908463,-0.3474892384001841,908463
cosmic_1240172,-0.34754596490432005,1240172
cosmic_909701,-0.34763970965424196,909701
cosmic_949157,-0.34766466810683117,949157
cosmic_753563,-0.34815730541122475,753563
cosmic_905933,-0.34853565655558394,905933
cosmic_909739,-0.3487760756808359,909739
cosmic_971774,-0.3489897573762889,971774
cosmic_1240200,-0.34935111982215467,1240200
cosmic_713880,-0.3494180163075488,713880
cosmic_909776,-0.3494570365291519,909776
cosmic_749710,-0.34987744529741277,749710
cosmic_909730,-0.34988226439066666,909730
cosmic_905942,-0.35019832455096583,905942
cosmic_909756,-0.35041991551297696,909756
cosmic_753555,-0.35044669007953033,753555
cosmic_1297447,-0.35058004938779036,1297447
cosmic_722058,-0.35060726870588377,722058
cosmic_753556,-0.3506426450361812,753556
cosmic_906851,-0.35065315095515787,906851
cosmic_1240123,-0.35073228227593933,1240123
cosmic_908482,-0.3508172562053152,908482
cosmic_1240149,-0.3509574754503795,1240149
cosmic_906847,-0.3510516586961805,906847
cosmic_1240127,-0.3510981588434766,1240127
cosmic_687596,-0.3511391663295761,687596
cosmic_908131,-0.3515904817968686,908131
cosmic_907176,-0.3519185860004704,907176
cosmic_907280,-0.3521809738145121,907280
cosmic_687452,-0.3524105057945809,687452
cosmic_905944,-0.3527895706192008,905944
cosmic_924248,-0.3532293440788763,924248
cosmic_1290905,-0.3532812356097542,1290905
cosmic_906820,-0.353285967521129,906820
cosmic_724831,-0.3534678172041716,724831
cosmic_1240190,-0.35408500299300305,1240190
cosmic_949162,-0.3541581009684835,949162
cosmic_1331040,-0.3541645934024496,1331040
cosmic_905990,-0.3543347526837517,905990
cosmic_688058,-0.3543849327032049,688058
cosmic_905959,-0.35439397920269305,905959
cosmic_909700,-0.3544503965985148,909700
cosmic_905941,-0.35452376772724736,905941
cosmic_910934,-0.3547170995883287,910934
cosmic_909711,-0.3549319920836409,909711
cosmic_724825,-0.35514560832944986,724825
cosmic_1524414,-0.35525312030791245,1524414
cosmic_909737,-0.355277992612602,909737
cosmic_1240129,-0.35543430858441066,1240129
cosmic_906804,-0.3558392998639195,906804
cosmic_946370,-0.35584111788656464,946370
cosmic_907042,-0.35585675581021714,907042
cosmic_1298356,-0.35589075388508734,1298356
cosmic_925338,-0.3559337514790596,925338
cosmic_908126,-0.3562786468566083,908126
cosmic_1330941,-0.3563389849905231,1330941
cosmic_1240205,-0.3563806911375459,1240205
cosmic_946354,-0.3563973991030299,946354
cosmic_687802,-0.3565347489955403,687802
cosmic_753566,-0.3568552485382223,753566
cosmic_908472,-0.3570431012901226,908472
cosmic_1509074,-0.35732878271702434,1509074
cosmic_909255,-0.3573402630010978,909255
cosmic_1240187,-0.35741449475627474,1240187
cosmic_1298348,-0.35758321971149526,1298348
cosmic_1240206,-0.35841330145579414,1240206
cosmic_1480364,-0.35866909148740433,1480364
cosmic_1290814,-0.3588519974120473,1290814
cosmic_1660034,-0.3589374167593763,1660034
cosmic_735784,-0.3593439938635752,735784
cosmic_907173,-0.35941820342491426,907173
cosmic_753600,-0.3596212417246479,753600
cosmic_909722,-0.35964056698360514,909722
cosmic_907073,-0.35976983557823344,907073
cosmic_1240160,-0.3601402959467222,1240160
cosmic_753572,-0.3602305980346057,753572
cosmic_905972,-0.36026356305502444,905972
cosmic_907282,-0.3604370764867796,907282
cosmic_683667,-0.3604442672029255,683667
cosmic_946358,-0.36046334122056733,946358
cosmic_687814,-0.3605441366777476,687814
cosmic_1660036,-0.3606252254509729,1660036
cosmic_909708,-0.3606322893815124,909708
cosmic_907171,-0.36071554911770126,907171
cosmic_925345,-0.3607569684402813,925345
cosmic_910853,-0.3607729521877388,910853
cosmic_905991,-0.3608362580028099,905991
cosmic_909249,-0.3609922445849892,909249
cosmic_1331039,-0.36100967144499524,1331039
cosmic_909724,-0.36117701606696256,909724
cosmic_724873,-0.36123076504597196,724873
cosmic_906793,-0.36154090317493076,906793
cosmic_907072,-0.3615933425727154,907072
cosmic_687505,-0.36170751324412054,687505
cosmic_930082,-0.36175225987863374,930082
cosmic_1322224,-0.36180391737106515,1322224
cosmic_949165,-0.36185040218721065,949165
cosmic_753623,-0.36191903344353554,753623
cosmic_907271,-0.36201278061997916,907271
cosmic_910851,-0.36226012077346403,910851
cosmic_946355,-0.36257506517447213,946355
cosmic_908149,-0.3628391169327802,908149
cosmic_1240136,-0.3634821357602514,1240136
cosmic_909256,-0.3635684595162467,909256
cosmic_1290730,-0.36363985490014206,1290730
cosmic_905970,-0.36389761166581225,905970
cosmic_949088,-0.3639392743385622,949088
cosmic_1290807,-0.36399024825823195,1290807
cosmic_687459,-0.3640039415953213,687459
cosmic_909975,-0.364123940199223,909975
cosmic_687562,-0.3641382772737876,687562
cosmic_906765,-0.36431286573642796,906765
cosmic_1290765,-0.364408921415784,1290765
cosmic_1290810,-0.36472155565036285,1290810
cosmic_909784,-0.3648383614774133,909784
cosmic_753549,-0.36504876842741424,753549
cosmic_906854,-0.36530004240004404,906854
cosmic_910695,-0.3653127002923994,910695
cosmic_946353,-0.3657381761939016,946353
cosmic_905937,-0.3659589992256163,905937
cosmic_910951,-0.3660463754796926,910951
cosmic_907175,-0.36612732076013227,907175
cosmic_907322,-0.3661374481728596,907322
cosmic_909974,-0.3664902252852854,909974
cosmic_905962,-0.36678263200950806,905962
cosmic_908125,-0.36695777361835585,908125
cosmic_1240134,-0.3673383600706347,1240134
cosmic_1480358,-0.3673553079896803,1480358
cosmic_905955,-0.3673863111029122,905955
cosmic_924102,-0.3675603814085171,924102
cosmic_908130,-0.3675761045361376,908130
cosmic_908455,-0.3675831247072251,908455
cosmic_1299061,-0.3675842611604081,1299061
cosmic_909697,-0.3677483465769537,909697
cosmic_1240137,-0.3679423576436281,1240137
cosmic_749717,-0.36798938917298074,749717
cosmic_907312,-0.3680923466873708,907312
cosmic_1298347,-0.3681051561390199,1298347
cosmic_1290767,-0.3681471375349453,1290767
cosmic_906823,-0.3681581909108647,906823
cosmic_687829,-0.36815881157574176,687829
cosmic_998184,-0.3682534493764906,998184
cosmic_908148,-0.36836957721102265,908148
cosmic_1299052,-0.3684413504293875,1299052
cosmic_753577,-0.3685581026382006,753577
cosmic_1524419,-0.368631640167624,1524419
cosmic_1503363,-0.3686338756336895,1503363
cosmic_1659818,-0.3686507809230849,1659818
cosmic_1322218,-0.3687378251953546,1322218
cosmic_1503364,-0.36875926655485336,1503364
cosmic_909260,-0.36887639900120744,909260
cosmic_1299062,-0.3689500101381286,1299062
cosmic_906795,-0.3689984572102895,906795
cosmic_910919,-0.3691736872937278,910919
cosmic_906863,-0.3692626358571635,906863
cosmic_909780,-0.3692709325400421,909780
cosmic_1290813,-0.3699316800408454,1290813
cosmic_908152,-0.36993264176342877,908152
cosmic_909755,-0.37021552776717304,909755
cosmic_910554,-0.37030634801683776,910554
cosmic_687563,-0.37046224057681615,687563
cosmic_1299081,-0.37079669853812763,1299081
cosmic_905963,-0.3708752278443167,905963
cosmic_924187,-0.37089005809284636,924187
cosmic_1240135,-0.3709355734115768,1240135
cosmic_724838,-0.37094573425488264,724838
cosmic_924110,-0.3709604444762196,924110
cosmic_907071,-0.3710112589247275,907071
cosmic_909725,-0.3710202812023152,909725
cosmic_1480362,-0.37112143532036207,1480362
cosmic_753624,-0.37150378629130015,753624
cosmic_906818,-0.3715919783044898,906818
cosmic_1299067,-0.3717572066809651,1299067
cosmic_1480374,-0.37181069906513925,1480374
cosmic_1659928,-0.3718124227455976,1659928
cosmic_1240124,-0.3719001147797297,1240124
cosmic_1240207,-0.37203736414498423,1240207
cosmic_908474,-0.37205849199500446,908474
cosmic_910544,-0.37221607481895147,910544
cosmic_687590,-0.37258600920279916,687590
cosmic_907275,-0.3726701001920385,907275
cosmic_905956,-0.37269577444450264,905956
cosmic_749715,-0.3727307074648813,749715
cosmic_687819,-0.3727770800199122,687819
cosmic_1298154,-0.3728082799468328,1298154
cosmic_687586,-0.3728528487655741,687586
cosmic_930083,-0.3731751514980278,930083
cosmic_909723,-0.37318840820914234,909723
cosmic_907067,-0.3732354070164673,907067
cosmic_910946,-0.3733401089230439,910946
cosmic_1330993,-0.37343390617357575,1330993
cosmic_1479988,-0.37349495752678613,1479988
cosmic_909251,-0.37352240338536985,909251
cosmic_1240132,-0.37369595679376094,1240132
cosmic_1240139,-0.37382866181115193,1240139
cosmic_909721,-0.3745457405743523,909721
cosmic_724839,-0.37460091271885604,724839
cosmic_909717,-0.37472121180495443,909717
cosmic_753585,-0.3747725251100907,753585
cosmic_1298218,-0.3748594519604912,1298218
cosmic_1240196,-0.37499719666690984,1240196
cosmic_908462,-0.37518877846141346,908462
cosmic_906746,-0.37521729197655446,906746
cosmic_687777,-0.37522727740846495,687777
cosmic_907788,-0.37530139034510956,907788
cosmic_907323,-0.3753393401278774,907323
cosmic_1480372,-0.3753421492671265,1480372
cosmic_1287706,-0.37541251919019497,1287706
cosmic_1298134,-0.37549246043362083,1298134
cosmic_909727,-0.3755796736308798,909727
cosmic_907000,-0.37567485414069945,907000
cosmic_687812,-0.37578473976506405,687812
cosmic_683665,-0.37594875154024776,683665
cosmic_1524418,-0.3759820533060271,1524418
cosmic_911905,-0.37646737836925154,911905
cosmic_1240138,-0.37647271844389774,1240138
cosmic_1240147,-0.37652133187405507,1240147
cosmic_909907,-0.37672233999267396,909907
cosmic_687568,-0.3767290473857276,687568
cosmic_910904,-0.37679699014452445,910904
cosmic_1240125,-0.3769598348132128,1240125
cosmic_909252,-0.3769918912253595,909252
cosmic_910545,-0.37711807092264765,910545
cosmic_908122,-0.3771340716341339,908122
cosmic_906827,-0.3772009767403236,906827
cosmic_905935,-0.3772923582365731,905935
cosmic_753586,-0.37729456006632905,753586
cosmic_687983,-0.37744205740324915,687983
cosmic_909759,-0.3774595821609822,909759
cosmic_905974,-0.3775099710777524,905974
cosmic_1240198,-0.377585888383797,1240198
cosmic_905983,-0.3777173711287244,905983
cosmic_905982,-0.3778516338748521,905982
cosmic_1330931,-0.3778854041287837,1330931
cosmic_687514,-0.3780701988513673,687514
cosmic_998189,-0.37815453806589694,998189
cosmic_907044,-0.37826361905337696,907044
cosmic_906807,-0.3783184260489395,906807
cosmic_909746,-0.37850456958197476,909746
cosmic_905948,-0.3786037827765337,905948
cosmic_909771,-0.378631899424596,909771
cosmic_905957,-0.3787159421229791,905957
cosmic_722046,-0.37884647056075815,722046
cosmic_946356,-0.3788896386977963,946356
cosmic_1479987,-0.37896856451498306,1479987
cosmic_905968,-0.37903505560359557,905968
cosmic_905954,-0.3791367501883361,905954
cosmic_907057,-0.37922569673589723,907057
cosmic_910566,-0.3792333364418732,910566
cosmic_909740,-0.379233485527058,909740
cosmic_910948,-0.3793971880615356,910948
cosmic_1240156,-0.3794007341600186,1240156
cosmic_905971,-0.37940668462594923,905971
cosmic_907289,-0.3794529539842899,907289
cosmic_1298539,-0.37950945949732445,1298539
cosmic_910944,-0.37960748108226916,910944
cosmic_1240158,-0.37999376077286307,1240158
cosmic_753569,-0.38014414659647044,753569
cosmic_906824,-0.3801567649885414,906824
cosmic_1330950,-0.38029126452453904,1330950
cosmic_1298145,-0.380694404703961,1298145
cosmic_909732,-0.38072905411887087,909732
cosmic_1240153,-0.3807520696128147,1240153
cosmic_907273,-0.380830304448787,907273
cosmic_906871,-0.38084865377673083,906871
cosmic_1240162,-0.38085501880192246,1240162
cosmic_905965,-0.3809145645719273,905965
cosmic_917486,-0.3810138976948322,917486
cosmic_946359,-0.3810948525187682,946359
cosmic_1659823,-0.3812335237488303,1659823
cosmic_753536,-0.38129897737849716,753536
cosmic_1479993,-0.38135280813069483,1479993
cosmic_1327768,-0.381373275689714,1327768
cosmic_924104,-0.3814265327148629,924104
cosmic_908123,-0.3815470871126897,908123
cosmic_1240220,-0.38172965253666097,1240220
cosmic_907172,-0.3817826776133769,907172
cosmic_753621,-0.38196752620300534,753621
cosmic_924188,-0.381993935929092,924188
cosmic_906852,-0.3820242192464828,906852
cosmic_905952,-0.38204691332267243,905952
cosmic_908457,-0.3820669673893368,908457
cosmic_687561,-0.38236929598321473,687561
cosmic_724874,-0.3827280599433954,724874
cosmic_909253,-0.38275798218580354,909253
cosmic_924107,-0.38287497160886713,924107
cosmic_906861,-0.38291419376696983,906861
cosmic_907053,-0.3829438643808609,907053
cosmic_906865,-0.3830114062258135,906865
cosmic_910911,-0.38308255669843494,910911
cosmic_909699,-0.3830831692860067,909699
cosmic_905949,-0.3832464736185498,905949
cosmic_925346,-0.38326740616462024,925346
cosmic_724868,-0.38331847136497266,724868
cosmic_1240128,-0.38354567378719695,1240128
cosmic_1327773,-0.38361071275422687,1327773
cosmic_907046,-0.38371414187270636,907046
cosmic_753612,-0.3837919865732694,753612
cosmic_908144,-0.3841410484307064,908144
cosmic_910687,-0.38419546386373943,910687
cosmic_753574,-0.38421469423649635,753574
cosmic_749709,-0.3842231845932053,749709
cosmic_908451,-0.38447273520678954,908451
cosmic_1299064,-0.38450619259062674,1299064
cosmic_909719,-0.38460260659634127,909719
cosmic_687821,-0.3846782258747934,687821
cosmic_1299078,-0.38505839448578216,1299078
cosmic_909757,-0.3851541829733342,909757
cosmic_946372,-0.3852279987542112,946372
cosmic_753578,-0.3852355576265583,753578
cosmic_1240143,-0.3854301550271915,1240143
cosmic_909704,-0.3854979037509908,909704
cosmic_909748,-0.38574899433861,909748
cosmic_910548,-0.3857961602306839,910548
cosmic_1240201,-0.3859132036101859,1240201
cosmic_907787,-0.3860711085968409,907787
cosmic_925339,-0.38607179219818977,925339
cosmic_906801,-0.38635336233957707,906801
cosmic_905939,-0.3863565650201358,905939
cosmic_724870,-0.3869691475429803,724870
cosmic_908461,-0.3869857876000106,908461
cosmic_909769,-0.38711304441283323,909769
cosmic_907317,-0.3871756855568377,907317
cosmic_1330995,-0.38730342835012754,1330995
cosmic_753548,-0.38734465248323446,753548
cosmic_1240204,-0.38735807871249467,1240204
cosmic_908475,-0.38752378511510055,908475
cosmic_1503366,-0.387536239484451,1503366
cosmic_905986,-0.3876535300487972,905986
cosmic_1240226,-0.38794217707342804,1240226
cosmic_907045,-0.38808299072053365,907045
cosmic_907783,-0.38812487695110304,907783
cosmic_1290797,-0.388185221960036,1290797
cosmic_909781,-0.3882822875279448,909781
cosmic_687816,-0.38839989261612373,687816
cosmic_908449,-0.3884392936789697,908449
cosmic_924238,-0.3885212310202967,924238
cosmic_1290922,-0.3885713682083605,1290922
cosmic_906841,-0.3886930248465808,906841
cosmic_946382,-0.38871310909559814,946382
cosmic_1290724,-0.38884852004599446,1290724
cosmic_907786,-0.38890698382665034,907786
cosmic_749712,-0.3890441055706307,749712
cosmic_1240150,-0.38918005135645556,1240150
cosmic_909696,-0.3892752411925351,909696
cosmic_905964,-0.38948661207110635,905964
cosmic_907277,-0.38959533098735644,907277
cosmic_1327766,-0.38968511546605733,1327766
cosmic_1327774,-0.38981404751146864,1327774
cosmic_1298531,-0.3898883228767069,1298531
cosmic_753541,-0.38994596839658824,753541
cosmic_1298169,-0.3900779737554871,1298169
cosmic_1503369,-0.3901585726112472,1503369
cosmic_909758,-0.3901610029216254,909758
cosmic_722066,-0.3901666298506061,722066
cosmic_910927,-0.3902809486849559,910927
cosmic_1290795,-0.3902977481276052,1290795
cosmic_910209,-0.39045928956793546,910209
cosmic_687457,-0.3906764349218613,687457
cosmic_905936,-0.39080200237229834,905936
cosmic_908159,-0.39085150510729205,908159
cosmic_907050,-0.3909004253957759,907050
cosmic_907391,-0.39101112580854297,907391
cosmic_687455,-0.39107199060831294,687455
cosmic_909728,-0.39115487148938627,909728
cosmic_909713,-0.3912235620991244,909713
cosmic_1290771,-0.39129799011471705,1290771
cosmic_1240186,-0.3913461187376985,1240186
cosmic_909744,-0.3913824460190378,909744
cosmic_910910,-0.39147629361888986,910910
cosmic_906814,-0.3917779578057262,906814
cosmic_910546,-0.3918623745689984,910546
cosmic_1298365,-0.39190589691291106,1298365
cosmic_906831,-0.39198328171688823,906831
cosmic_910688,-0.39208857039235945,910688
cosmic_905967,-0.3921306904412935,905967
cosmic_908147,-0.3922297512336788,908147
cosmic_910700,-0.39263983597049906,910700
cosmic_1327771,-0.3926747439446878,1327771
cosmic_906839,-0.39275817306733374,906839
cosmic_1503361,-0.392767105876674,1503361
cosmic_907286,-0.3927886750648148,907286
cosmic_910905,-0.39280230694732127,910905
cosmic_907284,-0.39284049222079087,907284
cosmic_1240223,-0.39285364240235954,1240223
cosmic_906815,-0.3930517376915731,906815
cosmic_907059,-0.3930657282977185,907059
cosmic_905945,-0.39311363545112316,905945
cosmic_1290768,-0.3931204885513937,1290768
cosmic_906696,-0.39319645492360566,906696
cosmic_909747,-0.3932436881316392,909747
cosmic_907043,-0.39339708233252774,907043
cosmic_907068,-0.393459213538597,907068
cosmic_908446,-0.39350402191602163,908446
cosmic_1479991,-0.39352510072992597,1479991
cosmic_1298215,-0.3936646183382156,1298215
cosmic_1298362,-0.3937384459415349,1298362
cosmic_724878,-0.39379944115811605,724878
cosmic_909770,-0.393807044142327,909770
cosmic_905977,-0.39381067386186924,905977
cosmic_1660035,-0.3939051059012219,1660035
cosmic_907799,-0.3939969514987559,907799
cosmic_910703,-0.3940474439437284,910703
cosmic_753608,-0.3941018410122024,753608
cosmic_907794,-0.3942234698206341,907794
cosmic_949094,-0.39425839926151834,949094
cosmic_907270,-0.3942853418980373,907270
cosmic_1299080,-0.39441182891322296,1299080
cosmic_909742,-0.39447078973127364,909742
cosmic_688121,-0.3946310678924825,688121
cosmic_1240222,-0.39465501599015024,1240222
cosmic_907169,-0.3948306987123308,907169
cosmic_1240208,-0.3949111501953227,1240208
cosmic_1331050,-0.395051268897179,1331050
cosmic_910916,-0.3950976653587193,910916
cosmic_910921,-0.3950983945004273,910921
cosmic_753595,-0.39515469991134067,753595
cosmic_930298,-0.39524723165003794,930298
cosmic_724863,-0.3955191015801755,724863
cosmic_905984,-0.39560556523972357,905984
cosmic_1503362,-0.3956780815114577,1503362
cosmic_905934,-0.3957021782343624,905934
cosmic_1240168,-0.3957146427504437,1240168
cosmic_1298146,-0.39575963617761717,1298146
cosmic_1479994,-0.39583080870023013,1479994
cosmic_1524415,-0.39585769249057756,1524415
cosmic_724866,-0.3959552222047936,724866
cosmic_1240167,-0.3960754081465549,1240167
cosmic_753596,-0.39609488097553985,753596
cosmic_908136,-0.39611163433901825,908136
cosmic_910698,-0.39611537410889397,910698
cosmic_909703,-0.3961818130101804,909703
cosmic_907269,-0.3962213170791202,907269
cosmic_906798,-0.3962288961780809,906798
cosmic_924108,-0.39623965664804883,924108
cosmic_753546,-0.3962773754274493,753546
cosmic_910694,-0.39643103341611485,910694
cosmic_908473,-0.3967039392661064,908473
cosmic_910903,-0.39671741502614066,910903
