,RCMB32,COSMIC ID
cosmic_688022,-0.07563145924234341,688022
cosmic_687997,-0.13716785141794507,687997
cosmic_713899,-0.13762541846608514,713899
cosmic_688031,-0.13800463620614092,688031
cosmic_688006,-0.14217044965440692,688006
cosmic_753589,-0.15067740340714245,753589
cosmic_753582,-0.15292318249386186,753582
cosmic_753588,-0.15298465651287085,753588
cosmic_688023,-0.1555596938592443,688023
cosmic_753594,-0.16121987711473185,753594
cosmic_688027,-0.16623003047860688,688027
cosmic_949175,-0.1673766714803745,949175
cosmic_907170,-0.17128884626440596,907170
cosmic_910937,-0.17536451037008632,910937
cosmic_688018,-0.17944529166511272,688018
cosmic_908483,-0.18171466763754596,908483
cosmic_910941,-0.1857863555243364,910941
cosmic_753599,-0.18731630235102428,753599
cosmic_908467,-0.18948233783730983,908467
cosmic_688001,-0.1916672091265475,688001
cosmic_1322213,-0.19422209716748148,1322213
cosmic_687804,-0.19445110239250016,687804
cosmic_908135,-0.19626269642687985,908135
cosmic_688014,-0.19655153113006596,688014
cosmic_1330964,-0.19688692517716733,1330964
cosmic_688013,-0.19688763289357886,688013
cosmic_688021,-0.19944685934409984,688021
cosmic_1240193,-0.20062839515837438,1240193
cosmic_753605,-0.20110162882232857,753605
cosmic_949173,-0.20278029091962296,949173
cosmic_713878,-0.2047201709879081,713878
cosmic_910691,-0.20789258226568674,910691
cosmic_688026,-0.20839822272978656,688026
cosmic_909194,-0.2093994007684673,909194
cosmic_753618,-0.21000402155864054,753618
cosmic_687985,-0.2100329207946857,687985
cosmic_924241,-0.21264586642583205,924241
cosmic_908468,-0.21427578322299795,908468
cosmic_713885,-0.2150938625635928,713885
cosmic_687980,-0.2163800152606216,687980
cosmic_1297438,-0.22015942283933765,1297438
cosmic_1330972,-0.22025676407250816,1330972
cosmic_687600,-0.22204246831215618,687600
cosmic_753547,-0.22352591071824307,753547
cosmic_688007,-0.2250764554061351,688007
cosmic_753616,-0.2265527857617742,753616
cosmic_949177,-0.22873492836971981,949177
cosmic_925341,-0.22944611941005197,925341
cosmic_688086,-0.22997493735097305,688086
cosmic_753607,-0.23093874535712136,753607
cosmic_907314,-0.2317923861751093,907314
cosmic_1322212,-0.23505590824705877,1322212
cosmic_688010,-0.23885872072632716,688010
cosmic_908454,-0.2426143865363964,908454
cosmic_753620,-0.24323506850854332,753620
cosmic_910568,-0.24579661449163703,910568
cosmic_910780,-0.2474826062862804,910780
cosmic_1240181,-0.24846141671218527,1240181
cosmic_949178,-0.25019077480099633,949178
cosmic_910567,-0.2502250828002545,910567
cosmic_753564,-0.2528403211012528,753564
cosmic_688025,-0.25577145241876437,688025
cosmic_907295,-0.25714630580307307,907295
cosmic_910692,-0.2591024946324828,910692
cosmic_906808,-0.25973751444256016,906808
cosmic_908481,-0.2611859322990039,908481
cosmic_906834,-0.26629879217621816,906834
cosmic_949155,-0.2666084831238837,949155
cosmic_1299075,-0.2683644918399377,1299075
cosmic_908447,-0.26907084690601113,908447
cosmic_909731,-0.2695425774869767,909731
cosmic_753551,-0.27127452382704953,753551
cosmic_908458,-0.27456805203153994,908458
cosmic_688087,-0.2766475592439393,688087
cosmic_713869,-0.27753827789302987,713869
cosmic_688011,-0.27837098426263246,688011
cosmic_906833,-0.282890326573852,906833
cosmic_949167,-0.2859989942106258,949167
cosmic_1240131,-0.28656049320444976,1240131
cosmic_949170,-0.28695109535481245,949170
cosmic_1240210,-0.2896065091948895,1240210
cosmic_949179,-0.29107169307850533,949179
cosmic_908469,-0.2911949716041177,908469
cosmic_909264,-0.2922408954859552,909264
cosmic_910942,-0.2965442149051393,910942
cosmic_724855,-0.2972862402183736,724855
cosmic_906875,-0.29773793523633785,906875
cosmic_724872,-0.2977707150576144,724872
cosmic_684055,-0.29809636572807124,684055
cosmic_684681,-0.298349725479347,684681
cosmic_1298222,-0.29872445925673347,1298222
cosmic_1297439,-0.30167932469825903,1297439
cosmic_949166,-0.3018097141105354,949166
cosmic_949168,-0.3020591676911459,949168
cosmic_930299,-0.30243469779404913,930299
cosmic_946357,-0.3032113047825318,946357
cosmic_906812,-0.303444599425933,906812
cosmic_753539,-0.30382969880394173,753539
cosmic_907319,-0.30388549985375735,907319
cosmic_717431,-0.3050195095014576,717431
cosmic_910899,-0.3052517097433689,910899
cosmic_909779,-0.3052850527972088,909779
cosmic_1240182,-0.3064749852077479,1240182
cosmic_909707,-0.30669739134613994,909707
cosmic_1240191,-0.3071502322300417,1240191
cosmic_909730,-0.307913631873741,909730
cosmic_907042,-0.3085815111502493,907042
cosmic_906848,-0.3090726372944073,906848
cosmic_906844,-0.309379639538175,906844
cosmic_724859,-0.3103437043720501,724859
cosmic_1298534,-0.3116913897789702,1298534
cosmic_925342,-0.3119812544873659,925342
cosmic_906746,-0.31211564577828416,906746
cosmic_906850,-0.31244160017621403,906850
cosmic_946360,-0.31260027331379947,946360
cosmic_687787,-0.3142297891201095,687787
cosmic_949172,-0.3148076564879844,949172
cosmic_687995,-0.315245151040912,687995
cosmic_908440,-0.31637344900025416,908440
cosmic_1240129,-0.31640873815662174,1240129
cosmic_908138,-0.31663581668283824,908138
cosmic_906794,-0.3168528818906696,906794
cosmic_946370,-0.3172692992089441,946370
cosmic_753576,-0.31733278875416093,753576
cosmic_1298349,-0.31847598760582524,1298349
cosmic_949158,-0.31863456346337643,949158
cosmic_905986,-0.31873098599575567,905986
cosmic_684059,-0.3190940934009486,684059
cosmic_949171,-0.3196061477301475,949171
cosmic_908129,-0.3196512299626391,908129
cosmic_907172,-0.319777496043589,907172
cosmic_1330973,-0.32026460470626916,1330973
cosmic_949164,-0.32041268256452415,949164
cosmic_687505,-0.321031825805706,687505
cosmic_753534,-0.3210341893095641,753534
