,RCMB32
DMS273,0.3224484266988856
NCIH524,0.3180942655743732
NCIH1184,0.30965068400350493
NCIH1341,0.26115012856596687
NCIH446,0.2607906215707094
NCIH1155,0.2469505257789553
NH6,0.23795390680947656
IMR32,0.2295282024186571
HCC33,0.228871767322986
DAOY,0.22507500917921644
SKNBE2,0.20199650999357074
COLO668,0.20138416882347632
5637,0.20100910435041028
DMS114,0.20064552355744733
TE441T,0.2002949859753853
DU145,0.19912646332424255
KNS62,0.1950987860085715
SF268,0.19417173911729377
TE8,0.1925900500645008
KELLY,0.19210255852805785
KYSE450,0.18860708278550922
NCIH661,0.18591587364445308
FUOV1,0.18399220655234794
D283MED,0.18351285074636456
G292CLONEA141B1,0.18273225807721521
NCIH2052,0.18262618934617278
BICR18,0.1812023439810385
ESS1,0.17986612763587947
SW1463,0.1798076837133449
NCIH810,0.1787867718335534
NCIH196,0.1770081954424338
CORL95,0.17687153777318762
SKNSH,0.17645013215045502
DBTRG05MG,0.17622508016368715
TUHR4TKB,0.17548701267844227
LK2,0.17535873358048062
HARA,0.17388315494087989
HCC1954,0.17184731739088
TE10,0.1715834692687621
BICR16,0.17124622869073725
NCIH23,0.17120974957233517
UBLC1,0.16952282300615618
RH18,0.16934286934537057
QGP1,0.1688205705913312
BC3C,0.16735494857471125
MKN1,0.16698326377006747
IGR37,0.1664661761050022
DMS454,0.1659370878811227
CAL27,0.16513111291427346
WM793,0.16496565221510157
CADOES1,0.16423579573646768
KMS11,0.16388833453701668
NCIH2196,0.1638073413724426
KNS60,0.16236046049337433
CCFSTTG1,0.1618533749569309
NCIH522,0.16086087177239966
ISTMES1,0.16058066763507287
SIMA,0.16045271309068462
RD,0.16035010245236583
SNB75,0.1601272985883383
MHHNB11,0.1599525342130095
SNU878,0.15967923427758088
SW1088,0.15828553598114758
YD15,0.1579782417313072
TE4,0.157720748193241
SAOS2,0.15745965492174913
CAL78,0.15710769142595357
YD10B,0.15698636583979406
OV7,0.15647666720520362
NCIH2029,0.15606804177922176
KLE,0.15560701228507198
SUIT2,0.15551269706479562
FTC133,0.1545315477564287
MDAMB361,0.15385761942437903
SW579,0.1530213148681756
TE14,0.15297381886169445
NCIH2444,0.15296559504765472
SW1573,0.15282544378643673
MSTO211H,0.15238407115679461
SNU503,0.15091247739058627
SKNDZ,0.15074456270313413
HEYA8,0.1504031566885085
NCIH1650,0.14993761728225555
DMS53,0.14991521981982067
HCC1833,0.14977639350791755
VCAP,0.14912958807328897
NCIH2286,0.14832702944620232
SCC25,0.14757867908784003
YH13,0.14750113635265474
RH41,0.14637568291138978
CAL148,0.14619979628320529
T98G,0.1458317657014552
COLO792,0.14583103126294236
WM88,0.14549330057607307
ECC10,0.14544753643597166
PECAPJ34CLONEC12,0.14520688052989897
A549,0.1452007908622108
NCIH1299,0.14505402109535853
ECC12,0.14504527979972454
IGR39,0.1445165840183708
VMRCRCW,0.1438773282264621
JHOS2,0.14382350421978168
SNU398,0.14349100727254074
YD38,0.14297477899418368
A253,0.14286213379495294
BEN,0.14255582214976995
UMUC1,0.1416079668895749
NCIH727,0.14146884672600069
OAW42,0.14123858097606073
HS729,0.14105164741804543
WM115,0.14077591869986295
KURAMOCHI,0.1398533525102281
NCIH1651,0.13984637403306915
CAS1,0.1397191839275952
NCIH520,0.13957065127503995
TE6,0.13925533631129808
42MGBA,0.13911578443653286
SKES1,0.13881845045730637
G361,0.13872138550446095
JHUEM3,0.13806626246506346
U2OS,0.1378126316228763
CHP212,0.13735685813695755
CAOV3,0.137017794757947
HCC1395,0.13628456444716763
KP4,0.1359841624573193
HCT116,0.13594291170221964
TOV112D,0.1357759576602667
HOS,0.13562936194007552
WM2664,0.13505794456004155
TT2609C02,0.13493138590646486
KPNYN,0.13473786124895354
SNU1214,0.13434852773678455
SNU201,0.13381137172260432
SNU119,0.13351108543474216
ACHN,0.13348159803049403
OE21,0.13341508914219033
YD8,0.13337578404285072
HCC95,0.13297348240959309
TM31,0.13267601094701975
NCIH2170,0.13258478198553134
NMCG1,0.13221927942727227
TCCPAN2,0.13182079909625566
ONCODG1,0.13157589244382292
KPNSI9S,0.13141473585112987
EPLC272H,0.1311335604229365
MPP89,0.13097841462448087
COV434,0.1306780264348946
ES2,0.129371232286135
HS688AT,0.1290144854715268
SJSA1,0.12873916196145713
MFE319,0.12869157388219069
ZR751,0.12830884544412127
T3M10,0.12822444297452165
SNU475,0.12804308083145083
RH30,0.1279660362637831
A172,0.12781023543008405
VMRCRCZ,0.1276355351289011
SKNAS,0.1274550385629669
8505C,0.12742083390039238
NCIH1792,0.12675789239651444
EFE184,0.12667036873738607
JL1,0.12666527153522003
SKNFI,0.1252715303991275
HCC1171,0.12505515917246912
SKMEL28,0.1249193188651885
SW1353,0.12473538495016005
COV644,0.12462108964208256
MKN45,0.1245747953364643
SKMEL3,0.12441256978454675
SNU182,0.12425393083944351
OVSAHO,0.1240703129998478
HGC27,0.12369172890499641
BICR31,0.12364700918972833
MDST8,0.12349573141061328
OAW28,0.12337426897706943
KYSE180,0.12306767363885042
ML1,0.12302912611805002
NCIH211,0.12297753261117932
8305C,0.12295121711682551
HSC3,0.12272992792278911
DETROIT562,0.12182234819538278
GB1,0.12178285766031659
COV362,0.121607455779375
HS940T,0.12150677154967902
8MGBA,0.12119348955513921
SNU626,0.12098512301536762
OC314,0.12064816571760889
OVCAR8,0.12039902733067509
HUH28,0.12013796636329574
NCIH747,0.11957384905381037
EN,0.11946796424681083
SBC5,0.11898044642177114
SNU423,0.11892718478708893
DKMG,0.11874086511819286
A204,0.11837616668893493
NCIH2172,0.11762243219950982
PECAPJ49,0.11745469436434776
JMSU1,0.11739836163501
HCC1143,0.11737494810695294
OVK18,0.11724267294058562
SKNMC,0.1168272979000472
SW1116,0.11662514529073004
YAPC,0.11632318808592888
HT144,0.11598488115773936
CAL51,0.11594196354891717
BT549,0.11593186902536189
KG1C,0.11591313373023036
OVCAR4,0.11582033630497386
HS822T,0.11581790169974164
SW48,0.11578273445333594
SNU81,0.11569099369988967
KMRC2,0.11530400907310447
NCIH841,0.11530353239751112
UMUC3,0.1152923684740386
MKN7,0.11523498375165431
SNU1105,0.11492618568779407
786O,0.11454394974946139
SF539,0.11429865913208055
KYSE410,0.11276401352465439
RMGI,0.11237954924764806
SF126,0.11230237418483432
MHHES1,0.11184365631082108
22RV1,0.11173628144682797
PECAPJ41CLONED2,0.111633834355922
EKVX,0.11023992017891877
VMCUB1,0.11017526949062167
HCT15,0.11010543259560338
WM983B,0.10997074278131538
SKMEL24,0.1098898156114228
HCC1438,0.10962712872277142
A673,0.10960220506948198
MKN74,0.10922021913722335
SNU489,0.1086765719673395
KALS1,0.10850930779159457
GMS10,0.10849016668217126
CAL120,0.10762761143839938
HMCB,0.10762740149145889
C32,0.1068914821710271
GOS3,0.10675153021165011
OVTOKO,0.10671634798878209
SNU387,0.10662771768995459
CALU1,0.10661015471277406
253J,0.1065374350494773
NCIH2405,0.105939565402007
KMRC1,0.10580690973865174
IGROV1,0.10579734276602806
TE617T,0.10540168645143201
TE11,0.10535073452628925
KYSE520,0.1050579868749994
SKOV3,0.10495360174291661
OV56,0.10490287492352514
HS936T,0.104867313150053
NCIH2085,0.10477309984953044
IGR1,0.10468204912197426
KYSE70,0.1043916462278678
SNU216,0.10434196253372414
SKHEP1,0.104310766668744
CALU6,0.10427307551198971
LI7,0.10408599909544396
NCIH1703,0.10367485809268885
SNU738,0.10354172063415784
HS934T,0.1033453769072534
PANC0327,0.10319525247468057
MDAMB157,0.10311976828790237
TE1,0.1027083667762108
NCIH1581,0.10238182156554228
NCIH1755,0.10210043063784419
CAKI2,0.10202147676662932
SW1990,0.10189179894573899
NCIH1693,0.10176118394927139
YKG1,0.10170060160601126
A375,0.10101049894592397
TUHR14TKB,0.1007647859838389
BICR6,0.10054260588879772
CW2,0.10032348446411594
HS839T,0.09911076949547448
HCC1588,0.09890539185304302
TCCSUP,0.09869956927872177
KMRC3,0.09868642922592082
BT474,0.09835490710127856
CHAGOK1,0.09813081933393969
ONS76,0.09808753732011223
JHUEM7,0.09801609244635363
SW1783,0.09784126348912002
HMC18,0.09768353866468538
SNUC5,0.09764743548582452
JIMT1,0.09751931700860071
FTC238,0.09721624606879534
SNU685,0.09715724916906639
SNU46,0.09714247989417744
ECGI10,0.09691321781023114
SU8686,0.09682944865688455
HCC1195,0.09641462839357257
TE9,0.09605091138456516
HCC2279,0.09603507093638625
RKN,0.09590922846474284
COLO829,0.09589664244408802
SNUC4,0.09589494016589958
HS294T,0.09588539389615174
647V,0.09580071078316023
SKLU1,0.09549697246740514
KNS81,0.09547305110256706
HCC15,0.09542125570937779
BICR56,0.09525514391179242
NCIH1666,0.09498892946273868
HS944T,0.09436506260771389
NCIH647,0.09431753375644672
EFM192A,0.0942791385015415
NCIH1623,0.09394176754754134
MG63,0.0936718949031361
769P,0.09356642120029209
GAMG,0.09347768167230061
SNU1041,0.09270419913470777
JHOM1,0.09260885300705829
COV318,0.09231887316242125
SNU449,0.09205910055661981
HCC44,0.09177321845790258
RPMI7951,0.09168907104441097
NCIH1568,0.09160920260176708
KU1919,0.09118868412219613
SNU1077,0.0911237479563958
BICR22,0.09079632065558711
U87MG,0.0907520386238961
RERFLCMS,0.09050186933239414
HELA,0.09031771514539724
NCIH460,0.09025804516581917
NCIH28,0.09023549387694442
HS683,0.09010128536660504
A101D,0.09003849545667376
HCC366,0.09003830576692354
