,MED211
NCIH524,0.3075041271896833
DMS273,0.29032384224420155
D283MED,0.26970131042231316
NCIH1155,0.235591778701593
IMR32,0.23142454194263465
HCC33,0.20961226174703546
NCIH446,0.20870661304993413
NCIH1184,0.19841512468018332
NCIH810,0.1863318796796185
KNS62,0.1742888174728041
MHHNB11,0.17104361057019823
NCIH1341,0.1705474364539526
DU145,0.16574704167645826
COLO668,0.15942353023335748
CORL95,0.15764026125515465
NH6,0.15751048562489894
KPNSI9S,0.15016057485483694
KELLY,0.14939498318251174
RH41,0.14899754959345224
DMS114,0.14523738553487
DMS53,0.14463663603101584
FTC133,0.14179271868194612
5637,0.13907903806511665
HCC1833,0.13868558597440983
NCIH522,0.13861995668009125
SKNSH,0.1380092555175513
DMS454,0.1369533002237774
SIMA,0.1368710843156044
SNU398,0.13479994818032862
LK2,0.1345236012315033
NCIH661,0.13293545064241802
KYSE450,0.1321681525913614
CHP212,0.1321637005218093
HARA,0.1319765309409946
UBLC1,0.13166798803745283
ES2,0.1316321060110618
NCIH1299,0.12863616568084046
RD,0.12741809564624887
SKNBE2,0.1257895644556953
NCIH211,0.12543504403556588
SKNDZ,0.1253261356137125
22RV1,0.1238688494258259
CAL27,0.1237920617762127
NCIH196,0.1219682374826986
DAOY,0.12173241719124075
FUOV1,0.12166861209940712
TE8,0.11937028842446756
SW1573,0.1186602967799746
TE10,0.11832603566287948
SKNMC,0.1176595604816533
TE14,0.1174427292180134
TE4,0.1173739387287885
ESS1,0.11709391527497094
ECC12,0.11577546979602035
SUIT2,0.11534262159038734
NCIH2029,0.1148440466155892
KMS11,0.11416389402116904
HCC1954,0.11413485732791084
SKES1,0.11308110952047377
ECC10,0.11289202224586141
G292CLONEA141B1,0.112787809190007
RH30,0.1124292945590249
T3M10,0.11205406199209579
SW1463,0.11201867946138463
SKNFI,0.11200721606124157
UMUC1,0.11189312091981861
8MGBA,0.11185536177100959
NCIH2286,0.11122363373813074
TT2609C02,0.1109014416814305
QGP1,0.11085678133015929
HEYA8,0.10977611128344496
MDAMB361,0.1095146525514266
NCIH1581,0.10940002067175611
NCIH2170,0.10939941564739465
BICR16,0.10850954574217135
SAOS2,0.10849540862159925
TE441T,0.10795733859206552
NCIH2196,0.10689204629054612
YH13,0.10686748606145995
NCIH1755,0.10661259194412591
SF268,0.10566040344973811
KPNYN,0.10510461471058177
NCIH2052,0.10440080188510444
NCIH747,0.10412692741365404
SNU878,0.10274954547014087
COV434,0.10272972606816715
KLE,0.10210077301080059
DBTRG05MG,0.10166008588787476
BEN,0.10140072371172612
CAOV3,0.10115270234809802
TCCPAN2,0.10083515347974821
NCIH727,0.10061158345556832
TUHR4TKB,0.0997435724815457
SNU475,0.09893300129953611
HCC1806,0.09825670238996188
RH18,0.09786390311921515
A2780,0.09782136235055987
JHOS2,0.09748091673808434
MFE319,0.09695293865737532
SNU685,0.09676309849701735
VMRCRCW,0.09668178060496466
JMSU1,0.09641990035671437
OVK18,0.09623969631947474
NCIH2444,0.09509346408237852
HCC1171,0.09508610163423009
YD38,0.09502515078538559
CADOES1,0.09459115483437568
JHUEM3,0.0944931844834011
COV362,0.0942123980142724
PECAPJ34CLONEC12,0.09400109498995066
ISTMES1,0.09282957593279849
8305C,0.0924825672447081
OVCAR8,0.09237490870367193
NCIH23,0.09234384768000867
BXPC3,0.09173251116736417
WM793,0.09154607599385657
IGR37,0.09103125920121732
SNU182,0.09042640687653952
NCIH1693,0.09020963530119688
OAW42,0.09009296867627926
HS688AT,0.0896166677832385
NCIH1792,0.0893674595809131
DETROIT562,0.08926799217952469
CAKI1,0.0890390492405009
SNU1077,0.08883099309665042
TOV112D,0.08871026790014719
YD10B,0.08839022987581845
SNU119,0.0882288747845886
HCC95,0.0882166464918071
NCIH1651,0.08784997357413159
HUCCT1,0.08770035020160692
OAW28,0.0875919668849283
WM2664,0.08738407067105755
OV7,0.0871091363944401
COLO792,0.0868236846318531
OE21,0.08676018764979387
MKN45,0.08658402306487821
GSS,0.08654726086520513
KYSE410,0.0865382177620402
ISHIKAWAHERAKLIO02ER,0.08634800470778328
BT549,0.08525318900548644
MSTO211H,0.08523719545276257
HCT15,0.08504783217211168
8505C,0.0841463314764328
SBC5,0.08384676097919695
EFE184,0.082485378797605
MKN1,0.08240979859713184
KMRC2,0.08184802019362955
JL1,0.08175669078262443
YD15,0.08055874852437654
GMS10,0.08020005541544009
GB1,0.07999495019597225
VMCUB1,0.0797970579829335
JHUEM7,0.07978770315219601
KYSE180,0.07953997734383306
SF539,0.07932860848960005
HGC27,0.07930582724966506
BICR18,0.07925476832463808
NCIH841,0.07913102382574294
