,RCMB40,COSMIC ID
cosmic_688031,-0.06474466522843883,688031
cosmic_688022,-0.10929865136927389,688022
cosmic_910691,-0.11443909105081868,910691
cosmic_908483,-0.1285238315173222,908483
cosmic_753582,-0.12946911588906374,753582
cosmic_713899,-0.1334985607006337,713899
cosmic_688006,-0.14074723293058158,688006
cosmic_688023,-0.164598419523854,688023
cosmic_753589,-0.16524584640382534,753589
cosmic_687997,-0.16687349202826826,687997
cosmic_753594,-0.16838401544554482,753594
cosmic_687804,-0.16958401014859764,687804
cosmic_713878,-0.1784248621487702,713878
cosmic_688027,-0.1828608035558297,688027
cosmic_907170,-0.18553235739887217,907170
cosmic_713885,-0.18795973559039614,713885
cosmic_753547,-0.18804142521803438,753547
cosmic_687985,-0.1902967853266063,687985
cosmic_753599,-0.19624189593733052,753599
cosmic_910937,-0.19864304221111373,910937
cosmic_1240193,-0.1996130033594007,1240193
cosmic_906834,-0.20018938282526777,906834
cosmic_924241,-0.20986466352671573,924241
cosmic_688018,-0.21180998181793503,688018
cosmic_908467,-0.21273916008847424,908467
cosmic_949175,-0.21294867105306015,949175
cosmic_753588,-0.21403471852891323,753588
cosmic_1240181,-0.21593378472712227,1240181
cosmic_688025,-0.2184441853229659,688025
cosmic_910941,-0.22018328646079038,910941
cosmic_753607,-0.22185843027046848,753607
cosmic_909731,-0.22527429160022838,909731
cosmic_688010,-0.22748367033545683,688010
cosmic_949173,-0.23074917427927275,949173
cosmic_688086,-0.23216114854260184,688086
cosmic_687980,-0.23265194825886867,687980
cosmic_910568,-0.23303447742178554,910568
cosmic_908468,-0.23451860465084745,908468
cosmic_1322213,-0.23538866948312864,1322213
cosmic_908135,-0.236559188077672,908135
cosmic_949177,-0.23675191409853957,949177
cosmic_949166,-0.23860265588420326,949166
cosmic_909194,-0.23886797173229585,909194
cosmic_753616,-0.23999163297766118,753616
cosmic_688021,-0.2413830311443237,688021
cosmic_688014,-0.24336172585150023,688014
cosmic_1330972,-0.2470830769000845,1330972
cosmic_688001,-0.2488301042455301,688001
cosmic_688026,-0.2520447045707985,688026
cosmic_688013,-0.25242545608755995,688013
cosmic_1330964,-0.25321378512819726,1330964
cosmic_753564,-0.25328593014755824,753564
cosmic_753605,-0.2575921566014087,753605
cosmic_688087,-0.25766043989098053,688087
cosmic_910567,-0.25932799913154425,910567
cosmic_717431,-0.26204979468939193,717431
cosmic_688007,-0.26257260347026184,688007
cosmic_753618,-0.26314605458727575,753618
cosmic_1297438,-0.26367566903364026,1297438
cosmic_724872,-0.2667586085469514,724872
cosmic_684055,-0.2680662599757018,684055
cosmic_908447,-0.26898471978819527,908447
cosmic_753551,-0.2691327951730765,753551
cosmic_907314,-0.2727122419650137,907314
cosmic_949179,-0.2737971529839961,949179
cosmic_925341,-0.2757630409343582,925341
cosmic_910692,-0.27690481177339693,910692
cosmic_949160,-0.27913675300921437,949160
cosmic_910899,-0.27976075274090595,910899
cosmic_684062,-0.2824230882488759,684062
cosmic_687600,-0.283659852771201,687600
cosmic_949167,-0.28640187943601886,949167
cosmic_949178,-0.2867499203112748,949178
cosmic_753620,-0.289700444878738,753620
cosmic_949170,-0.28984423564485573,949170
cosmic_949168,-0.29029373664397196,949168
cosmic_688011,-0.2909088204588634,688011
cosmic_1322212,-0.2918041070892874,1322212
cosmic_908440,-0.29252826333023885,908440
cosmic_906833,-0.29280843678091006,906833
cosmic_906808,-0.29332222094270477,906808
cosmic_971773,-0.2949306152449661,971773
cosmic_1299075,-0.2965252753438215,1299075
cosmic_908481,-0.29713638286039123,908481
cosmic_949164,-0.29736866449237476,949164
cosmic_908469,-0.2983470574306648,908469
cosmic_713869,-0.29885179586196875,713869
cosmic_930299,-0.2988703471225709,930299
