,ICB1572
NCIH524,0.2059838394921374
D283MED,0.203713801342308
DMS273,0.15729559845253366
HCC33,0.1394719309921602
NCIH1184,0.13114039135375125
NCIH446,0.12640439414161891
NCIH1155,0.12637583298419666
FTC133,0.12337183966304513
UBLC1,0.11840451898129856
NCIH1341,0.11542004320570012
NCIH661,0.10848033520791091
KELLY,0.10325342891012126
KPNSI9S,0.09518317168333146
CORL95,0.09497552003040387
MHHNB11,0.08847115639716652
SKNSH,0.0874759217167711
NCIH810,0.08623027755518259
KNS62,0.0861435688974911
KLE,0.08544593358660392
SW1463,0.07840507743921271
DU145,0.07751839897447131
22RV1,0.07583799303451774
DMS53,0.0747562176972057
TE14,0.07466634358517256
DMS454,0.07423164944963657
YH13,0.07391993700054107
COV434,0.07180133030511283
TE441T,0.0715161988981278
SW1573,0.07076794522984971
NCIH196,0.07057119256218604
TE10,0.06988097187697344
TUHR4TKB,0.06982139174288908
ECC10,0.06977730418910788
T3M10,0.06916126313125905
SUIT2,0.06723633156294755
NCIH1299,0.06709623624071052
DMS114,0.06673920316825412
RH41,0.06663064284856214
JMSU1,0.06579047883251023
SKNBE2,0.0657095913432011
BEN,0.06541760969968252
NCIH2052,0.0648848602521726
CAL120,0.064867962227099
WM2664,0.06477618257712624
LK2,0.06447590726371981
YD15,0.06360129654375649
COLO668,0.06313671119970947
NCIH522,0.06235688362540746
A2780,0.06191980076224526
SKNDZ,0.0618034274480393
WM88,0.0616041188051798
TE8,0.060487865544304124
TE4,0.060436484125961865
SNU878,0.05971440521695391
CAOV3,0.05963559758666822
NCIH1651,0.059561821990090594
YD38,0.05775239235705525
SKNFI,0.057708553870069915
ES2,0.05682181907348178
KYSE450,0.05670331237867959
VMCUB1,0.05585080174082406
FTC238,0.055603937169102786
CADOES1,0.055204106463264825
COLO792,0.054766590934126565
SNU738,0.05474420945971982
ECC12,0.05462174766613396
NH6,0.054401289570267734
8305C,0.05439124705041436
OVSAHO,0.053570100620808865
SNU475,0.052951714255856396
NCIH2286,0.052668006659065
MDST8,0.05262903411555444
FU97,0.05193043190829789
UMUC1,0.05173693781213554
HUH28,0.05121471849626935
OV90,0.051126860619004594
SW1088,0.050775450092617185
RH30,0.050430118826167276
IMR32,0.049742972306037594
NCIH2029,0.0495454521098057
