,ICB1572,COSMIC ID
cosmic_688031,-0.09229841610155072,688031
cosmic_910691,-0.19390976957550296,910691
cosmic_906834,-0.29013358826351854,906834
cosmic_908483,-0.3060652781835603,908483
cosmic_688023,-0.3104687568511465,688023
cosmic_907170,-0.31538293464839856,907170
cosmic_753582,-0.31651677999667865,753582
cosmic_688022,-0.3169470403154261,688022
cosmic_688006,-0.31773952788862614,688006
cosmic_910568,-0.3210827329057094,910568
cosmic_1240181,-0.3257443136123454,1240181
cosmic_753589,-0.32778349766161896,753589
cosmic_924241,-0.33260018930724045,924241
cosmic_753547,-0.3351959572642125,753547
cosmic_753594,-0.3367485185171107,753594
cosmic_713899,-0.3416315269235249,713899
cosmic_753599,-0.3430980481851459,753599
cosmic_724872,-0.3454006931052521,724872
cosmic_753618,-0.346677040031187,753618
cosmic_949173,-0.3530051071226485,949173
cosmic_1240193,-0.3557060214257591,1240193
cosmic_907295,-0.35661511700338316,907295
cosmic_949170,-0.3568377278269904,949170
cosmic_910941,-0.3569767427346527,910941
cosmic_688010,-0.3573994213921875,688010
cosmic_1322213,-0.3584798596128973,1322213
cosmic_688027,-0.36035156751768654,688027
cosmic_713885,-0.3613688532012062,713885
cosmic_688013,-0.3656569236715001,688013
cosmic_949177,-0.36631123687849043,949177
cosmic_687600,-0.36885692677475745,687600
cosmic_687804,-0.3706062033832842,687804
cosmic_688018,-0.3722781964888195,688018
cosmic_753588,-0.37318199908511,753588
cosmic_1330973,-0.3738772151633048,1330973
cosmic_909731,-0.374304472875331,909731
cosmic_908467,-0.3753475372061347,908467
cosmic_909194,-0.37539207827680365,909194
cosmic_753564,-0.3763453415970859,753564
cosmic_688014,-0.37645723022750344,688014
cosmic_688025,-0.37909434580413087,688025
cosmic_688021,-0.3813492668847732,688021
cosmic_753605,-0.38172833488344,753605
cosmic_688086,-0.3833580165928522,688086
cosmic_910937,-0.3843724955147185,910937
cosmic_1330964,-0.3846303316548586,1330964
cosmic_713878,-0.38502639310132253,713878
cosmic_908135,-0.38617683481345794,908135
cosmic_687997,-0.3879541694911572,687997
cosmic_930299,-0.3881171891540157,930299
cosmic_713869,-0.3891543653668168,713869
cosmic_908447,-0.38982991736148886,908447
cosmic_753616,-0.39058641696223256,753616
cosmic_949178,-0.3907903473121997,949178
cosmic_908468,-0.3908986269557723,908468
cosmic_907314,-0.3934901182892468,907314
cosmic_949175,-0.3943762582210256,949175
cosmic_688026,-0.3947725196186108,688026
cosmic_688007,-0.3955029376074206,688007
cosmic_687980,-0.39766018676476955,687980
cosmic_688087,-0.3981322535467442,688087
cosmic_910780,-0.39926917804323897,910780
cosmic_753534,-0.39952214421645654,753534
cosmic_687985,-0.40124665141399635,687985
cosmic_717431,-0.40194070613045524,717431
cosmic_753551,-0.40414467104860474,753551
cosmic_925341,-0.40543532021373707,925341
cosmic_910692,-0.4062968396423841,910692
cosmic_688011,-0.40879904396364525,688011
cosmic_908481,-0.40898244020487223,908481
cosmic_908458,-0.4097518325321763,908458
cosmic_753607,-0.41073840600487355,753607
cosmic_909264,-0.4109993025808624,909264
cosmic_949158,-0.4117675480016252,949158
cosmic_949160,-0.41295489346337577,949160
cosmic_909779,-0.4133082870165246,909779
cosmic_910899,-0.41369380569582237,910899
cosmic_910567,-0.41410558170615347,910567
cosmic_1297438,-0.4150058970179452,1297438
cosmic_753559,-0.41662569435343644,753559
cosmic_1240129,-0.41693778194708814,1240129
cosmic_906808,-0.41797741788616133,906808
cosmic_906849,-0.42098411362690713,906849
cosmic_908471,-0.42155002752171217,908471
cosmic_971774,-0.4224971754296944,971774
cosmic_1330972,-0.422511406284625,1330972
cosmic_906875,-0.42258186741128484,906875
cosmic_1240216,-0.4230045370550246,1240216
cosmic_909716,-0.4235075723019342,909716
cosmic_753620,-0.4235902703343053,753620
cosmic_946360,-0.42509937685199617,946360
cosmic_688001,-0.4254340761336336,688001
cosmic_949155,-0.4262344064305242,949155
cosmic_1240210,-0.42776624109333367,1240210
cosmic_724855,-0.42865808523301324,724855
cosmic_908454,-0.42875785584735915,908454
cosmic_908440,-0.4290253019641605,908440
cosmic_924100,-0.42905880741306246,924100
cosmic_971773,-0.43047872555326266,971773
cosmic_925345,-0.43136432531243607,925345
cosmic_925342,-0.433708022156975,925342
cosmic_908469,-0.43416733642259175,908469
cosmic_908443,-0.4346075716323764,908443
cosmic_1240182,-0.43468246478283296,1240182
cosmic_949168,-0.43525824623706694,949168
cosmic_949166,-0.43646114729299457,949166
cosmic_1240191,-0.43703611784817975,1240191
cosmic_1297439,-0.43716969670342276,1297439
cosmic_949090,-0.43849587624565556,949090
cosmic_684052,-0.4390966411431444,684052
cosmic_684057,-0.4400167199334244,684057
cosmic_910900,-0.44038417071684616,910900
cosmic_1298538,-0.4406594718292826,1298538
cosmic_687802,-0.44149011650389186,687802
cosmic_906833,-0.4416193578397427,906833
cosmic_1240197,-0.4420630594537752,1240197
cosmic_1240139,-0.4422714628545557,1240139
cosmic_1480359,-0.4425317959894199,1480359
cosmic_1240142,-0.44268697442342253,1240142
cosmic_724828,-0.44292757643885994,724828
cosmic_908145,-0.4438916051200412,908145
cosmic_949163,-0.4439299767003499,949163
cosmic_949179,-0.4441093189529359,949179
cosmic_684062,-0.4456045663194116,684062
cosmic_909711,-0.4462060706071007,909711
cosmic_906848,-0.44650267565089014,906848
