,ICB1572
NCIH1694,0.13843577422834544
NCIH1092,0.13789964180245592
NCIH1184,0.13114039135375125
NCIH1155,0.12637583298419666
NCIH1341,0.11542004320570012
NCIH661,0.10848033520791091
KELLY,0.10325342891012126
KPNSI9S,0.09518317168333146
SKNSH,0.0874759217167711
NCIH810,0.08623027755518259
KNS62,0.0861435688974911
KLE,0.08544593358660392
DU145,0.07751839897447131
22RV1,0.07583799303451774
SW1573,0.07076794522984971
T3M10,0.06916126313125905
RERFGC1B,0.06889026305101865
SUIT2,0.06723633156294755
EM2,0.06716085899755565
NCIH1299,0.06709623624071052
DMS114,0.06673920316825412
JMSU1,0.06579047883251023
SKNBE2,0.0657095913432011
NCIH2052,0.0648848602521726
WM2664,0.06477618257712624
SHP77,0.062803351562595
NCIH522,0.06235688362540746
A2780,0.06191980076224526
SKNDZ,0.0618034274480393
WM88,0.0616041188051798
NCIH1651,0.059561821990090594
SKNFI,0.057708553870069915
ES2,0.05682181907348178
KYSE450,0.05670331237867959
8305C,0.05439124705041436
OVSAHO,0.053570100620808865
SNU475,0.052951714255856396
NCIH2286,0.052668006659065
FU97,0.05193043190829789
OV90,0.051126860619004594
SW1088,0.050775450092617185
NIHOVCAR3,0.05020820385467975
IMR32,0.049742972306037594
TC71,0.04959649234360324
CAL27,0.049335965953067634
NCIH2170,0.049027931738550315
NCIH1581,0.04881148181701385
HARA,0.048397198354237225
TT2609C02,0.04833817224047629
RD,0.04720269431117509
DAOY,0.04718477908199451
KURAMOCHI,0.04704758487782045
5637,0.04546845300213268
CAL78,0.045287174509594116
WM793,0.045044114099735605
NCIH1048,0.04490531863186501
ESS1,0.04431970124028646
JHH7,0.04423250424605194
NCIH747,0.04404212472844053
SW403,0.04330610870180945
NCIH211,0.04210560670529125
SW48,0.04129430969740785
G361,0.04095628518423975
TOV112D,0.039728016441603814
SF126,0.03972487767469031
SIMA,0.038734235671125314
HCC1806,0.03872668899344051
SW480,0.03871553065527806
VMRCRCW,0.03853547676401465
KMS11,0.037414223268232995
HEYA8,0.03625024936089485
DKMG,0.03608685117079271
MFE280,0.035598495555338006
CAL851,0.03544087891800069
DBTRG05MG,0.0353603748037413
OVMANA,0.03532995377323638
C2BBE1,0.035063391153123166
COV318,0.034636211540969866
HCC1954,0.03457586807497465
MKN45,0.03437248910618405
JHOS4,0.034044993501327094
CALU6,0.033805486732358274
QGP1,0.03361258753304065
NCIH1693,0.03305087728461131
NCIH1792,0.03297052544478156
OE21,0.03295789564185962
NCIH23,0.032788801641169846
MKN7,0.03266825970050789
KYSE410,0.032579597791593216
L363,0.03204468115718765
BT549,0.031746129720256276
A549,0.030806754733612742
SUDHL4,0.03051378369820496
BXPC3,0.030087909830525856
SCC25,0.029936075788517
A204,0.02896180813304826
GB1,0.02874119319999527
KYSE180,0.02868462058930832
IGR37,0.028547001976535993
8MGBA,0.028540322042906158
SAOS2,0.02747371841053978
ZR751,0.027351833389937234
GI1,0.027343470518221374
DOHH2,0.027245528612930586
HEL9217,0.02660429350977514
OVCAR4,0.026599613690801483
SNU182,0.026435343348670596
FUOV1,0.02632368202045564
NCIH1666,0.026260205114052238
SBC5,0.026041206987597206
MKN74,0.025968768412419047
HUCCT1,0.02585843700448316
ONCODG1,0.02558183106738198
WM115,0.02522921840575673
NCIH520,0.02481655334995546
SW579,0.02469542288332396
RPMI7951,0.024635456975981063
HCT116,0.024591158498860195
HCT15,0.02410945810422753
CHP212,0.023555416109264038
SNU398,0.023463834750365203
MC116,0.022744124467731067
A172,0.022708799775155743
A673,0.022703012012619216
NCIH727,0.022038254932933557
WM983B,0.021690448082013803
GCIY,0.020887163571910086
8505C,0.020632048521661332
KARPAS620,0.02034672820163863
SUDHL8,0.020268015271726704
NCIH1869,0.019910506089005495
HMCB,0.0198202998503895
SUDHL10,0.019804404482571567
KP4,0.019452797300552577
ONS76,0.01939837051965203
HT144,0.018875474884872696
CALU1,0.01880863570473807
UACC812,0.018610957705544995
SW900,0.01834753553578584
U2OS,0.018082130647194404
H4,0.01804407736219138
ISTMES1,0.01788907120059194
HT1197,0.017773107170546018
COLO679,0.017690519853562986
RERFLCMS,0.017441975268995297
NCIH2023,0.01743573287506438
